Quel est le rôle principal d'un système de gestion de fichiers (SGF) sous Linux ?;Il compile le code source des applications;Il fournit une abstraction entre le matériel et l'utilisateur en organisant les blocs binaires;Il gère uniquement la mémoire vive (RAM) du système;Il assure la connexion réseau du serveur;3;Le SGF transforme l'espace brut du disque en une structure hiérarchique cohérente et exploitable par l'utilisateur.
Quelle structure interne contient les informations globales du système de fichiers comme la taille ou le nombre total d'inodes ?;Le superbloc;Le bloc de données;La table des descripteurs;Le Master Boot Record (MBR);2;Le superbloc contient les métadonnées globales du FS et des copies de sauvegarde sont réparties pour la sécurité.
Quel outil est spécifiquement recommandé pour déclencher le TRIM sur un disque SSD afin d'effacer les données non utilisées ?;defrag;fstrim;shred;dd;3;La commande fstrim -v / permet de déclencher le TRIM sur les SSD pour gérer l'usure des cellules.
Que contient un inode ?;Le nom du fichier et son contenu;Uniquement le contenu du fichier;Les métadonnées (permissions, propriétaire, taille, pointeurs) mais pas le nom;L'arborescence complète du disque;4;L'inode stocke les métadonnées essentielles et les pointeurs vers les blocs, mais le nom de fichier est géré par le répertoire.
Quelle commande permet de vérifier le taux d'occupation des inodes sur un système de fichiers ?;df -h;ls -li;df -i;stat -f;4;La commande df -i est indispensable pour détecter une saturation des inodes qui empêcherait la création de fichiers malgré de l'espace disque libre.
Quel est l'impact de l'utilisation de blocs de grande taille sur un système de fichiers ?;Cela réduit la vitesse de lecture séquentielle;Cela provoque une fragmentation interne (espace gaspillé) pour les petits fichiers;Cela augmente le nombre d'inodes nécessaires;Cela empêche l'utilisation de fichiers de plus de 4 Go;3;Si les blocs sont grands, ils optimisent les lectures séquentielles mais gaspillent de l'espace pour les petits fichiers (fragmentation interne).
Comment appelle-t-on le phénomène où un fichier supprimé de l'arborescence continue d'occuper de l'espace disque car un processus l'utilise encore ?;Un fichier zombie ou supprimé-ouvert;Une fragmentation externe;Un lien symbolique orphelin;Une corruption de superbloc;2;Tant que le descripteur est ouvert par un processus, l'inode et les blocs restent réservés même si le fichier est supprimé (unlink).
Quelle commande permet d'identifier les fichiers supprimés mais encore ouverts par un processus ?;ps -aux;lsof | grep deleted;top;du -sh;3;La commande lsof permet de lister les fichiers ouverts, y compris ceux marqués 'deleted' qui consomment encore de l'espace.
Dans la table des descripteurs de fichiers d'un processus, à quoi correspond par convention l'entier 2 ?;L'entrée standard (stdin);La sortie standard (stdout);La sortie d'erreur standard (stderr);Le premier fichier ouvert par l'utilisateur;4;Par convention, 0 est l'entrée standard, 1 la sortie standard et 2 la sortie d'erreur standard.
Quelle option de montage permet de réduire les écritures inutiles sur un SSD en ne mettant pas à jour la date d'accès à chaque lecture ?;rw;noatime;sync;defaults;3;L'option noatime empêche la mise à jour du champ access time à chaque lecture, ce qui est utile pour les SSD.
Quel est le rôle de l'appel système 'open()' ?;Il lit le contenu d'un fichier sur le disque;Il ferme un descripteur de fichier;Il crée ou ouvre un fichier et retourne un descripteur de fichier (fd);Il modifie les permissions d'un fichier;4;L'appel open() initie l'accès en créant une entrée dans la table des fichiers ouverts et en renvoyant un descripteur au processus.
Quelle commande permet d'afficher les métadonnées détaillées d'un fichier, y compris son numéro d'inode et ses horodatages ?;ls -l;cat;file;stat;5;La commande stat affiche toutes les informations contenues dans l'inode (taille, blocs, dates, droits).
À quoi sert la commande 'filefrag' ?;À défragmenter un disque dur;À vérifier combien de fragments composent un fichier;À supprimer les fragments inutiles;À lister les fichiers fragmentés d'un répertoire;3;filefrag est un outil de diagnostic pour visualiser la fragmentation d'un fichier spécifique.
Qu'est-ce que la fragmentation externe sur un disque dur mécanique (HDD) ?;L'espace perdu à l'intérieur d'un bloc;La dispersion des blocs d'un fichier à différents endroits du disque;L'usure des cellules mémoire;La saturation de la table des inodes;3;Sur un HDD, la fragmentation externe disperse les blocs, obligeant les têtes de lecture à se déplacer davantage, ce qui réduit la performance.
Quel mécanisme permet d'adresser des fichiers de très grande taille via les inodes ?;Les pointeurs directs uniquement;Le redimensionnement dynamique des blocs;L'utilisation de pointeurs indirects (simples, doubles, triples);La compression automatique des données;4;Les inodes utilisent des pointeurs indirects (doubles et triples) pour référencer un grand nombre de blocs et gérer des fichiers volumineux.
Quelle table système contient la position actuelle de lecture (offset) d'un fichier ouvert ?;La table des inodes en mémoire;La table globale des fichiers ouverts (System-wide File Table);La table des partitions;Le superbloc;3;La table globale des fichiers ouverts conserve l'offset et pointe vers l'inode en mémoire.
Quel appel système est utilisé pour modifier les permissions d'accès d'un fichier (correspondant à la commande chmod) ?;chown();access();chmod();umask();4;L'appel système chmod(path, mode) modifie les métadonnées de permissions dans l'inode.
Quel outil permet de tracer les appels systèmes effectués par un processus en temps réel ?;vmstat;strace;tcpdump;iostat;3;strace intercepte et affiche les appels systèmes (comme open, read, write) entre l'utilisateur et le noyau.
Quelle est la conséquence d'une saturation des inodes (inode table full) ?;Le système devient extrêmement lent mais fonctionne;Il est impossible de créer de nouveaux fichiers même s'il reste de l'espace disque en Go;Les anciens fichiers sont automatiquement supprimés;Le système redémarre automatiquement;3;Si tous les inodes sont utilisés, le système ne peut plus allouer de structure pour un nouveau fichier, générant une erreur 'No space left on device'.
Quelle commande permet de modifier la limite du nombre de descripteurs de fichiers ouverts par processus ?;ulimit -n;sysctl -w;chmod;quotacheck;2;ulimit -n permet d'afficher ou de modifier la limite de fichiers ouverts (souvent 1024 par défaut) pour éviter la saturation.
