Définition Projet Informatique;D'après la norme ISO 10006 et l'AFNOR X50-105, quelles sont les trois contraintes majeures qu'un projet doit respecter pour atteindre son objectif ?;Délais, Coûts, Ressources. Un projet est un processus unique délimité dans le temps visant un objectif précis.
Modèle en V;Identifiez la caractéristique visuelle principale de ce cycle de vie classique et son impact sur la gestion des tests.;Symétrie Conception-Test. Chaque phase de conception (gauche du V) est systématiquement associée à une phase de test correspondante (droite du V).
Inconvénient Modèle en V;Quel est le défaut majeur du modèle en V face à des besoins changeants ?;Rigidité ("Effet tunnel"). Sa structure séquentielle rend difficile et coûteuse l'intégration de modifications tardives ou d'évolutions des besoins.
Sprints Scrum;Quelle est la durée standard d'une itération dans le cadre Scrum selon le document ?;2 à 4 semaines. Ce sont des itérations courtes pour livrer des fonctionnalités de manière incrémentale.
Rôle Product Owner (PO);Qui est responsable de la vision du produit et de la gestion du Backlog ?;Le Product Owner. Il porte la vision produit et priorise le backlog (user stories).
Rôle Scrum Master (SM);Quel rôle a pour mission de faciliter les processus et de lever les obstacles pour l'équipe ?;Le Scrum Master. Il assure le respect de la méthode et protège l'équipe des perturbations.
Artefacts Scrum;Quels sont les deux types de Backlog utilisés dans Scrum ?;Product Backlog et Sprint Backlog. Le premier est la liste globale priorisée, le second est la sélection de tâches pour le sprint en cours.
Concept Kanban;Quel mécanisme clé de Kanban permet d'optimiser l'efficacité et d'identifier les goulots d'étranglement ?;Limitation du WIP (Work In Progress). On limite le nombre de tâches en cours simultanées pour fluidifier le flux.
Scrumban;Quel est l'avantage de cette approche hybride ?;Structure Scrum + Flux Kanban. Elle combine les cérémonies/rôles de Scrum avec la visualisation de flux et l'absence de sprints fixes de Kanban.
User Story;Quel format est utilisé pour capturer les besoins de manière centrée sur l'utilisateur ?;En tant que [rôle], je veux [action], afin de [bénéfice]. Elles doivent être complétées par des critères d'acceptation pour la validation.
Priorisation Backlog;Citez trois méthodes structurées mentionnées pour hiérarchiser les éléments du backlog.;MoSCoW, RICE, DEEP. Ces méthodes classent les tâches selon l'urgence, l'impact et la faisabilité.
Responsabilité MOA;Quel acteur définit les objectifs stratégiques et valide la recette finale (Maîtrise d'Ouvrage) ?;Le porteur du besoin (Client). La MOA gère le budget, la planification macro et l'adéquation aux attentes métiers.
Responsabilité MOE;Quel acteur est responsable des choix architecturaux et de la réalisation technique (Maîtrise d'Œuvre) ?;L'équipe technique (Réalisateur). La MOE garantit la qualité technique, le développement et le respect des normes.
Instance COPIL;Quel comité intervient aux jalons clés pour les arbitrages stratégiques et budgétaires ?;Comité de Pilotage (COPIL). Il réunit MOA et direction pour valider les grandes étapes.
Instance COPRO;Quelle est la différence du COPRO par rapport au COPIL ?;Suivi opérationnel. Le Comité de Projet assure un suivi régulier des risques et de l'avancement, contrairement au pilotage stratégique du COPIL.
Product Manager (PM);Quel rôle agile se situe à l'interface du marché et définit la roadmap à long terme ?;Product Manager. Il anticipe les évolutions du marché et définit la stratégie produit (vision long terme), distinct du PO (opérationnel).
Instance CODEN (DGFIP);Dans la comitologie DGFIP, que signifie l'acronyme CODEN et quand intervient-il ?;COmité des Démandes Nouvelles. Il intervient en amont, lors de l'étude d'opportunité et de faisabilité.
Backlog Grooming;En quoi consiste cette pratique indispensable pour maintenir le Product Backlog ?;Affinage du Backlog. Sessions régulières pour réviser, estimer et détailler les User Stories avant les futurs sprints.
