Selon le webinaire, autour de quel pourcentage de serveurs web dont l'OS est identifié Linux est-il présent ?;Environ 25%;Environ 90%;Environ 61%;Environ 45%;4;Linux est le système d'exploitation de référence pour les serveurs, présent sur environ 61% des serveurs web dont l'OS est identifié.
Face à l'escalade de privilèges, quelle réponse Linux est recommandée ?;Donner les droits root à tous les comptes de service;Désactiver tous les journaux d'audit;Appliquer le principe du moindre privilège et généraliser sudo plutôt que root direct;Autoriser l'accès SSH direct en root;4;Le moindre privilège, sudo au lieu de root direct et des mécanismes MAC comme SELinux ou AppArmor confinent les processus même en cas de compromission.
Quels sont les quatre piliers structurant le webinaire sur la sécurité Linux ?;Réseau, stockage, cloud, virtualisation;Homologation, durcissement, sécurisation de l'écosystème, maintien en conditions de sécurité;Audit, conformité, patch, reporting;Chiffrement, sauvegarde, supervision, formation;3;Ces quatre piliers forment un cycle, pas une simple liste, allant de l'homologation au maintien en conditions de sécurité.
Qu'est-ce que l'homologation de sécurité selon le webinaire ?;Un simple document technique signé par l'administrateur système;Une certification ISO délivrée par un éditeur logiciel;Une démarche aboutissant à une décision de l'autorité compétente autorisant la mise en service d'un système;Un audit de code automatisé;4;L'homologation n'est pas qu'un document, c'est une démarche qui aboutit à une décision d'autoriser la mise en service, en acceptant les risques résiduels.
Quel référentiel fixe les règles pour sécuriser les échanges numériques de l'administration avec les usagers ?;La PMSN;L'instruction interministérielle 901;La PSSIE;Le RGS;5;Le RGS fixe les règles pour sécuriser les échanges numériques de l'administration, avec les usagers et entre administrations.
Quel référentiel donne les grandes règles de sécurité applicables aux systèmes d'information de l'État ?;L'ISO 27005;La PSSIE;Le RGS;Les CIS Controls;3;La PSSIE donne les grandes règles de sécurité applicables aux systèmes d'information de l'État, la PMSN les adaptant ensuite par ministère.
Quel référentiel concerne les systèmes manipulant des informations marquées Diffusion Restreinte ?;L'instruction interministérielle 901;Le RGS;L'ISO 27001;EBIOS Risk Manager;2;L'II 901 concerne les systèmes qui manipulent des informations sensibles, notamment celles marquées Diffusion Restreinte.
Que définit la norme ISO 27001 ?;La méthode d'analyse de risques EBIOS RM;Le format des journaux SIEM;Les benchmarks techniques CIS;Le cadre pour piloter la sécurité de l'information dans l'organisation, rôles et amélioration continue;5;ISO 27001 définit le cadre de pilotage de la sécurité de l'information, tandis qu'ISO 27005 précise comment traiter les risques.
Qui porte la responsabilité juridique de la décision d'homologation au niveau ministériel ?;L'AQSSI;Le RSSI;Le prestataire PASSI;La MOA;2;L'AQSSI, désignée par décret ou arrêté ministériel, désigne l'autorité d'homologation et porte la responsabilité juridique de la décision.
Quel acteur instruit la démarche d'homologation et conseille l'AQSSI sans décider à sa place ?;Le RSSI;L'autorité d'homologation;La MOE;Le PASSI;2;Le RSSI instruit la démarche, coordonne les travaux de sécurité et conseille l'AQSSI et l'autorité d'homologation, sans décider à leur place.
Quel acteur réalise les audits de sécurité avec impartialité et fiabilité reconnues ?;Le RSSI;La MOA;Le prestataire d'audit qualifié PASSI;L'AQSSI;4;Le PASSI est le prestataire d'audit de sécurité qualifié par l'ANSSI, intervenant comme tiers d'évaluation indépendant.
Combien d'ateliers comporte la méthode EBIOS Risk Manager ?;Quatre;Sept;Trois;Cinq;5;EBIOS RM comporte cinq ateliers, du cadrage et socle de sécurité jusqu'au traitement du risque.
Quel est le livrable du premier atelier EBIOS RM, cadrage et socle de sécurité ?;Les événements redoutés et le socle de sécurité;Les mesures de sécurité et les risques résiduels;Les scénarios opérationnels et leur vraisemblance;La cartographie des sources de risque;2;Le premier atelier définit le périmètre, les valeurs métier et le socle de sécurité, avec pour livrables les événements redoutés et le socle de sécurité.
