Qu'est-ce que Samba et quels protocoles implémente-t-il sur Linux ?;Un serveur FTP open-source permettant le partage de fichiers sur Linux uniquement;Une suite logicielle open-source qui implémente les protocoles SMB (Server Message Block) et CIFS (Common Internet File System) sur Unix/Linux, permettant le partage de fichiers et d'imprimantes entre Linux, Windows et macOS;Un service de partage de fichiers propriétaire développé par Microsoft pour Linux;Un protocole de synchronisation de fichiers entre serveurs Linux uniquement;3;Samba est une suite logicielle open-source qui implémente les protocoles SMB (Server Message Block) et CIFS (Common Internet File System) sur les systèmes Unix/Linux. Elle permet le partage de fichiers et d'imprimantes entre machines Linux, Windows et macOS dans un réseau hétérogène.
Quel est le rôle du démon smbd dans Samba et sur quels ports écoute-t-il ?;Résoudre les noms NetBIOS en adresses IP sur UDP 137 et 138;Gérer l'intégration Active Directory via LDAP et Kerberos;Gérer le partage de fichiers et d'imprimantes en implémentant SMB/CIFS, sur les ports TCP 445 (SMB direct) et TCP 139 (via NetBIOS);Gérer le contrôleur de domaine Active Directory sur TCP 389 et 636;4;smbd est le démon principal de Samba. Il gère le partage de fichiers et d'imprimantes en implémentant les protocoles SMB et CIFS. Il écoute sur TCP 445 (SMB direct) et TCP 139 (via NetBIOS pour la rétrocompatibilité).
Quel est le rôle du démon nmbd dans Samba et sur quels ports fonctionne-t-il ?;Gérer la base de données des utilisateurs Samba et leurs mots de passe;Gérer la résolution de noms NetBIOS (obsolète en SMB2+, maintenu pour rétrocompatibilité), sur UDP 137 (Name Service) et UDP 138 (Datagram Service);Gérer les connexions des clients Windows au serveur Samba;Assurer le chiffrement SMB3 des transferts de fichiers;3;nmbd gère la résolution de noms NetBIOS. Ce démon est obsolète avec SMB2+ mais encore utilisé pour la rétrocompatibilité. Il utilise le protocole NetBIOS over TCP/IP sur les ports UDP 137 (Name Service) et UDP 138 (Datagram Service).
Quel démon Samba permet l'intégration avec Active Directory et la résolution des utilisateurs/groupes AD ?;smbd via le protocole NTLM;nmbd via la résolution NetBIOS;winbindd, utilisant les protocoles LDAP et Kerberos;samba en mode contrôleur de domaine;4;winbindd est le démon Samba permettant l'intégration avec Active Directory. Il assure la résolution des utilisateurs et groupes AD, permettant aux clients Linux de s'authentifier auprès d'un domaine Windows. Il utilise les protocoles LDAP et Kerberos.
Quel protocole Samba utilise-t-il sur le port TCP 445 et quel protocole est maintenant obsolète pour le partage de fichiers ?;Le protocole FTP sur TCP 445, le protocole NFS est obsolète;SMB (Server Message Block) est le protocole principal sur TCP 445 ; CIFS (Common Internet File System) est l'extension de SMB pour Internet, désormais obsolète car remplacé par SMB2/3;NFS est le protocole principal sur TCP 445, SMB est obsolète;LDAP est le protocole principal sur TCP 445, NetBIOS est obsolète;3;SMB (Server Message Block) est le protocole principal utilisé par Samba sur TCP 445. CIFS (Common Internet File System) était une extension de SMB pour Internet (utilisée par Windows 2000/XP), désormais obsolète car remplacée par SMB2 et SMB3 plus modernes et sécurisés.
Pourquoi SMB1 est-il considéré comme dangereux et à partir de quelle version Samba le désactive-t-il par défaut ?;SMB1 est lent et incompatible avec IPv6 ; Samba le désactive depuis la version 3.0;SMB1 est vulnérable à des attaques graves (comme EternalBlue) car il n'a pas de chiffrement ; Samba le désactive par défaut depuis la version 4.7 (2017);SMB1 consomme trop de bande passante ; Samba le désactive depuis la version 4.0;SMB1 n'est pas compatible avec Active Directory ; Samba le désactive depuis la version 2.0;3;SMB1 (créé dans les années 1980) est un protocole de base non sécurisé, vulnérable à des attaques graves comme EternalBlue (utilisé par le ransomware WannaCry). Samba désactive SMB1 par défaut depuis la version 4.7 (2017). Windows 10/11 le désactive également. Il faut toujours utiliser SMB2 ou SMB3.
Quelles améliorations apporte SMB3.1.1 par rapport aux versions précédentes ?;Ajout du support IPv6 et de la compression des données;Chiffrement obligatoire, pré-authentification et intégration avec Kerberos, rendant SMB3.1.1 sécurisé par défaut;Amélioration des performances réseau via multiplexage des connexions TCP;Support du partage d'imprimantes multifonctions;3;SMB3.1.1 (2015) apporte : le chiffrement obligatoire (AES-128/256), la pré-authentification (protection contre les attaques man-in-the-middle) et l'intégration avec Kerberos. C'est la version la plus sécurisée, sécurisée par défaut, à utiliser en priorité.
Quelle est la différence entre SMB3 (2012) et SMB3.1.1 (2015) en termes de chiffrement ?;SMB3 n'a pas de chiffrement, SMB3.1.1 a un chiffrement optionnel;SMB3 apporte le chiffrement de bout en bout recommandé, SMB3.1.1 rend le chiffrement obligatoire et ajoute la pré-authentification et l'intégration Kerberos;SMB3 et SMB3.1.1 ont le même niveau de chiffrement;SMB3 utilise AES-128, SMB3.1.1 utilise uniquement AES-256;3;SMB3.0 (2012) introduit le chiffrement de bout en bout (recommandé mais optionnel), le multicanal et la tolérance aux pannes. SMB3.1.1 (2015) va plus loin : le chiffrement devient obligatoire, la pré-authentification est ajoutée, et l'intégration Kerberos est renforcée. C'est la version sécurisée par défaut.
Quel est le fichier de configuration principal de Samba et comment est-il structuré ?;/etc/samba/samba.conf, structuré en modules;/etc/smb/config.conf, structuré en sections XML;/etc/samba/smb.conf, structuré en sections entre crochets ([global], [homes], [public], [secure], [printers]);/etc/samba/samba.ini, structuré en clés=valeurs sans sections;4;Le fichier de configuration principal de Samba est /etc/samba/smb.conf. Il est structuré en sections entre crochets : [global] (paramètres globaux), [homes] (partage automatique des répertoires /home), et des sections nommées pour chaque partage. La section [printers] gère les imprimantes partagées.
Dans smb.conf, que signifient les paramètres "guest ok = Yes" et "valid users = @smbgroup" ?;guest ok = Yes active le chiffrement ; valid users = @smbgroup liste les serveurs autorisés;guest ok = Yes autorise l'accès sans authentification (accès public) ; valid users = @smbgroup restreint l'accès aux membres du groupe smbgroup uniquement;guest ok = Yes active NetBIOS ; valid users = @smbgroup configure le workgroup;guest ok = Yes autorise root à accéder au partage ; valid users = @smbgroup exclut le groupe smbgroup;3;Dans smb.conf : "guest ok = Yes" autorise l'accès au partage sans authentification (accès public/anonyme). "valid users = @smbgroup" restreint l'accès aux seuls membres du groupe Unix smbgroup (le @ indique un groupe). Ces deux paramètres sont utilisés respectivement pour les partages publics et les partages sécurisés.
