À quel niveau OSI opèrent les répéteurs ?;Niveau 2 (Couche Liaison);Niveau 3 (Couche Réseau);Niveau 1 (Couche Physique);Niveau 4 (Couche Transport);4;Les répéteurs agissent au Niveau 1 (Couche Physique). Ils amplifient et régénèrent le signal pour étendre la portée du réseau sans modifier les données.
À quel niveau OSI opèrent les ponts (Bridges) et les commutateurs (Switches) ?;Niveau 1 (Couche Physique);Niveau 2 (Couche Liaison);Niveau 3 (Couche Réseau);Niveau applicatif (Couches 5-7);3;Les ponts et commutateurs opèrent au Niveau 2 (Couche Liaison). Ils relient des réseaux locaux en filtrant et acheminant les trames en fonction des adresses MAC.
À quel niveau OSI opèrent les routeurs ?;Niveau 1 (Couche Physique);Niveau 2 (Couche Liaison);Niveau 3 (Couche Réseau);Niveau applicatif (Couches 5-7);4;Les routeurs opèrent au Niveau 3 (Couche Réseau). Ils permettent de relier des réseaux hétérogènes et de router les paquets en fonction des adresses IP.
À quels niveaux OSI opèrent les passerelles (Gateways) ?;Niveaux 1-3;Niveau 2 uniquement;Niveau 3 uniquement;Niveaux 5-7 (couches applicatives);5;Les passerelles (Gateways) opèrent au niveau applicatif (Couches 5-7) pour convertir les protocoles entre systèmes utilisant des architectures différentes. Exemple : conversion X.400 vers SMTP.
Quelle est la distinction entre équipement d'interconnexion et équipement de communication interne ?;Les équipements d'interconnexion sont plus rapides;Les équipements d'interconnexion relient plusieurs réseaux entre eux, les équipements de communication interne assurent les transferts au sein d'un même réseau;Les équipements de communication interne relient les WAN, les équipements d'interconnexion gèrent les LAN;Il n'existe pas de distinction réelle entre ces deux catégories;3;Les équipements d'interconnexion relient plusieurs réseaux entre eux (ex. : routeur entre LAN et WAN). Les équipements de communication interne assurent le transfert des informations entre les nœuds au sein d'un même réseau (ex. : commutateur, hub).
Quelle est la principale limite des répéteurs ?;Ils modifient les données transmises;Ils sont incompatibles avec Ethernet;Ils amplifient aussi le bruit du signal et ne filtrent pas le trafic;Ils ne fonctionnent qu'avec la fibre optique;4;Le répéteur amplifie aussi le bruit du signal et ne filtre pas le trafic — tout est répété. Il ne résout pas les problèmes de congestion et ne fait aucune conversion de protocole.
Que signifie la transparence protocolaire d'un répéteur ?;Il traduit les protocoles des couches supérieures;Il ne modifie pas les données transmises et est indépendant des protocoles des couches supérieures;Il chiffre les données avant de les réémettre;Il analyse les adresses IP pour optimiser le routage;3;Le répéteur ne modifie pas les données (pas de conversion de protocole ou de transcodage), ce qui le rend transparent pour les couches supérieures. Il régénère simplement le signal physique.
Quelle est la capacité maximale de communication simultanée d'un multiplexeur ?;4 000 voies;40 000 voies;400 000 voies;4 000 000 voies;4;Les multiplexeurs permettent un nombre élevé de communications simultanées jusqu'à 400 000 voies. Ils font transiter plusieurs voies de communication sur un unique support physique.
Quelle technique de multiplexage partage la bande de fréquence entre les voies ?;TDM (Multiplexage temporel);FDM (Multiplexage fréquentiel);MIMO (Multi-Input Multi-Output);OFDMA;3;Le FDM (Frequency Division Multiplexing) partage la bande de fréquence entre les voies. Exemple : la téléphonie analogique. Le TDM (Time Division Multiplexing) partage le temps entre les voies.
À quelle sous-couche de la couche Liaison agissent les ponts (Bridges) ?;MAC (Media Access Control);PHY (Physical Layer);LLC (Logical Link Control);IP (Internet Protocol);4;Les ponts agissent au niveau de la sous-couche LLC (Logical Link Control) de la couche Liaison. Ils décodent les en-têtes des trames et les modifient si nécessaire pour l'adaptation entre réseaux.
Quel est le principal risque lié aux ponts (Bridges) en matière de topologie réseau ?;Ils peuvent surcharger les adresses IP;Ils peuvent créer des boucles avec risque de storm de diffusion;Ils ne fonctionnent qu'en mode half-duplex;Ils sont incompatibles avec la norme 802.11;3;Les ponts peuvent créer des boucles (risque de storm de diffusion). C'est l'une de leurs principales limites, avec des performances limitées due au traitement logiciel.
Sur quoi se base un commutateur (switch) pour acheminer les trames ?;Les adresses IP des machines;Les ports TCP/UDP utilisés;Les tables d'association MAC/port;Les noms de domaine DNS;4;Contrairement aux répéteurs ou hubs, un commutateur n'envoie les trames que vers le port de destination en s'appuyant sur des tables d'association MAC/port. Il enregistre l'adresse MAC de l'émetteur et le port d'origine.
Comment un commutateur apprend-il la localisation des machines du réseau ?;Par configuration manuelle par l'administrateur;Par apprentissage automatique : il enregistre l'adresse MAC de l'émetteur et le port d'origine à chaque trame reçue;Par interrogation régulière d'un serveur DNS;Par synchronisation avec un serveur DHCP;3;Lors de chaque trame reçue le commutateur enregistre l'adresse MAC de l'émetteur et le port d'origine dans sa table. Après plusieurs échanges il connaît l'emplacement de chaque nœud et peut acheminer les trames directement.
Que signifie VLAN dans le contexte des commutateurs avancés ?;Very Large Area Network;Virtual LAN : segmentation logique du réseau (norme 802.1Q);Virtual Link Access Node;Verified LAN Authentication Node;3;Le VLAN (Virtual LAN) selon la norme 802.1Q permet la segmentation logique du réseau. Les switchs avancés gèrent les VLAN pour isoler des groupes de travail.
Que signifie VRRP et à quoi sert ce protocole ?;Virtual Routing Relay Protocol : optimise le débit;Virtual Router Redundancy Protocol : assure la redondance du routeur par défaut pour éviter les pannes (RFC 2338);Virtual Remote Registration Protocol : authentifie les équipements;Virtual Resource Routing Policy : gère la QoS;3;Le VRRP (Virtual Router Redundancy Protocol) défini dans la RFC 2338 assure la redondance du routeur par défaut pour éviter les pannes. C'est une fonctionnalité avancée des commutateurs de niveau 3.
Que permettent les ACL (Access Control Lists) sur un commutateur ?;Chiffrer les flux réseau entre VLAN;Filtrer l'accès aux sous-réseaux IP en fonction de règles définies;Augmenter la bande passante disponible;Gérer les adresses IP dynamiquement;3;Les ACL (Access Control Lists) filtrent l'accès aux sous-réseaux IP en fonction de règles définies. Les commutateurs de niveau 3 utilisent les ACL pour sécuriser et contrôler le trafic.
Quelle fonctionnalité de niveau 4 offrent les commutateurs avancés ?;La translation d'adresses IP (NAT);La création de tunnels VPN;L'analyse du contenu des datagrammes IP pour autoriser ou bloquer des flux sur des ports TCP/UDP spécifiques;La résolution des noms de domaine DNS;4;Les fonctions de niveau 4 des commutateurs analysent le contenu des datagrammes IP pour autoriser ou bloquer des flux sur des ports TCP/UDP spécifiques, permettant un filtrage applicatif.
Qu'est-ce qu'un routeur frontière ?;Un routeur qui gère uniquement le trafic interne d'un LAN;Un routeur qui traduit les trames entre protocoles LAN et WAN via une CSU/DSU pour connecter un LAN à un WAN;Un routeur dédié au filtrage antivirus;Un routeur sans table de routage dynamique;3;Les routeurs frontière traduisent les trames entre les protocoles LAN et WAN (ex. : Ethernet vers Frame Relay) via une CSU/DSU (Channel Service Unit/Data Service Unit) pour connecter un LAN à un WAN.
Quelle est la différence entre routage statique et routage dynamique ?;Le routage statique utilise OSPF, le routage dynamique utilise RIP;Le routage statique est configuré manuellement et peu adaptable, le routage dynamique met à jour les tables automatiquement via des protocoles;Le routage dynamique ne fonctionne qu'en LAN;Le routage statique est plus rapide car il utilise OSPF;3;Le routage statique configure les tables manuellement et est peu adaptable aux changements. Le routage dynamique met à jour les tables automatiquement via des protocoles comme RIP (vecteur de distance) ou OSPF/BGP (état de liens).
Quelle est la différence entre un protocole à vecteur de distance (RIP) et un protocole à état de liens (OSPF) ?;RIP utilise des adresses IP, OSPF utilise des adresses MAC;Avec RIP chaque routeur annonce ses routes à ses voisins avec une métrique de distance, avec OSPF les routeurs partagent une carte complète du réseau et calculent le chemin le plus court;OSPF ne fonctionne que sur les petits réseaux, RIP sur les grands;RIP est plus récent et plus performant qu'OSPF;3;Avec RIP (vecteur de distance) chaque routeur annonce ses routes à ses voisins avec une métrique de distance. Avec OSPF (état de liens) les routeurs partagent une carte complète du réseau et calculent le chemin le plus court.
Quel protocole de routage dynamique est utilisé sur Internet pour le routage inter-domaines ?;RIP;OSPF;BGP;VRRP;4;BGP (Border Gateway Protocol) est le protocole standard utilisé pour Internet et le routage inter-domaines (entre opérateurs). RIP est pour les petits réseaux et OSPF pour les grands réseaux d'entreprise.
Que permet le NAT (Network Address Translation) dans un routeur ?;Chiffrer les communications entre sites distants;Partager une seule adresse IP publique entre plusieurs nœuds d'un réseau privé;Filtrer les paquets selon les adresses MAC;Diviser un réseau en VLAN;3;Le NAT permet de partager une seule adresse IP publique entre plusieurs nœuds d'un réseau privé. C'est une fonctionnalité avancée des routeurs qui économise les adresses IPv4 publiques.
Quel mécanisme les routeurs utilisent-ils pour créer des tunnels sécurisés entre sites distants ?;ACL (Access Control Lists);VLAN (Virtual LAN);VPN (Virtual Private Network);STP (Spanning Tree Protocol);4;Le VPN (Virtual Private Network) crée des tunnels sécurisés entre sites distants. C'est une fonctionnalité de sécurité avancée des routeurs modernes.
Quel est le rôle des passerelles (Gateways) dans les réseaux ?;Amplifier le signal sur les longues distances;Partager une ligne entre plusieurs voies de communication;Assurer la compatibilité entre applications hétérogènes en convertissant les protocoles applicatifs;Segmenter un LAN en sous-réseaux IP;4;Les passerelles assurent la compatibilité entre applications hétérogènes en convertissant les protocoles applicatifs (ex. : X.400 vers SMTP). Elles traduisent les données d'un format à un autre pour des applications non compatibles nativement.
Pourquoi les passerelles (Gateways) sont-elles de moins en moins utilisées dans les réseaux modernes ?;Elles sont trop coûteuses pour les petits réseaux;Elles ont été remplacées par des solutions logicielles comme des API ou des middlewares;Elles ne supportent pas les protocoles TCP/IP modernes;Elles ont été intégrées directement dans les commutateurs;3;Les passerelles sont de moins en moins utilisées car elles ont été remplacées par des solutions logicielles modernes (API, middlewares, proxys). Elles restent utiles pour des besoins spécifiques d'interopérabilité applicative héritée.
