Cycle de vie - Fork et Exec;Expliquez le mécanisme précis de création d'un processus P1 par un processus P0 et affichez l'arborescence actuelle pour le vérifier.;Théorie : P0 appelle l'instruction fork() (duplication de la table des descripteurs, données et pile) pour créer P1, puis exec() pour remplacer le code partagé initialement par le nouveau programme. Pratique : Utilisez la commande 'pstree' pour visualiser la filiation (ex: sshd --- bash --- pstree).
États Linux - Le Zombie;Trouvez un processus Zombie sur le système et expliquez théoriquement pourquoi il ne consomme pas de mémoire mais reste visible dans la table.;Commande : ps -ax | grep 'Z' (ou cherchez Z dans la colonne STAT). Explication : Le processus a terminé son exécution (exit), ses ressources mémoire sont libérées, mais son père n'a pas encore lu son code de retour via wait() ou reçu le signal SIGCHLD. Il reste une entrée "morte" dans la table des processus.
États Linux - Sommeil Ininterruptible;Identifiez un processus bloqué par une attente disque (I/O) qui ne peut pas être tué immédiatement par un signal standard. Quel est son code état ?;Commande : ps -ax. Recherchez le code état 'D' (TASK_UNINTERRUPTIBLE) dans la colonne STAT. Ce processus attend un événement matériel (fin d'E/S) et ne traitera les signaux (comme kill) qu'après son réveil.
Manipulation - Suspension et Reprise;Simulez le figeage d'un programme (ex: un éditeur de texte ou une commande 'sleep 100'), vérifiez son changement d'état, puis relancez-le.;1. Lancer la commande. 2. Suspendre : Faire CTRL-Z ou 'kill -SIGSTOP [PID]'. 3. Vérifier : 'ps ax' doit afficher l'état 'T' (TASK_STOPPED). 4. Reprendre : 'kill -SIGCONT [PID]'. Le processus repasse en état 'S' ou 'R'.
Ordonnancement - Politiques Temps Réel;Listez tous les processus utilisant une politique "Temps Réel" (FIFO ou Round Robin) et prouvez qu'ils sont prioritaires sur les processus normaux.;Commande : ps -e -o pid,cls,pri_baz,comm. Recherchez dans la colonne CLS les valeurs FF (FIFO) ou RR (Round Robin). Vérifiez la colonne PRI_BAZ : elle doit être entre 0 et 99 (supérieure en priorité interne aux processus TS/OTHER qui sont entre 100 et 139).
Priorités - Nice et Renice;Lancez une commande avec une priorité faible (nice élevé), puis modifiez-la dynamiquement pour la rendre plus prioritaire.;1. Lancement : 'nice -n 15 [commande]'. 2. Vérification : 'top' ou 'ps -l' montre NI=15. 3. Modification : 'renice -n 5 -p [PID]'. Note : Seul l'utilisateur root peut diminuer la valeur nice (augmenter la priorité).
Performance - Commutation de contexte;Analysez en temps réel la charge que l'ordonnanceur subit (interruptions et changements de contexte) sur votre machine.;Commande : vmstat 1 (rafraîchissement chaque seconde). Observez la colonne 'system' -> 'in' (interruptions) et 'cs' (context switches). Un nombre élevé de 'cs' indique que le processeur passe beaucoup de temps à changer de processus actif.
Multithreading - Analyse fine;Un processus Java (serveur d'application) semble lourd. Affichez ses threads individuels pour voir si un seul thread sature le CPU ou s'ils sont bien répartis.;Commande statique : 'ps -T -p [PID_JAVA]' (affiche les SPID). Commande dynamique : 'top -H -p [PID_JAVA]'. Cela permet de voir la consommation CPU ligne par ligne pour chaque thread du processus, au lieu d'une somme globale.
Monitoring - Indicateurs avancés;Dans 'top' ou 'ps', identifiez rapidement les processus qui sont : multithreadés, haute priorité, ou interactifs (au premier plan).;Regardez la colonne STAT. 'l' = multithreadé (ex: Sl). '<' = haute priorité (nice < 0). '+' = processus au premier plan (interactif). 'N' = basse priorité.
Exercice de synthèse 1 - Diagnostic de lenteur système;Un serveur est lent. Les utilisateurs se plaignent. Vous suspectez un processus de sauvegarde bloquant les disques et un processus critique mal priorisé. Diagnostiquez et corrigez.;1. 'vmstat 1' : Si colonne 'b' (blocked) élevée et 'wa' (wait I/O) élevée -> confirme le problème disque. 2. 'ps -ax' : Chercher processus en état 'D' (la sauvegarde). 3. 'ps -e -o pid,nice,comm' : Vérifier le nice du processus critique. 4. Correction : Si le processus critique a un nice positif ou zéro, faire 'renice -n -10 -p [PID_CRITIQUE]' pour lui donner l'avantage CPU dès que possible.
Exercice de synthèse 2 - Gestion de crise application figée;Une application critique (PID 1234) ne répond plus mais consomme 100% CPU. Vérifiez s'il s'agit d'une boucle infinie dans un thread, tentez une approche douce, puis un arrêt forcé.;1. Analyse : 'top -H -p 1234' pour voir si un SPID spécifique reste à 100% CPU (boucle). 2. Tentative douce : 'kill -SIGSTOP 1234' (pause) puis 'kill -SIGCONT 1234' (le changement d'état peut parfois débloquer une attente active mal gérée). 3. Arrêt propre : 'kill -SIGTERM 1234'. 4. Arrêt forcé (si toujours présent après quelques secondes) : 'kill -SIGKILL 1234'.
