Selon la norme ISO 10006 reprise par l'AFNOR sous la référence X50-105 comment se définit un projet informatique ?;Une activité routinière et répétitive;Un processus unique et structuré limité dans le temps;Une maintenance continue sans fin définie;Une gestion administrative des ressources humaines;3;Selon la norme ISO 10006 un projet est un ensemble d'activités coordonnées et maîtrisées délimitées dans le temps visant un objectif précis.
Quelle est l'une des caractéristiques essentielles qui distingue un projet informatique d'un processus continu ?;Sa nature temporaire avec des échéances définies;L'absence de contraintes budgétaires;La répétition identique des tâches quotidiennes;L'absence d'objectifs de performance;2;Un projet informatique se distingue par sa nature temporaire et son cadre strictement délimité par des échéances et des livrables définis à l'avance.
Dans le modèle de cycle de vie en V quelle est la particularité visuelle et méthodologique ?;Les phases se chevauchent sans ordre précis;Chaque phase de conception est associée à une phase de test correspondante;Le développement se fait par itérations de deux semaines;Il n'y a pas de phase de validation avant la mise en production;3;Le modèle en V crée une symétrie visuelle caractéristique où chaque phase de conception et de réalisation est systématiquement associée à une phase de test correspondante.
Quel est le principal inconvénient du modèle de développement en V classique ?;Il ne permet pas de tracer les exigences;Il manque de rigueur dans la documentation;Sa rigidité rend difficile l'intégration de modifications tardives;Il nécessite trop de réunions quotidiennes;4;La rigidité intrinsèque du modèle en V rend difficile l'intégration de modifications tardives ou d'évolutions des besoins.
Quelle méthode agile organise le travail en itérations courtes appelées sprints ?;Le modèle en V;Kanban;Scrum;Waterfall;4;Scrum est un cadre méthodologique agile qui organise le travail en itérations courtes appelées sprints généralement de deux à quatre semaines.
Dans la méthodologie Scrum qui est responsable de la vision produit et de la gestion du backlog ?;Le Scrum Master;L'équipe de développement;Le Product Owner;Le chef de projet technique;4;Le Product Owner (PO) est responsable de la vision produit et de la gestion du backlog.
Quel artefact Scrum recense l'ensemble des user stories bugs et améliorations priorisées ?;Le Sprint Backlog;Le Product Backlog;Le Burndown Chart;Le Cahier des charges;3;Le Product Backlog recense l'ensemble des user stories bugs et améliorations priorisées et sert de référence dynamique pour le projet.
Quelle est la caractéristique principale de la méthode Kanban par rapport à Scrum ?;L'utilisation de sprints fixes de 2 semaines;La présence obligatoire d'un Scrum Master;La visualisation du flux et la limitation du travail en cours (WIP);L'absence de tableau de suivi;4;Kanban se distingue par son approche axée sur la visualisation du flux de travail et la limitation du travail en cours (WIP) sans reposer sur des sprints fixes.
Qu'est-ce que le Scrumban ?;Une version obsolète de Scrum;Une approche hybride combinant la structure de Scrum et la souplesse de Kanban;Un outil de gestion de base de données;Une méthode dédiée uniquement à la maintenance matérielle;3;Le Scrumban est une approche hybride qui combine les avantages de Scrum (structure rôles) avec la souplesse de Kanban.
Lors de l'expression des besoins quel format est privilégié pour décrire les fonctionnalités de manière centrée sur l'utilisateur ?;Le diagramme de Gantt;Le code source;La User Story;Le modèle entité-association;4;Les user stories formulées de manière simple et centrée sur l'utilisateur deviennent le vecteur principal pour capturer les besoins.
Que faut-il associer à chaque User Story pour préciser les conditions de validation et éviter les ambiguïtés ?;Des critères d'acceptation;Un budget détaillé;Le nom du développeur;Une date de livraison ferme;2;Chaque user story est complétée par des critères d'acceptation qui précisent les conditions de validation et servent de référence pour les tests.
Quelle méthode est citée comme cadre structuré pour hiérarchiser les éléments du Product Backlog ?;SWOT;MoSCoW;PESTEL;Gantt;3;Des méthodes comme MoSCoW RICE ou DEEP offrent des cadres structurés pour hiérarchiser les éléments du backlog.
Quel est le rôle principal de la Maîtrise d'Ouvrage (MOA) dans un projet ?;Réaliser le développement technique;Définir les objectifs stratégiques et porter le besoin métier;Configurer les serveurs de production;Gérer les équipes de développeurs au quotidien;3;La MOA incarne le porteur du besoin définit les objectifs stratégiques et valide les livrables.
De quoi la Maîtrise d'Œuvre (MOE) est-elle responsable ?;Du financement du projet;De la définition des besoins fonctionnels;De la réalisation technique et des choix architecturaux;De la stratégie marketing du produit;4;La MOE se concentre sur la réalisation technique du projet en prenant en charge les choix architecturaux et le développement.
Quelle instance de gouvernance intervient aux jalons clés pour valider les avancées et arbitrer les décisions stratégiques ?;Le Daily Scrum;Le Comité de pilotage (COPIL);Le Comité de projet (COPRO);L'équipe DevOps;3;Le Comité de pilotage (COPIL) intervient aux jalons clés pour valider les avancées et arbitrer les décisions stratégiques.
Quelle est la différence entre le COPIL et le COPRO ?;Le COPIL est opérationnel alors que le COPRO est stratégique;Le COPIL gère le budget alors que le COPRO gère le code;Le COPIL se concentre sur la stratégie alors que le COPRO assure un suivi opérationnel régulier;Il n'y a aucune différence ce sont des synonymes;4;Le COPIL se concentre sur les enjeux stratégiques tandis que le COPRO assure un suivi opérationnel régulier des avancées et des risques.
Quel rôle agile se positionne à l'interface entre le marché et les équipes techniques pour définir la roadmap à long terme ?;Le Scrum Master;Le Lead Developer;Le Product Manager;Le Testeur QA;4;Le Product Manager (PM) se positionne à l'interface entre le marché les utilisateurs et les équipes techniques pour définir la stratégie produit.
Dans le diagramme de comitologie de la DGFIP que signifie l'acronyme CODEN ?;Comité de Développement;Comité des Démandes Nouvelles;Conseil de l'Entreprise;Comité d'Entente Numérique;3;Selon le schéma des instances de validation le CODEN signifie COmité des Démandes Nouvelles.
Quelle pratique consiste à réviser régulièrement le backlog pour affiner les user stories et estimer leur complexité ?;Le Sprint Planning;Le Backlog Grooming;La Sprint Review;Le Daily Meeting;3;Le backlog doit être régulièrement révisé lors de sessions dédiées comme les backlog grooming.
Qu'est-ce que le WIP dans la méthode Kanban ?;Work In Progress (Travail en cours);Work In Production (Travail en production);Weekly Iteration Process (Processus d'itération hebdomadaire);Web Interface Protocol (Protocole d'interface web);2;Kanban se distingue par la limitation du travail en cours désigné par l'acronyme WIP pour Work In Progress.
