Quelle est la principale distinction entre la GED et la GEIDE selon le document ?;La GEIDE concerne uniquement l'archivage papier;La GEIDE englobe la gestion de l'information (documents structurés et non structurés);La GED est réservée aux administrations publiques;La GED ne traite que les emails;3;La GEIDE (Gestion Électronique de l'Information et des Documents de l'Entreprise) étend la GED à la gestion globale de l'information de l'organisation.
Quel concept clé de la GED garantit la gestion optimale d'un document de sa création à sa destruction ?;Le workflow de validation;Le cycle de vie du document;La reconnaissance optique (OCR);L'indexation sémantique;3;Le cycle de vie est le concept central qui encadre toutes les étapes, de l'acquisition à l'archivage final ou l'élimination,.
Quelle est la différence fondamentale entre la GED et l'archivage électronique ?;La GED gère les documents actifs et modifiables, l'archivage gère les documents figés à valeur probante;La GED est stockée sur le cloud, l'archivage est stocké en local;L'archivage permet la modification des documents par l'auteur, contrairement à la GED;Il n'y a aucune différence technique, ce sont des synonymes;2;La GED est conçue pour les documents vivants/actifs, tandis que l'archivage vise à figer et conserver l'intégrité des documents à long terme,.
Quel format de fichier est recommandé pour garantir la pérennité et l'accessibilité des archives à long terme ?;Le format DOCX;Le format JPEG compressé;Le format PDF/A;Le format propriétaire du scanner;4;Le PDF/A est un standard ouvert conçu spécifiquement pour l'archivage à long terme afin d'éviter l'obsolescence technologique.
Quel est le rôle principal de l'Intelligence Artificielle (IA) dans la Lecture Automatique de Documents (LAD) ?;Numériser physiquement les documents papier;Crypter les données pour la sécurité;Extraire et structurer les informations clés (montants, dates, numéros);Générer automatiquement des réponses aux emails;4;La LAD utilise l'IA pour extraire des informations spécifiques (OCR/IRC) et les structurer pour les systèmes de gestion,.
Pourquoi les administrations privilégient-elles les "clouds souverains" comme NumSECCloud ?;Ils sont moins coûteux que les clouds publics internationaux;Ils garantissent l'hébergement des données sur le territoire national, à l'abri des lois extraterritoriales;Ils ne nécessitent pas de connexion internet;Ils permettent l'anonymat total des utilisateurs;3;Les clouds souverains assurent la conformité légale et protègent les données sensibles contre les risques liés à l'extraterritorialité des lois étrangères,.
Quel programme gouvernemental (2004-2012) a mis en place le portail "mon.service-public.fr" ?;Le plan France Numérique 2020;Le programme ADELE;Le PAGSI;Le RGPD;3;Le programme ADELE (Administration Électronique) a marqué le tournant vers des services en ligne centrés sur l'usager, aboutissant au portail unique en 2009,.
Quelle fonctionnalité permet de reconstituer l'historique d'un document et d'identifier les responsables de chaque action ?;L'indexation par mots-clés;La compression de données;La traçabilité via horodatage automatique;La numérisation haute définition;4;L'horodatage et l'enregistrement des actions assurent la traçabilité, essentielle pour prouver l'intégrité et l'authenticité dans les environnements réglementés.
Qu'est-ce que le Plan France Numérique 2020 visait principalement pour l'administration ?;L'équipement de tous les agents en tablettes;L'abandon définitif du papier et la dématérialisation intégrale des démarches;La privatisation des services d'archivage;La création d'un intranet unique pour les ministères;3;Ce plan a fixé l'objectif de l'abandon du papier et de l'obligation pour toutes les démarches d'être accessibles en ligne.
Comment la GED favorise-t-elle la productivité selon le document ?;En augmentant le nombre de documents imprimés;En automatisant les processus et en facilitant la recherche d'informations;En obligeant les employés à travailler sur site uniquement;En supprimant l'accès aux emails externes;3;La GED automatise la capture et le classement, réduit les délais de traitement et brise les silos d'information via un référentiel unique,.
