En quelle année l'ISO a-t-elle initié le modèle OSI ?;1965;1977;1984;1974;3;Le modèle OSI (Open Systems Interconnection) a été initié par l'ISO dès 1977, avec une première version en 1978 (norme ISO IS7498) et une adoption officielle en 1984.
En quelle année les premiers protocoles TCP et IP ont-ils été définis ?;1969;1974;1980;1984;3;Le modèle TCP/IP est né des travaux de l'ARPA (DOD) dans les années 1970, avec les premières versions des protocoles TCP et IP en 1974, avant leur intégration dans les systèmes UNIX dans les années 1980.
Pourquoi les modèles en couches ont-ils émergé dans les années 1960-1970 ?;Pour réduire le coût des équipements réseau;Pour faire face à l'hétérogénéité des réseaux propriétaires cloisonnés et au besoin d'interopérabilité;Pour augmenter la vitesse de transmission des données;Pour permettre le chiffrement des communications;3;Les grands acteurs industriels (IBM, BULL, APPLE) proposaient des réseaux propriétaires non compatibles entre eux. Les modèles en couches ont émergé pour standardiser les communications et permettre l'interconnexion de systèmes hétérogènes.
Combien de couches comporte le modèle OSI ?;4;5;6;7;5;Le modèle OSI comporte 7 couches : Physique, Liaison, Réseau, Transport, Session, Présentation et Application. Chaque couche a un rôle précis et peut évoluer indépendamment des autres.
Quelle unité de données est échangée à la couche Physique du modèle OSI ?;Trame;Paquet;Segment;Bit;5;La couche Physique (couche 1) échange des Bits sur le support physique (câbles, fibre, sans fil). Elle normalise les caractéristiques électriques et mécaniques (connecteurs, tensions).
Quelle est l'unité de données de la couche Liaison du modèle OSI ?;Bit;Trame;Paquet (datagramme);Segment;3;La couche Liaison (couche 2) utilise la Trame comme unité de données. Elle assure le découpage en trames, la détection/correction d'erreurs et la gestion des collisions.
Quels protocoles opèrent à la couche Réseau (couche 3) du modèle OSI ?;TCP et UDP;HTTP, FTP et SMTP;IP, ICMP, OSPF et BGP;Ethernet, PPP et Wi-Fi;4;La couche Réseau (couche 3) utilise IP, ICMP, OSPF et BGP. Son unité de données est le Paquet (datagramme). Elle assure le routage et l'adressage logique de bout en bout.
Quel est le rôle de la couche Transport (couche 4) du modèle OSI ?;Conversion et chiffrement des données;Gestion des connexions (ouverture, fermeture, synchronisation);Fiabilité, contrôle de flux, acquittements et multiplexage;Interface utilisateur pour la messagerie et le web;4;La couche Transport (couche 4) assure la fiabilité via le contrôle de flux, les acquittements et les retransmissions. Son unité est le Segment. Protocoles : TCP et UDP.
Quelle couche OSI gère l'ouverture, la fermeture et la synchronisation des connexions ?;Couche 4 (Transport);Couche 5 (Session);Couche 6 (Présentation);Couche 7 (Application);3;La couche Session (couche 5) gère les connexions (ouverture, fermeture, synchronisation). Ses protocoles incluent NetBIOS et RPC. Son unité de données est appelée Données de session.
Quel est le rôle de la couche Présentation (couche 6) du modèle OSI ?;Routage et adressage logique des paquets;Gestion des connexions entre applications;Conversion, chiffrement et compression des données (ex. : ASCII vers Unicode, SSL/TLS);Interface utilisateur pour les services réseau;4;La couche Présentation (couche 6) assure la conversion (ex. ASCII vers Unicode), le chiffrement (SSL/TLS) et la compression (JPEG, MPEG) des données. Son unité est le PPDU (Presentation PDU).
Quels protocoles opèrent à la couche Application (couche 7) du modèle OSI ?;IP, ICMP, ARP;TCP, UDP;Ethernet, Wi-Fi, PPP;HTTP, FTP, SMTP, DNS;5;La couche Application (couche 7) fournit une interface utilisateur pour les services réseau : messagerie, transfert de fichiers, web. Protocoles : HTTP, FTP, SMTP, DNS.
Qu'appelle-t-on "Segment" dans la terminologie des modèles en couches ?;L'unité échangée entre les couches Application et Transport;L'unité échangée entre les couches Transport et Réseau;L'unité échangée entre les couches Réseau et Accès réseau;L'unité échangée par la couche Accès réseau via le support physique;3;Dans la terminologie des modèles en couches, un Segment est échangé entre les couches Transport et Réseau. Un Datagramme est échangé entre les couches Réseau et Accès réseau, et une Trame est échangée par la couche Accès réseau.
Qu'est-ce que l'encapsulation dans un modèle en couches ?;La suppression des en-têtes à chaque couche lors de la réception;L'ajout d'en-têtes (métadonnées) spécifiques à chaque couche lors de l'émission;Le chiffrement des données par la couche Présentation;La compression des données pour optimiser la transmission;3;L'encapsulation est l'ajout d'en-têtes (métadonnées) spécifiques à chaque couche lors de l'émission. La décapsulation est l'opération inverse : les en-têtes sont retirés par chaque couche à la réception.
Quelle est la principale faiblesse du modèle OSI qui a conduit TCP/IP à s'imposer ?;OSI ne supporte pas les réseaux sans fil;OSI est complexe, coûteux à déployer et sa standardisation est lente;OSI ne définit que 4 couches, insuffisant pour les réseaux modernes;OSI est propriétaire et nécessite une licence commerciale;3;Le modèle OSI est difficile à implémenter dans sa globalité, coûteux et la standardisation est un processus long et bureaucratique. TCP/IP, plus simple et pragmatique, s'est imposé.
Combien de couches comporte le modèle TCP/IP ?;7;5;4;6;4;Le modèle TCP/IP comporte 4 couches : Application, Transport, Internet et Accès réseau. Contrairement à OSI qui en a 7, TCP/IP regroupe certaines couches.
À quelles couches OSI correspond la couche Application du modèle TCP/IP ?;Couches 1-2;Couches 3-4;Couches 5-6-7 (Application + Présentation + Session);Couche 4 uniquement;4;La couche Application du modèle TCP/IP correspond aux couches OSI 5, 6 et 7 (Application + Présentation + Session). Elle fournit les services utilisateur via HTTP, FTP, SMTP, DNS, DHCP.
À quelles couches OSI correspond la couche Accès réseau du modèle TCP/IP ?;Couches 3-4;Couches 5-7;Couches 1-2 (Physique + Liaison);Couche 3 uniquement;4;La couche Accès réseau du modèle TCP/IP regroupe les couches OSI 1 (Physique) et 2 (Liaison). Elle assure la transmission physique et la liaison, avec des protocoles comme Ethernet, Wi-Fi et PPP.
Quel est le rôle de la couche Internet du modèle TCP/IP ?;Assurer un transport fiable avec contrôle de flux;Router les paquets via des adresses IP;Gérer les sessions et la synchronisation des connexions;Convertir les données entre formats différents;3;La couche Internet du modèle TCP/IP route les paquets via des adresses IP. Son unité est le Datagramme. Protocoles : IP (adressage), ICMP (messages de contrôle), ARP (résolution d'adresses MAC), RARP.
Quelle est la différence fondamentale entre TCP et UDP ?;TCP est plus rapide qu'UDP;TCP est non connecté, UDP est orienté connexion;TCP est orienté connexion avec contrôle de flux et acquittements, UDP est non connecté sans contrôle de flux;TCP ne supporte que le transfert de fichiers, UDP que la voix;4;TCP est orienté connexion avec contrôle de flux, acquittements et retransmissions (utilisé pour HTTP, FTP nécessitant fiabilité). UDP est non connecté sans contrôle de flux (utilisé pour streaming vidéo, VoIP tolérant des pertes).
Quel protocole de la couche Internet permet la résolution des adresses IP en adresses MAC ?;ICMP;RARP;DNS;ARP;3;ARP (Address Resolution Protocol) permet la résolution des adresses IP en adresses MAC à la couche Internet. ICMP (Internet Control Message Protocol) transmet les messages de contrôle et d'erreurs.
Pourquoi la couche Internet de TCP/IP fonctionne-t-elle en mode non connecté ?;Pour assurer la fiabilité de la livraison des paquets;Pour permettre l'ordonnancement des paquets à l'arrivée;Les paquets sont acheminés indépendamment. L'ordonnancement et la fiabilité sont gérés par les couches supérieures;Pour réduire la latence dans les réseaux locaux;4;La couche Internet fonctionne en mode non connecté : les paquets sont acheminés indépendamment et peuvent emprunter des chemins différents. L'ordonnancement et la fiabilité sont délégués aux couches supérieures (Transport avec TCP).
Qu'est-ce qui différencie les couches basses (1-4) des couches hautes (5-7) dans un modèle en couches ?;Les couches basses gèrent les applications, les couches hautes le transport;Les couches basses sont responsables du transport des données, les couches hautes du traitement des données;Les couches basses utilisent des protocoles sans fil, les couches hautes des protocoles filaires;Il n'existe pas de distinction fonctionnelle entre couches basses et couches hautes;3;Les couches basses (1 à 4) sont responsables du transport des données (ex. : transmission physique, routage). Les couches hautes (5 à 7) sont responsables du traitement des données (ex. : gestion des sessions, formatage, services applicatifs).
Qu'est-ce qui explique l'adoption massive de TCP/IP par rapport à OSI ?;TCP/IP a été imposé par une réglementation internationale;TCP/IP est open source, simple, robuste, indépendant du support physique et a été adopté précocement par la communauté scientifique et militaire;TCP/IP offre plus de couches et donc plus de fonctionnalités;TCP/IP est propriétaire et bénéficie du support d'IBM et BULL;3;TCP/IP s'est imposé car il est open source (sources en C disponibles gratuitement), indépendant du support physique, simple, robuste et a été adopté précocement par la communauté scientifique et militaire via ARPANET.
Quelle est la relation de complémentarité entre OSI et TCP/IP dans les réseaux modernes ?;OSI a remplacé TCP/IP dans les réseaux professionnels;Les concepts d'OSI (couches, encapsulation) restent utiles pour comprendre les architectures réseau bien que TCP/IP domine en pratique;TCP/IP a rendu OSI complètement obsolète et inutile;OSI est utilisé uniquement pour les réseaux locaux, TCP/IP pour Internet;3;Bien que TCP/IP domine en pratique comme standard de fait d'Internet, les concepts d'OSI (couches, encapsulation, vocabulaire standardisé) restent utiles comme référence intellectuelle pour comprendre et décrire les architectures réseau.
