Quelle est la fonction principale des expressions régulières sous Linux ?;Identifier, filtrer, extraire ou transformer des chaînes de caractères;Uniquement créer de nouveaux fichiers;Formater le disque dur;Compiler des noyaux Linux;2;Les expressions régulières permettent d'identifier, filtrer, extraire ou transformer des chaînes de caractères selon des critères précis.
Parmi les outils Linux suivants, lesquels utilisent intensivement les expressions régulières ?;grep, sed, awk;ls, cd, pwd;chmod, chown, useradd;tar, zip, gzip;2;Les expressions régulières sont au coeur d'outils comme grep, egrep, sed, awk et des éditeurs comme vi ou nano.
Que représente le métacaractère point (.) dans une expression régulière ?;Une fin de ligne;Un retour à la ligne uniquement;Zéro ou plusieurs caractères;Un seul caractère obligatoire quel qu'il soit sauf le retour à la ligne;5;Le point représente un caractère obligatoire quel qu'il soit sauf le retour à la ligne.
Que signifie le caractère astérisque (*) lorsqu'il est placé après un élément ?;Exactement une occurrence de l'élément précédent;Le début d'une chaîne de caractères;Zéro, une ou plusieurs occurrences de l'élément précédent;Uniquement zéro occurrence de l'élément précédent;4;L'astérisque signifie zéro, une ou plusieurs occurrences de l'élément qui le précède.
Quel caractère faut-il utiliser pour rechercher le caractère réel d'un astérisque ou d'un point dans un texte brut ?;Un slash (/);Un antislash (\);Un tilde (~);Un arobase (@);3;On utilise un antislash pour neutraliser le rôle spécial d'un métacaractère et rechercher le caractère réel.
À quoi sert le symbole accent circonflexe (^) lorsqu'il est placé au début d'une expression ?;À vérifier qu'un motif se trouve à la fin d'une ligne;À créer un groupe de caractères;À rechercher uniquement ce qui commence par un motif donné;À rendre un élément facultatif;4;Le symbole ^ permet de rechercher uniquement ce qui commence par un motif donné en début de ligne.
Quel symbole est utilisé pour vérifier qu'un motif se trouve exactement à la fin d'une ligne ?;^;&;#;$;5;Le symbole $ permet de vérifier qu'un motif se trouve à la fin d'une ligne ciblée.
Quel caractère permet d'exprimer un choix ou une alternative stricte entre deux motifs (ex: ab ou cd) ?;L'antislash (\);Le caractère pipe (|);Les accolades ({});L'esperluette (&);3;Le caractère pipe permet d'exprimer un choix ou une alternative comme ab|cd qui signifie ab ou cd.
Quelle est la particularité des caractères spéciaux lorsqu'ils sont placés à l'intérieur de crochets [] ?;Ils deviennent des opérateurs globaux;Ils plantent l'outil de recherche;Ils effacent la ligne entière;Ils perdent leur signification particulière;5;Dans les crochets qui définissent une liste de caractères, les caractères spéciaux perdent leur signification particulière pour redevenir du texte simple.
Comment exprimer la négation pour exclure une liste de caractères (par exemple tout sauf une lettre minuscule) ?;En plaçant un point d'exclamation au début [!a-z];En plaçant un accent circonflexe au début de l'intervalle [^a-z];En utilisant le mot NOT [NOT a-z];En utilisant le tiret au début [-a-z];3;Si le premier caractère d'un intervalle entre crochets est un accent circonflexe ^, la liste est inversée.
Quelle classe prédéfinie permet de rechercher uniquement des chiffres de manière robuste ?;[[:alpha:]];[[:alnum:]];[[:digit:]];[[:space:]];4;La classe prédéfinie [[:digit:]] cible spécifiquement les chiffres et est plus robuste que les intervalles simples.
Dans le tableau des opérateurs de répétition, que signifie le symbole plus (+) ?;Zéro ou plusieurs occurrences;1 ou plusieurs occurrences;Zéro ou 1 occurrence;Une addition de caractères;3;L'opérateur + signifie 1 ou plusieurs occurrences du caractère ou du motif qui le précède.
Quel est le rôle du point d'interrogation (?) dans une expression régulière ?;Il pose une question au système;Il exige exactement 2 occurrences;Il inverse la sélection;Il rend l'élément qui le précède facultatif (0 ou 1 occurrence);5;L'expression comportant un caractère ? rend facultatif le caractère qui le précède avec 0 ou 1 occurrence.
Que permet de définir l'utilisation d'accolades {} comme dans ab{4,6}c ?;Une variable d'environnement;Un choix infini de caractères;Un nombre précis ou un intervalle d'occurrences;Un commentaire ignoré par l'outil;4;Les accolades permettent de préciser exactement combien de fois un caractère ou un motif doit apparaître, comme un intervalle.
Comment peut-on répéter une séquence complète de caractères au lieu d'un seul élément isolé ?;En utilisant des chevrons <>;En utilisant des parenthèses ();En doublant les lettres;En utilisant des guillemets;3;Les parenthèses permettent de créer des groupements pour répéter une séquence complète (ex: (abc){2}).
Quel outil combiné aux expressions régulières est utilisé dans le cours pour rechercher et supprimer des caractères parasites ou remplacer des espaces ?;grep;awk;nano;sed;5;L'outil sed est montré dans les exemples pratiques pour le nettoyage de données (substitution et suppression).
Dans l'exemple d'extraction d'IP via un fichier de log avec grep, quelle option est souvent utilisée avec l'expression régulière ?;-x;-Eo;-v;-r;3;La commande grep -Eo est utilisée dans le cours pour extraire des adresses IP depuis /var/log/secure.
Dans l'expression de validation d'une date ^(0||3)-(...)-(...)$, que valide la première partie du motif ?;L'année;Le siècle;Le mois de 01 à 12;Le jour de 01 à 31;5;(0||3) sert à valider le jour du mois allant de 01 à 31.
