Quel est le rôle principal des équipements d'interconnexion dans un réseau informatique ?,Relier physiquement des réseaux et acheminer les informations efficacement.
À quel niveau du modèle OSI les répéteurs opèrent-ils ?,Niveau 1 (Couche Physique).
À quel niveau du modèle OSI les ponts (bridges) et commutateurs (switches) opèrent-ils ?,Niveau 2 (Couche Liaison).
À quel niveau du modèle OSI les routeurs opèrent-ils ?,Niveau 3 (Couche Réseau).
À quel niveau du modèle OSI les passerelles (gateways) opèrent-ils ?,Niveau Applicatif (Couches 5-7).
Quelle est la différence entre un équipement d'interconnexion et un équipement de communication interne ?,"L'interconnexion relie plusieurs réseaux, la communication interne relie les nœuds d'un même réseau."
Citez un exemple d'équipement de communication interne au sein d'un réseau local (LAN).,Le commutateur (switch) ou le hub.
Quel est l'enjeu principal de l'utilisation des commutateurs par rapport aux hubs ?,Améliorer les performances en évitant les collisions.
Quelle fonctionnalité des routeurs permet de sécuriser le trafic ?,Les listes de contrôle d'accès (ACL) ou le pare-feu intégré.
Quelle est la fonction première d'un répéteur ?,Amplifier et régénérer le signal pour étendre la portée du réseau.
Pourquoi dit-on que les répéteurs sont transparents pour les couches supérieures ?,Parce qu'ils ne modifient pas les données transmises (pas de conversion de protocole).
Quelle est la limite de distance classique pour Ethernet en câble cuivre qu'un répéteur permet de dépasser ?,$100 m$.
Quel est l'inconvénient majeur d'un répéteur concernant la qualité du signal ?,Il amplifie également le bruit du signal.
Quel équipement de niveau 1 permet de faire transiter plusieurs voies de communication sur un unique support physique ?,Le multiplexeur.
Définition : Multiplexage fréquentiel (FDM).,Technique où la bande de fréquence est partagée entre les différentes voies.
Définition : Multiplexage temporel (TDM).,Technique où le temps d'utilisation du support est partagé entre les voies.
Quel est le cas d'usage typique des multiplexeurs dans les réseaux WAN ?,L'optimisation de la bande passante pour les liaisons longue distance.
Sur quelle base les ponts et commutateurs acheminent-ils les trames ?,Les adresses MAC.
Dans quelle sous-couche de la couche Liaison les ponts agissent-ils spécifiquement ?,La sous-couche LLC (Logical Link Control).
Quel est l'avantage des ponts pour la performance d'un réseau ?,Ils filtrent les collisions en isolant les segments de réseau.
Quel risque réseau majeur est associé à l'utilisation des ponts ?,La création de boucles (risque de storm de diffusion).
Pourquoi les ponts sont-ils moins utilisés aujourd'hui ?,Ils ont été remplacés par les commutateurs (switches).
Comment un commutateur apprend-il l'emplacement des nœuds sur le réseau ?,En enregistrant l'adresse MAC de l'émetteur et le port d'origine dans sa table.
Quelle norme est utilisée par les commutateurs avancés pour gérer les réseaux locaux virtuels (VLAN) ?,$802.1Q$.
Quelle est la fonction d'un commutateur de niveau 3 ?,Le routage inter-VLAN en fonction des adresses IP.
Quel protocole assure la redondance du routeur par défaut pour éviter les pannes ?,VRRP (Virtual Router Redundancy Protocol).
À quoi servent les ACL (Access Control Lists) sur un commutateur ou un routeur ?,À filtrer l'accès aux sous-réseaux IP en fonction de règles définies.
