Analyse d'impact environnemental;Comparez l'empreinte carbone du secteur numérique mondial à celle du secteur des transports. Utilisez les données chiffrées du cours pour justifier votre réponse.;Le numérique représente environ 4 % des émissions mondiales de gaz à effet de serre (GES), ce qui est supérieur aux émissions du transport aérien civil. La réponse doit souligner cette comparaison pour démontrer l'urgence d'agir.
Identification des impacts matériels;Au-delà des émissions de GES, citez un impact environnemental critique lié spécifiquement à la phase de fabrication des terminaux et serveurs.;L'épuisement des ressources abiotiques, notamment les métaux rares et les minéraux nécessaires aux composants électroniques.
Stratégie Services Publics Écoresponsables;En tant que chef de projet, fixez un objectif chiffré de réduction des GES pour votre service d'ici 2027, conformément à la circulaire SPE.;L'objectif cible est une réduction de 22 % des émissions de GES d'ici 2027 (par rapport à l'année de référence), en appliquant les 15 mesures phares de la circulaire.
Définition de la Sobriété Numérique;Reformulez la définition officielle de l'ADEME/DINUM en expliquant comment elle ne s'oppose pas à la performance.;La sobriété numérique est une démarche qui consiste à concevoir, produire et utiliser le numérique plus sobrement pour réduire l'impact environnemental, tout en maintenant l'efficacité du service. Ce n'est pas une dégradation du service, mais une optimisation du cycle de vie.
Pilier 1 : Écoconception logicielle;Vous rédigez le cahier des charges d'une nouvelle application. Quelle exigence fondamentale devez-vous inclure dès la phase de conception selon le premier pilier de la sobriété ?;Il faut exiger la réduction des besoins en ressources informatiques (CPU, RAM, stockage) dès la conception logicielle, conformément aux principes d'écoconception (référence au RGESN).
Pilier 2 : Rationalisation des usages;Un audit révèle que 40% des données stockées sur le serveur ne sont jamais consultées. Quelle action de rationalisation proposez-vous ?;Mettre en place une politique de suppression des données inutiles et d'archivage des données froides pour limiter les volumes de stockage et les flux, réduisant ainsi la consommation énergétique des disques et de la bande passante.
Pilier 3 : Durabilité des infrastructures;Votre direction souhaite renouveler 100 ordinateurs fonctionnels mais "lents". Quelle alternative proposez-vous pour respecter le pilier de durabilité ?;Proposer l'allongement de la durée de vie du matériel existant (ex: ajout de RAM, changement de disque pour SSD, nettoyage logiciel) ou le réemploi via le reconditionnement, plutôt que l'achat de neuf, pour éviter le gaspillage et l'épuisement des ressources abiotiques.
Technique : Surveillance des processus (Linux);Dans un terminal Linux, tapez la commande permettant de surveiller en temps réel les processus actifs, la consommation mémoire et CPU pour identifier les goulots d'étranglement.;La commande standard est `top` (ou `htop` si installé). Pour une vue spécifique sur la mémoire, utiliser `free -h`. Pour les entrées/sorties disques, utiliser `iostat` ou `iotop`.
Technique : Optimisation des scripts;Vous avez un script qui boucle indéfiniment en attente d'un fichier. Comment l'optimiser pour réduire la consommation CPU ?;Au lieu d'une boucle `while` active qui consomme 100% d'un cœur CPU, insérez une commande d'attente comme `sleep` dans la boucle ou utilisez `inotifywait` (paquet inotify-tools) pour déclencher le script uniquement sur événement système.
Technique : Planification des batchs;Un traitement lourd ralentit le serveur en pleine journée. Écrivez une ligne de commande `crontab` pour lancer ce script (`/opt/traitement_lourd.sh`) uniquement à 03h00 du matin.;Ligne à ajouter dans la crontab (`crontab -e`) : `0 3 * * * /opt/traitement_lourd.sh`. Cela déplace la charge serveur vers une période de faible activité, optimisant la consommation électrique globale.
Technique : Conditionnement des batchs;Modifiez un script bash pour qu'il ne s'exécute que si la charge système (load average) est inférieure à 2.0, afin d'éviter la saturation.;Ajouter en début de script : `LOAD=$(awk '{print $1}' /proc/loadavg); if (( $(echo "$LOAD > 2.0" | bc -l) )); then exit 1; fi`. Cela conditionne l'exécution à la disponibilité des ressources.
Technique : Mise en veille serveur;Quelle commande Linux permet de programmer une mise en veille (suspend to disk) et un réveil automatique le lendemain matin à 8h00 ?;Utiliser la commande `rtcwake`. Exemple : `sudo rtcwake -m disk -t $(date +%s -d "tomorrow 08:00")`. Cela permet d'éteindre physiquement les composants tout en planifiant le redémarrage.
Technique : Conteneurisation (Docker);Pour mutualiser les ressources, lancez une application web isolée (ex: Nginx) sur le port 8080 sans utiliser une machine virtuelle complète. Donnez la commande Docker.;Commande : `docker run -d -p 8080:80 --name mon_serveur_web nginx`. La conteneurisation (citée dans le document) permet d'exécuter plusieurs applications isolées sur le même hôte, optimisant l'usage matériel par rapport aux VM classiques.
Technique : Nettoyage des données (Find);Écrivez une commande pour trouver et supprimer tous les fichiers temporaires (`.tmp`) de plus de 7 jours dans le dossier `/var/tmp/`.;Commande : `find /var/tmp/ -name "*.tmp" -type f -mtime +7 -delete`. Le nettoyage régulier des fichiers temporaires libère de l'espace disque et réduit le besoin d'extension de stockage.
Technique : Détection de doublons;L'espace disque est saturé. Quelle stratégie technique et quel type d'outil utilisez-vous pour identifier les fichiers identiques sur le serveur ?;Utiliser un outil de déduplication comme `fdupes` ou `jdupes`. Commande exemple : `fdupes -r /home/user`. Supprimer les doublons est une mesure explicite de sobriété citée pour éviter le stockage inutile.
Technique : Compression des données;Avant de transférer une base de données SQL de 10 Go, quelle commande utilisez-vous pour réduire la bande passante consommée ?;Utiliser `gzip` ou `tar`. Exemple : `tar -czvf dump_sql.tar.gz ma_base.sql`. La compression des données et des sauvegardes est essentielle pour limiter les flux réseaux et l'espace de stockage.
Technique : Mise en cache (Réseau);Votre application web effectue la même requête SQL complexe à chaque visite. Quelle solution technique mettez-vous en place pour limiter les requêtes ?;Mettre en place un système de cache (ex: Redis, Varnish ou cache applicatif). Cela permet de servir la donnée depuis la mémoire RAM sans solliciter le CPU de la base de données ni le réseau interne à chaque appel.
Cadre légal : Commande publique;Vous rédigez un appel d'offres pour l'achat de serveurs. Selon l'article L2111-1 du code de la commande publique, que devez-vous obligatoirement définir ?;Vous devez définir la nature et l'étendue des besoins en prenant en compte des objectifs de développement durable dans leurs dimensions économique, sociale et environnementale AVANT le lancement de la consultation.
Référentiels officiels;Vous devez évaluer si votre nouveau site web ministériel est "responsable". Quels sont les trois référentiels officiels à vérifier pour la cohérence globale ?;Le RGESN (Écoconception), le RGS (Sécurité) et le RGAA (Accessibilité). Ces trois référentiels doivent être articulés en cohérence.
