Quelle est la part estimée du secteur numérique dans les émissions mondiales de gaz à effet de serre ?;1 %;4 %;10 %;20 %;3;Le secteur numérique représente environ 4 % des émissions mondiales de GES soit plus que le transport aérien.
À quel secteur de transport l'empreinte carbone du numérique est-elle souvent comparée car elle lui est supérieure ?;Au transport maritime;Au transport ferroviaire;Au transport aérien;Au transport routier;4;Avec environ 4 % des émissions mondiales le numérique émet plus de gaz à effet de serre que le transport aérien civil.
Outre les émissions de GES quel est un autre impact environnemental majeur de la fabrication des équipements numériques ?;L'épuisement des ressources abiotiques (métaux et minéraux);La pollution sonore urbaine;La déforestation massive directe;L'eutrophisation des océans;2;La fabrication des équipements entraîne l'épuisement des ressources abiotiques notamment les métaux et minéraux rares.
Quel est l'objectif de réduction des émissions de GES fixé par la circulaire Services publics écoresponsables d'ici 2027 ?;15 %;22 %;30 %;50 %;3;La circulaire vise une réduction de 22 % des émissions de GES des services publics d'ici à 2027 via 15 mesures concrètes.
Quel montant est alloué au programme France 2030 qui soutient notamment le numérique responsable ?;10 milliards d'euros;25 milliards d'euros;40 milliards d'euros;54 milliards d'euros;5;Le programme France 2030 est doté de 54 milliards d'euros pour soutenir l'offre numérique innovante et la durabilité des infrastructures.
Selon la définition ADEME/DINUM quel est l'objectif principal de la sobriété numérique ?;Arrêter totalement l'usage du numérique;Maintenir l'efficacité tout en réduisant l'impact environnemental;Utiliser uniquement des ordinateurs reconditionnés;Interdire le cloud computing;3;La sobriété numérique consiste à concevoir produire et utiliser le numérique de manière plus sobre pour réduire son impact tout en maintenant son efficacité.
Lequel de ces éléments n'est PAS l'un des trois piliers de l'application professionnelle de la sobriété numérique ?;L'écoconception;La suppression totale du stockage;La rationalisation des usages;La durabilité des infrastructures;3;Les trois piliers sont l'écoconception la rationalisation des usages et la durabilité des infrastructures (la suppression totale n'est pas un pilier).
Quelle technique permet de mutualiser les ressources en hébergeant plusieurs machines virtuelles sur un seul serveur physique ?;La conteneurisation;L'encapsulation;La virtualisation;La défragmentation;4;La virtualisation est citée comme moyen de mutualiser les ressources en hébergeant plusieurs VM sur un seul serveur physique.
Quel outil est spécifiquement cité dans le document pour illustrer la conteneurisation des applications ?;Kubernetes;Docker;VirtualBox;VMware;3;Docker est l'outil cité en exemple pour utiliser la conteneurisation et exécuter plusieurs applications isolées sur le même hôte.
Concernant les traitements par lots (batchs) quelle pratique est recommandée pour la sobriété numérique ?;Les exécuter uniquement la nuit;Planifier leur exécution selon la charge du serveur;Les supprimer définitivement;Les lancer manuellement chaque matin;3;Il est recommandé de rationaliser les traitements batch en planifiant leurs exécutions selon la charge serveur et la présence des ressources.
Quelle action est préconisée pour limiter les flux réseau lors de l'accès aux données fréquentes ?;La mise en cache des données;Le téléchargement systématique;La compression zip;L'envoi par email;2;Mettre en cache les données fréquemment utilisées permet de limiter les requêtes inutiles et les flux réseau.
Que stipule l'article L2111-1 du code de la commande publique concernant la définition des besoins ?;Elle doit privilégier le moins disant financier;Elle doit prendre en compte des objectifs de développement durable;Elle est facultative pour les petits montants;Elle ne concerne pas le matériel informatique;3;L'article impose de prendre en compte les objectifs de développement durable dans leurs dimensions économique sociale et environnementale dès la définition du besoin.
Quel référentiel définit les critères pour concevoir des services numériques responsables ?;Le RGPD;Le RGS;Le RGAA;Le RGESN;5;Le RGESN (Référentiel général d'écoconception de services numériques) définit les critères de conception responsable.
Quelle entité pilote les feuilles de route du numérique responsable de chaque ministère ?;L'ANSSI;La DINUM;La CNIL;Le Ministère de l'Écologie;3;La DINUM (Direction interministérielle du numérique) pilote les feuilles de route du numérique responsable.
Comment se nomme la mission interministérielle chargée du numérique responsable citée dans le document ?;MiNumEco;EcoNum;GreenTech;FranceNum;2;La mission numérique responsable se nomme MiNumEco.
