Quelle est la définition principale de la sobriété numérique ?;Concevoir produire et utiliser le numérique de manière responsable pour réduire son impact environnemental;Supprimer totalement l'usage du numérique dans les administrations;Augmenter la puissance de calcul pour accélérer les traitements;Remplacer systématiquement le matériel tous les ans;2;La sobriété numérique vise à réduire l'impact environnemental tout en préservant l'efficacité des services.
Quel est l'objectif chiffré du programme « Bercy vert » d'ici 2027 concernant les émissions de gaz à effet de serre liées au numérique ?;Une diminution de 10 %;Une diminution de 22 %;Une diminution de 50 %;Une neutralité carbone totale;3;Le programme vise à diminuer de 22 % d'ici 2027 les émissions de gaz à effet de serre liées au numérique.
Dans quel cadre ministériel s'inscrit la politique de sobriété numérique ?;Le Plan France Très Haut Débit;Le programme Services Publics +;La démarche Services publics écoresponsables (SPE);Le plan de relance numérique;4;Au niveau ministériel la démarche s'inscrit dans le cadre des Services publics écoresponsables (SPE).
Que garantit le référentiel RGAA dans le contexte de la sobriété numérique ?;La sécurité des données;La réduction de la consommation électrique;L'accessibilité numérique pour tous les usagers;L'archivage légal des documents;4;Le RGAA (Référentiel général d'amélioration de l'accessibilité) garantit l'accessibilité numérique incluant simplicité et compatibilité.
Quelle injonction paradoxale le RGS (Référentiel général de sécurité) soulève-t-il vis-à-vis de la sobriété numérique ?;La nécessité d'augmenter la puissance de calcul pour le cryptage;La réduction des logs pour la sobriété face au besoin de traçabilité pour la sécurité;L'interdiction du cloud pour des raisons de souveraineté;L'obligation d'utiliser du matériel neuf pour éviter les pannes;3;Le RGS encadre la sécurité et crée une tension entre la volonté de réduire le volume des logs et le besoin de conserver une traçabilité.
Quel principe du RGPD participe directement à la sobriété numérique ?;Le droit à l'oubli uniquement pour les célébrités;L'obligation de notifier les failles de sécurité;La minimisation des données et la suppression des données inutiles;Le transfert des données hors de l'Union européenne;4;Le RGPD impose la minimisation des données conservées et la suppression de celles devenues inutiles ce qui réduit le stockage.
À quoi correspond le sigle RGESN ?;Référentiel général d'écoconception de services numériques;Règlement général des services numériques;Registre de gestion des espaces sans numérique;Réseau global de l'enseignement supérieur numérique;2;Le RGESN impose des principes pour réduire l'empreinte environnementale des services dès leur conception.
Quelle action technique permet de rationaliser les infrastructures existantes ?;L'achat systématique de nouveaux serveurs;La décentralisation des données sur les postes clients;La fusion de serveurs sous-utilisés via la mutualisation;L'augmentation de la fréquence des sauvegardes;4;La rationalisation passe par la consolidation et la mutualisation comme la fusion de serveurs sous-utilisés.
Quel indice est utilisé pour mesurer l'efficacité énergétique des datacentres ?;Le ROI (Return on Investment);Le PUE (Power Usage Effectiveness);Le KPI (Key Performance Indicator);Le TCO (Total Cost of Ownership);3;Le PUE amélioré est cité comme un critère pour le déploiement de datacentres plus sobres.
Comment une architecture « scalable » contribue-t-elle à la sobriété ?;Elle permet d'utiliser uniquement des logiciels open source;Elle assure une redondance des données sur trois sites;Elle permet de monter en capacité lors des pics et de redescendre le reste du temps;Elle empêche les connexions simultanées trop nombreuses;4;Les architectures adaptatives ajustent les ressources à la charge réelle évitant le surdimensionnement permanent.
Quelle pratique d'exploitation est recommandée pour gérer les traitements non critiques ?;Les supprimer définitivement;Les lancer systématiquement à midi;Les reprogrammer pour éviter les pics de charge;Les exécuter en priorité absolue;4;Les arbitrages de planification doivent décaler les traitements non critiques pour lisser la consommation.
Comment le rôle du Programmeur Système d'Exploitation (PSE) est-il qualifié dans cette transformation ?;Uniquement exécutant;Expert technique et acteur transverse;Responsable des achats matériels;Gestionnaire administratif;3;Le PSE est un acteur clé de la transition en tant qu'expert technique mais également transverse.
Quelle action concrète le PSE peut-il mener pour optimiser les scripts et batchs ?;Ajouter des conditions et limiter les boucles;Augmenter la fréquence d'exécution des tâches;Supprimer tous les commentaires du code;Multiplier les fichiers temporaires par sécurité;2;L'optimisation passe par des mécanismes d'automatisation sobres comme l'ajout de conditions et la limitation des boucles.
Quel type de risque nouveau le PSE doit-il surveiller suite aux optimisations de sobriété ?;Les coupures de courant généralisées;Le vol de matériel;Les conflits de traitements concurrents déclenchés après optimisation;L'obsolescence programmée des logiciels;4;La surveillance proactive doit gérer les risques induits comme les traitements concurrents après modification des batchs.
Lequel de ces éléments est un indicateur de pilotage de la démarche SPE ?;Le nombre d'emails envoyés par jour;Le taux de charge CPU et le volume de logs;Le nombre de tickets d'incident utilisateur;La température extérieure du bâtiment;3;Les indicateurs de pilotage incluent les volumes de logs le taux de charge CPU et l'occupation du stockage.
Quel rôle pédagogique le PSE joue-t-il auprès des développeurs ?;Il leur interdit l'accès aux serveurs de production;Il valide leur budget formation;Il partage les bonnes pratiques notamment dans une approche DevOps;Il réécrit tout leur code sans les consulter;4;Le PSE partage les bonnes pratiques pour intégrer la sobriété tout au long du cycle de développement.
Quel défi futur lié aux services publics nécessitera l'expertise du PSE pour maîtriser le coût énergétique ?;La généralisation de la 5G;L'essor de l'intelligence artificielle;Le retour au papier pour les démarches administratives;L'utilisation de la blockchain pour l'état civil;3;L'essor de l'IA dans les services publics exigera de maîtriser les coûts énergétiques tout en innovant.
Quelle stratégie est privilégiée pour le matériel afin de réduire l'impact environnemental ?;Le remplacement annuel par du matériel plus performant;L'allongement du cycle de vie via le reconditionnement et la maintenance;L'achat de matériel d'occasion sans garantie;La location de courte durée exclusivement;3;L'allongement du cycle de vie privilégie la réparation et le reconditionnement plutôt que le remplacement systématique.
Comment le PSE intervient-il lors des comités d'architecture ?;Il prend des notes pour le compte rendu;Il formule des recommandations techniques pour orienter les choix;Il décide seul du budget alloué;Il n'y participe pas car c'est un rôle stratégique;3;Le PSE mobilise son expertise pour formuler des recommandations et orienter les choix technologiques vers la sobriété.
Quelle action concerne la gestion raisonnée des données ?;La duplication systématique sur tous les disques disponibles;La suppression des données devenues inutiles et l'archivage;Le cryptage de l'ensemble des données sans distinction;L'impression des données sensibles pour stockage physique;3;La gestion raisonnée implique une politique stricte de cycle de vie incluant archivage et suppression.
