Quel est le rôle principal du système d'exploitation dans la gestion des entrées/sorties ?;Fabriquer les composants matériels;Masquer la complexité technique des périphériques;Augmenter la fréquence du processeur;Remplacer la mémoire vive;3;Le système agit comme une couche d'abstraction pour offrir une interface unifiée aux applications.
Quel mécanisme utilise un périphérique pour attirer l'attention du processeur ?;Le polling;L'interruption;Le formatage;La mise en veille;3;Lorsqu'un périphérique a besoin d'attention il génère une interruption que l'OS intercepte pour traiter l'événement.
Quelle est la fonction principale de la couche d'abstraction matérielle (HAL) ?;Isoler le noyau des spécificités matérielles;Accélérer la vitesse de rotation du disque;Gérer les mots de passe utilisateur;Nettoyer les fichiers temporaires;2;La HAL fournit une interface standardisée permettant au noyau de communiquer avec le matériel sans connaître les détails d'implémentation.
Quel type de bus relie directement le processeur à la mémoire et aux contrôleurs principaux ?;Le bus USB;Le bus PCI Express;Le bus système (FSB);Le bus SATA;4;Le bus système assure un débit élevé pour les opérations critiques entre le processeur et la mémoire.
Comment les architectures modernes privilégient-elles la transmission de données sur les bus ?;En parallèle;En série;En analogique;En Wi-Fi;3;Les architectures modernes comme PCIe ou SATA privilégient les bus série pour des débits plus élevés et moins d'interférences.
Quel composant est chargé de traduire les commandes génériques de l'OS en signaux spécifiques pour le périphérique ?;Le processeur;La mémoire cache;Le contrôleur;Le BIOS;4;Le contrôleur agit comme intermédiaire intelligent et traduit les commandes pour le périphérique.
Quelle est la caractéristique principale d'un périphérique de flux ?;Il traite les données séquentiellement sans adresse fixe;Il stocke les données par blocs;Il permet un accès aléatoire immédiat;Il possède des plateaux magnétiques;2;Les périphériques de flux comme le clavier traitent les données comme un flux ininterrompu et séquentiel.
Quel est un exemple typique de périphérique fonctionnant en mode bloc ?;La souris;Le clavier;La carte son;Le disque dur;5;Les disques durs sont des périphériques blocs car les données sont structurées en secteurs avec des adresses uniques.
Quel composant du chipset gère les périphériques d'E/S lents comme les ports USB ?;Le processeur;Le pont nord (Northbridge);Le pont sud (Southbridge);La carte graphique;4;Le pont sud s'occupe des périphériques plus lents pour ne pas encombrer le bus système.
Quelle méthode d'accès permet aux périphériques d'échanger des données avec la mémoire sans solliciter le processeur ?;L'interruption (IRQ);Le DMA (Direct Memory Access);Le Polling;Le Spooling;3;Le DMA permet de déléguer les transferts lourds à un contrôleur dédié libérant ainsi le processeur.
