Quel est le rôle fondamental du noyau dans un système d'exploitation ?;Un compilateur de code;Une interface entre le matériel et les applications;Un gestionnaire de base de données;Un outil de virtualisation;3;Le noyau est la couche logicielle centrale qui assure l'interface entre le matériel (processeur, mémoire) et les applications.
Comment est qualifiée l'architecture spécifique du noyau Linux ?;Micro-noyau strict;Hybride fermé;Monolithique modulaire;Distribué;4;Linux est un noyau monolithique modulaire : il intègre les fonctions essentielles mais peut charger des pilotes dynamiquement.
Quel est le principal inconvénient d'un noyau purement monolithique ?;La lenteur de communication;Une erreur dans un pilote peut compromettre tout le système;La difficulté à gérer la mémoire;L'impossibilité de gérer le réseau;3;Dans un noyau monolithique, tout est regroupé, donc une erreur dans un driver peut causer une panne globale du système.
Quel ordonnanceur (scheduler) est utilisé par défaut dans Linux pour assurer l'équité entre processus ?;RT (Real Time);FIFO;CFS (Completely Fair Scheduler);Round Robin;4;Le CFS (Completely Fair Scheduler) cherche à donner à chaque processus une part équitable du temps processeur.
Quelle structure interne du VFS contient les métadonnées d'un fichier (droits, pointeurs) ?;Superblock;Dentry;Inode;File structure;4;L'inode est la structure qui représente un fichier dans le VFS et contient ses métadonnées et permissions.
Quelle commande permet de charger un module du noyau en gérant automatiquement les dépendances ?;insmod;modprobe;lsmod;rmmod;3;La commande modprobe charge un module (fichier .ko) et gère ses dépendances, contrairement à insmod.
Quelle commande permet de lancer la configuration du noyau avec une interface graphique textuelle (ncurses) ?;make config;make defconfig;make oldconfig;make menuconfig;5;La commande make menuconfig lance une interface intuitive basée sur ncurses pour configurer le noyau.
À quoi sert l'option '-j$(nproc)' lors de la compilation du noyau avec make ?;À nettoyer les sources;À installer les modules;À utiliser tous les cœurs du CPU pour accélérer la compilation;À générer la documentation;4;L'argument -j définit le nombre de tâches parallèles, et $(nproc) permet d'utiliser tous les cœurs disponibles.
Quel outil permet de modifier un paramètre du noyau dynamiquement sans redémarrage (ex: swappiness) ?;sysctl;uname;chmod;systemd;2;La commande sysctl (ou l'écriture dans /proc/sys) permet d'ajuster les paramètres du noyau en temps réel.
Quelle commande affiche le tampon circulaire des messages du noyau, utile pour diagnostiquer le matériel ?;cat /var/log/auth.log;top;dmesg;ps aux;4;La commande dmesg affiche les messages émis par le noyau, ce qui est crucial pour détecter les pannes matérielles.
Quelle technologie permet d'appliquer des correctifs de sécurité au noyau sans avoir à redémarrer le serveur ?;Live patching;Secure Boot;Swapping;Kernel building;2;Le 'live patching' (via kpatch, ksplice, etc.) permet de corriger le noyau à chaud pour assurer la continuité de service.
Quel mécanisme mémoire est particulièrement utile pour optimiser les grosses bases de données sous Linux ?;ZRAM;HugePages;Swap agressif;KSM;3;Les HugePages optimisent la gestion de la mémoire pour les systèmes lourds comme les bases de données.
Dans quel répertoire sont situés les modules compilés correspondant à la version du noyau ?;/etc/kernel;/usr/bin/modules;/lib/modules/<version>;/boot/grub;4;Les modules sont installés dans /lib/modules/ suivi de la version du noyau (uname -r).
Quelle est la fonction du VFS (Virtual File System) ?;Stocker les fichiers en RAM;Fournir une interface générique pour tous les systèmes de fichiers;Gérer uniquement les disques réseaux;Remplacer le système de fichiers ext4;3;Le VFS est une couche d'abstraction qui permet aux applications d'utiliser les mêmes appels (open, read) quel que soit le format du disque.
Quel outil de diagnostic moderne permet de charger des programmes légers dans le noyau pour l'analyser ?;eBPF;strace;vmstat;nice;2;eBPF est un mécanisme puissant permettant d'exécuter du code sécurisé dans le noyau pour le traçage et l'analyse.
Que signifie l'acronyme LTS concernant une version du noyau Linux ?;Latest Testing System;Linux Torvalds Signed;Long Term Support;Low Traffic Server;4;Une version LTS (Long Term Support) est maintenue plusieurs années, ce qui est idéal pour la production.
Quelle commande permet à un administrateur de vérifier la version du noyau actuellement active ?;uname -r;lsmod;cat /etc/os-release;modinfo;2;La commande uname -r affiche la version précise du noyau chargé en mémoire.
Quel pseudo-système de fichiers permet d'interagir avec les processus et le noyau sous forme de fichiers ?;/proc;/dev;/mnt;/var;2;Le dossier /proc est un système de fichiers virtuel qui expose les informations du noyau et des processus.
Pourquoi un administrateur pourrait-il choisir de compiler son propre noyau ?;Pour augmenter la taille du disque dur;Pour activer un support matériel spécifique non inclus par défaut;Pour changer l'interface graphique du bureau;Pour installer de nouvelles applications utilisateur;3;La compilation permet d'activer des pilotes spécifiques, d'optimiser les performances ou de réduire la surface d'attaque.
Quel est le rôle de la structure 'task_struct' dans le noyau ?;Gérer les inodes du disque;Représenter un processus et son état;Gérer la table de routage réseau;Stocker les modules chargés;3;Chaque programme est représenté par une structure task_struct contenant son état, son PID et ses priorités.
