Quelle est la limite de taille de disque imposée par le système de partitionnement MBR utilisé historiquement par le BIOS ?;500 Go;2 To;4 To;8 To;3;Le BIOS historique ne peut démarrer que depuis un disque utilisant une table MBR, limitant ainsi la taille à 2 To.
Quel mécanisme de sécurité spécifique à l'UEFI vérifie la signature cryptographique de chaque composant chargé au démarrage ?;Secure Boot;LUKS;Initramfs;Systemd;2;Le Secure Boot empêche l'exécution de code non autorisé en vérifiant les signatures lors de la séquence de démarrage UEFI.
Quel est le nom du chargeur de démarrage standard sur la majorité des distributions Linux modernes ?;LILO;systemd-boot;GRUB2;Syslinux;4;GRUB2 est le chargeur par défaut, capable de lire de nombreux systèmes de fichiers et de charger le noyau en mémoire.
Pourquoi le système temporaire initramfs est-il nécessaire au démarrage de Linux ?;Pour vérifier l'intégrité de la RAM;Pour configurer le réseau en PXE;Pour stocker les journaux de démarrage;Pour fournir les pilotes nécessaires au montage de la partition racine;5;Le noyau seul ne contient pas tous les pilotes spécifiques (comme LUKS ou NVMe), l'initramfs lui fournit ces éléments indispensables.
Quel processus moderne remplace l'ancien init pour gérer le démarrage parallélisé des services et la supervision du système ?;Upstart;Systemd;SysVinit;journald;3;Systemd est le premier processus lancé par le noyau, orchestrant tout le système et passant celui-ci en mode multi-utilisateur.
Quelle commande est recommandée sous Linux pour vérifier l'intégrité d'une image ISO fraîchement téléchargée ?;md5sum;cksum;sha256sum;gpg-check;4;La commande sha256sum permet de comparer l'empreinte de l'ISO avec la somme de contrôle fournie officiellement.
Quel outil en ligne de commande est la référence pour copier une image ISO brute sur une clé USB octet par octet ?;cp;dd;rsync;tar;3;La commande dd est simple mais radicale pour écrire une image ISO directement sur un périphérique bloc.
Pourquoi est-il recommandé de créer une partition distincte pour le répertoire /var ?;Pour accélérer le temps de démarrage;Pour chiffrer uniquement les mots de passe;Pour stocker les différents noyaux Linux;Pour éviter que la saturation par les journaux n'affecte la racine;5;Isoler /var sur une partition distincte empêche un remplissage intempestif des logs de bloquer la partition racine.
Lequel de ces systèmes de fichiers est recommandé pour les bases de données mais ne peut pas être réduit en taille une fois créé ?;ext4;Btrfs;ZFS;XFS;5;Conçu par SGI, XFS excelle pour les fichiers volumineux mais son architecture ne permet que l'extension du volume, pas sa réduction.
Quel standard de facto est utilisé sous Linux pour chiffrer l'intégralité d'un disque au niveau du bloc ?;LUKS;BitLocker;eCryptfs;GnuPG;2;LUKS (Linux Unified Key Setup) est la norme de chiffrement de disque sous Linux, protégeant contre le vol physique.
Sous Ubuntu, quel paquet permet d'automatiser l'installation des correctifs de sécurité critiques ?;apt-daily;cron-apt;unattended-upgrades;auto-patcher;4;Le paquet unattended-upgrades configure le système pour appliquer de façon autonome les mises à jour de sécurité.
Parmi les hyperviseurs suivants, lequel est qualifié de Type 2 (s'exécutant sur un système d'exploitation existant) ?;VMware ESXi;VirtualBox;Proxmox VE;Microsoft Hyper-V;3;Contrairement aux hyperviseurs de Type 1 (bare-metal) utilisés en production, VirtualBox est un hyperviseur de Type 2 adapté aux tests locaux.
Pour obtenir des performances d'entrée/sortie optimales sur une VM KVM/Proxmox, quel type de pilote faut-il privilégier ?;Les pilotes émulés IDE;Les pilotes SATA standards;Les pilotes paravirtualisés VirtIO;Les pilotes NVMe natifs;4;Les pilotes VirtIO sont paravirtualisés, ce qui signifie que le système invité est conscient d'être virtualisé, réduisant ainsi la latence.
Lors de la création d'un clone de machine virtuelle, quelle action de sécurité est indispensable ?;Régénérer les clés SSH et le machine-id;Supprimer le fichier /etc/fstab;Nettoyer le cache ARP;Désactiver temporairement le pare-feu;2;Si on ne nettoie pas les clés SSH et le machine-id du template, tous les clones partageront la même identité réseau et cryptographique.
Dans un déploiement PXE, quel service réseau indique à la machine cliente l'adresse du serveur TFTP (option 66) ?;Le serveur DNS;Le serveur HTTP;Le serveur NFS;Le serveur DHCP;5;Lors de la découverte réseau, le serveur DHCP fournit l'adresse IP et les options 66 et 67 pointant vers les fichiers de démarrage.
Comment s'appelle le système permettant d'automatiser l'installation complète d'une distribution Debian ou Ubuntu via un fichier de réponse ?;Kickstart;Preseed;cloud-init;AutoYaST;3;Preseed permet de fournir en amont toutes les réponses aux questions de l'installateur Debian/Ubuntu.
Quel outil universel est particulièrement adapté pour configurer dynamiquement une machine virtuelle lors de son tout premier démarrage ?;cloud-init;systemd-boot;Preseed;GRUB2;2;cloud-init agit au premier boot pour injecter les configurations spécifiques (clés SSH, hostname) dans une image clonée.
Quel outil utilisant le langage déclaratif HCL est la référence pour provisionner l'infrastructure sous forme de code ?;Ansible;Puppet;Terraform;Chef;4;Développé par HashiCorp, Terraform permet de décrire l'état désiré de l'infrastructure via le langage déclaratif HCL.
Quelle est la particularité principale du fonctionnement d'Ansible pour gérer les serveurs distants ?;Il nécessite l'installation d'un agent lourd sur chaque serveur;Il est sans agent et se connecte via SSH;Il compile des binaires pour chaque architecture;Il fonctionne exclusivement en mode déconnecté;3;Ansible est agentless et déploie ses configurations en se connectant simplement via SSH aux machines cibles.
Dans une approche d'infrastructure immuable, à quoi sert principalement l'outil Packer ?;À automatiser la création d'images systèmes pré-configurées;À surveiller la charge CPU des serveurs;À générer des certificats de sécurité;À compresser les bases de données;2;Packer permet de créer des templates (images systèmes immuables) identiques pour différents environnements cloud ou virtualisés.
