Code Source vs Code Exécutable;Vous possédez un fichier binaire et souhaitez modifier son comportement interne sans accès aux fichiers d'origine. Est-ce possible ?;Non (ou très difficile). Le code exécutable est binaire (pour la machine), tandis que le logiciel libre fournit le code source lisible et modifiable par l'humain
Le Compilateur;Quel est le nom de l'outil qui transforme le code source (langage C, Java...) en fichier binaire exécutable par le processeur ?;Le compilateur. Il traduit les instructions humaines en langage machine. C'est une étape clé transparente dans le libre mais opaque dans le propriétaire
Liberté 0 (Exécution);Une licence interdit l'usage d'un logiciel pour une centrale nucléaire. Est-ce un logiciel libre selon la FSF ?;Non. La liberté 0 garantit le droit d'exécuter le programme pour n'importe quel usage, sans restriction de contexte
Copyleft (Gauche d'auteur);Quel mécanisme juridique utilise le droit d'auteur pour forcer le maintien des libertés lors de la redistribution d'une version modifiée ?;Le Copyleft. Il impose que les modifications soient redistribuées sous la même licence libre (ex: GPL), empêchant la réappropriation
Licence GNU GPL;Vous modifiez un logiciel sous licence GPL. Avez-vous le droit de distribuer votre version en gardant votre code secret ?;Non. La GPL oblige à publier le code source de toute version modifiée distribuée (principe de réciprocité forte)
Licences Permissives (BSD/MIT);Vous développez un produit propriétaire et souhaitez intégrer du code sous licence MIT. Devez-vous ouvrir votre propre code ?;Non. Les licences permissives (BSD, MIT, CeCILL-B) permettent l'intégration dans du propriétaire sans obligation de réciprocité, tant que l'auteur est cité
Licence LGPL / CeCILL-C;Vous créez un logiciel propriétaire qui appelle dynamiquement une bibliothèque externe. Quelle licence libre choisir pour cette bibliothèque ?;Une licence LGPL ou CeCILL-C. Ce sont des licences à copyleft "faible" conçues pour les bibliothèques, permettant le lien avec des programmes propriétaires
Creative Commons (NC/ND);Pourquoi les licences Creative Commons avec clauses NC (Non Commercial) ou ND (No Derivatives) ne sont-elles pas "Libres" ?;Elles restreignent l'usage (NC) ou la modification (ND), ce qui viole les libertés fondamentales du logiciel libre. Elles sont adaptées aux œuvres artistiques, pas au code
Modèle Open Core (Hybride);Un éditeur propose une version communautaire gratuite et vend des modules "Enterprise" propriétaires. Quel est ce modèle ?;Le modèle Hybride ou Open Core. Il finance le projet en monétisant des fonctionnalités avancées ou critiques sur une base libre
La Mutualisation;Plusieurs ministères ont besoin d'une même fonctionnalité manquante dans un logiciel libre. Quelle stratégie adoptent-ils ?;La mutualisation. Ils cofinancent le développement de la fonctionnalité, partageant ainsi les coûts et bénéficiant à toute la communauté
Circulaire Ayrault (2012);Quel texte juridique impose à l'administration française de considérer systématiquement le logiciel libre pour réduire les coûts ?;La circulaire du 19 septembre 2012 (Ayrault). Elle établit les orientations pour l'usage et la gouvernance du logiciel libre dans l'administration
Méthode QSOS;Quelle méthode standardisée utilise la DGFiP pour évaluer la maturité technique et les risques d'un logiciel libre ?;La méthode QSOS (Qualification and Selection of Open Source Software). Elle permet une comparaison objective (licence, pérennité, communauté)
Délai de Reversement;Dans le marché support DGFiP, si le prestataire corrige un bug, sous quel délai doit-il proposer le patch à la communauté (upstream) ?;Sous 7 jours ouvrés après validation par l'administration. Le but est que le correctif profite à tous et intègre la version officielle
Clause de Réversibilité;Le contrat de support se termine. Comment l'administration s'assure-t-elle de récupérer l'historique des tickets et les correctifs ?;Via la clause de réversibilité. Le prestataire a 10 jours ouvrés pour restituer l'ensemble des données, correctifs et documentations
OSPO (Open Source Program Office);Quel type de bureau la Commission européenne a-t-elle créé pour piloter sa stratégie interne de logiciels libres ?;Un OSPO. C'est une structure dédiée pour faciliter l'utilisation, la contribution et la culture du logiciel libre au sein de l'institution
