Dans quelle RFC le protocole IP (Internet Protocol) est-il défini ?;RFC 903;RFC 2460;RFC 791;RFC 1918;4;Le protocole IP (Internet Protocol) est défini dans la RFC 791. Il opère au niveau 3 du modèle OSI (niveau 2 du modèle DOD/TCP-IP) et son rôle est d'acheminer les datagrammes entre les hôtes d'un réseau.
Sur combien de bits est codée une adresse IPv4 ?;16 bits (2 octets);32 bits (4 octets);64 bits (8 octets);128 bits (16 octets);3;Une adresse IPv4 est codée sur 32 bits (4 octets), notée sous la forme v.x.y.z (ex. : 192.168.1.1). Chaque octet est un nombre décimal entre 0 et 255.
Combien d'adresses IPv4 théoriques existent et depuis quand sont-elles épuisées en Europe ?;2 milliards d'adresses, épuisées depuis 2015;4,3 milliards d'adresses (2^32), épuisées en Europe depuis 2019 (RIPE NCC);1 milliard d'adresses, épuisées depuis 2012;16 milliards d'adresses, non encore épuisées;3;IPv4 permet théoriquement 4,3 milliards d'adresses (2^32). En pratique cette plage est épuisée, notamment en Europe depuis 2019 (RIPE NCC), d'où la transition vers IPv6.
Combien d'hôtes peut adresser un réseau de classe C IPv4 ?;16,7 millions d'hôtes;65 534 hôtes;254 hôtes;126 hôtes;4;Un réseau de classe C (192-223) peut adresser 254 hôtes par réseau avec un masque par défaut de 255.255.255.0. Il existe 2 millions de réseaux de classe C.
Quel masque par défaut est associé à la classe B IPv4 ?;255.0.0.0;255.255.0.0;255.255.255.0;255.255.255.128;3;La classe B (128-191) a un masque par défaut de 255.255.0.0. Elle comprend 16 384 réseaux avec 65 534 hôtes par réseau.
À quoi sert la classe D des adresses IPv4 ?;Aux expérimentations de laboratoire;À l'adressage des réseaux d'entreprise de grande taille;Au multicast (diffusion vers un groupe d'hôtes);À l'adressage des équipements IoT;4;La classe D (224-239) est réservée au multicast, permettant la diffusion vers un groupe d'hôtes. La classe E (240-255) est réservée aux expérimentations.
Quelle adresse IPv4 est réservée au loopback (bouclage local) ?;192.168.0.1;10.0.0.1;127.0.0.1;169.254.0.1;4;L'adresse 127.0.0.1 est réservée au loopback (bouclage local). Elle permet de tester la pile IP sans passer par les couches inférieures. Son équivalent IPv6 est ::1.
Quelles sont les trois plages d'adresses privées IPv4 définies par la RFC 1918 ?;192.168.0.0/8, 172.16.0.0/16, 10.0.0.0/12;10.0.0.0/8, 172.16.0.0/12 et 192.168.0.0/16;10.0.0.0/16, 172.168.0.0/12 et 192.16.0.0/8;127.0.0.0/8, 169.254.0.0/16 et 192.168.0.0/24;3;Les adresses privées IPv4 (RFC 1918) non routables sur Internet sont : 10.0.0.0/8, 172.16.0.0/12 et 192.168.0.0/16. Elles sont utilisées pour les réseaux locaux et nécessitent le NAT pour accéder à Internet.
Qu'est-ce qu'une adresse APIPA ?;Une adresse assignée manuellement par l'administrateur;Une adresse du réseau 169.254.x.y auto-attribuée lorsque aucun serveur DHCP n'est disponible;Une adresse IPv6 lien-local;Une adresse multicast pour les équipements réseau;3;Une adresse APIPA (169.254.x.y) est auto-attribuée par DHCP lorsqu'aucun serveur DHCP n'est disponible. Cette plage est réservée à cet usage sous Windows et Linux.
Que signifie CIDR et quel problème résout-il ?;Classless Internet Data Routing : améliore le chiffrement des routes;Classless Inter-Domain Routing : regroupe des plages d'adresses et optimise les tables de routage pour pallier l'épuisement des adresses IPv4;Classful Inter-Domain Routing : divise les adresses en classes fixes A/B/C;Controlled IP Data Routing : limite le débit des flux réseau;3;Le CIDR (Classless Inter-Domain Routing) permet de regrouper des plages d'adresses (ex. : 200.18.10.0/23 fusionnant deux réseaux de classe C) et d'optimiser les tables de routage. Il est l'une des solutions à l'épuisement des adresses IPv4.
Dans quelle RFC IPv6 a-t-il été standardisé et en quelle année ?;RFC 791 en 1981;RFC 1918 en 1996;RFC 2460 en 1998;RFC 8200 en 2010;4;IPv6 (ou IPng - IP Next Generation) a été standardisé dans la RFC 2460 en 1998 et mis à jour dans la RFC 8200 en 2017. Il a été conçu pour répondre aux limites d'IPv4.
