Quelles sont les quatre caractéristiques qui définissent le système réseau de Windows Server ?;Propriétaire, fermé, rapide, compatible;Modulaire, évolutif, sécurisé et compatible avec les standards TCP/IP;Centralisé, automatisé, programmable et redondant;Statique, simple, monolithique et performant;3;Le système réseau de Windows Server est conçu pour être modulaire (composants indépendants), évolutif (s'adapte à la charge), sécurisé (mécanismes intégrés) et compatible avec les standards TCP/IP, assurant l'interopérabilité.
Quel protocole Windows Server utilise-t-il à la couche 3 (Réseau) du modèle OSI ?;TCP et UDP;Ethernet et commutateurs réseau;IP (IPv4 et IPv6);DNS et SMB;4;La couche Réseau (couche 3) du modèle OSI gère l'adressage logique et le routage via le protocole IP (IPv4 et IPv6). TCP et UDP opèrent à la couche 4 (Transport), Ethernet à la couche 2 (Liaison).
Quels protocoles opèrent à la couche Application (couche 7) du modèle OSI dans Windows Server ?;IP (IPv4/IPv6) et ICMP;TCP et UDP;Ethernet et pilotes réseau;DNS, HTTP, SMB et FTP;5;La couche Application (couche 7) fournit les services directement utilisés par les applications : DNS (résolution de noms), HTTP (web), SMB (partage de fichiers) et FTP (transfert de fichiers).
À quoi correspond la couche Liaison de données (couche 2) dans Windows Server ?;L'adressage logique IP et le routage;Les services applicatifs comme HTTP et DNS;La gestion des trames et adresses MAC (Ethernet, commutateurs, pilotes réseau);Le chiffrement et la compression des données;4;La couche Liaison (couche 2) gère les trames et les adresses MAC. Elle utilise Ethernet, les commutateurs réseau et les pilotes réseau pour assurer la communication sur le même segment réseau.
Quelle couche du modèle TCP/IP de Windows Server correspond à la fois aux couches Physique et Liaison du modèle OSI ?;Application;Transport;Internet;Accès réseau;5;La couche Accès réseau du modèle TCP/IP regroupe les couches 1 (Physique) et 2 (Liaison) du modèle OSI. Elle gère l'envoi physique des données, les trames Ethernet et les adresses MAC via les pilotes et cartes réseau.
Quel mécanisme IPv6 permet à une machine Windows de s'auto-configurer une adresse sans serveur DHCP ?;DHCPv6;Dual Stack;SLAAC (Stateless Address AutoConfiguration);APIPA;4;SLAAC (Stateless Address AutoConfiguration) permet à une machine de s'auto-configurer une adresse IPv6 sans serveur DHCP, en utilisant les informations du routeur (Router Advertisement). Windows Server prend aussi en charge DHCPv6 et le Dual Stack IPv4/IPv6.
Pourquoi Microsoft recommande-t-il de ne pas désactiver IPv6 sur les dernières versions de Windows Server ?;IPv6 est obligatoire pour les connexions Internet modernes;Active Directory utilise IPv6 et sa désactivation peut perturber des services critiques;IPv6 améliore les performances réseau de 30%;IPv6 est requis pour le chiffrement TLS des connexions HTTP;3;Sur les dernières versions de Windows Server, IPv6 est activé par défaut car Active Directory utilise IPv6. Microsoft recommande de ne pas le désactiver pour éviter des dysfonctionnements.
Quelles garanties TCP offre-t-il que UDP n'offre pas ?;La rapidité et la faible latence;La livraison des données, l'ordre des paquets et la détection des erreurs;L'adressage IP et le routage des paquets;La compression et le chiffrement des données;3;TCP (Transmission Control Protocol) garantit la livraison des données, l'ordre des paquets et la détection des erreurs, au prix d'une latence plus élevée. UDP privilégie la rapidité et ne garantit aucune de ces propriétés.
Comment fonctionne une connexion TCP (les 3 phases) ?;SYN, SYN-ACK, ACK;Discovery, Offer, Request, Ack;Ouverture de connexion, échange des données, fermeture de connexion;Encapsulation, transmission, décapsulation;4;TCP fonctionne en 3 phases : (1) Ouverture de connexion (Three-Way Handshake), (2) Échange des données avec contrôle de flux et acquittements, (3) Fermeture de connexion. Cette architecture garantit la fiabilité des échanges.
Quel est le rôle du protocole SMB (Server Message Block) dans Windows Server ?;Chiffrer les connexions réseau via TLS;Attribuer automatiquement les adresses IP aux clients;Permettre le partage de fichiers, d'imprimantes et l'accès distant aux ressources;Synchroniser l'horloge des serveurs du domaine;4;SMB (Server Message Block) permet le partage de fichiers, le partage d'imprimantes et l'accès distant aux ressources. Il est fortement utilisé dans les environnements Windows Server et écoute sur le port 445.
Sur quel port le protocole SMB écoute-t-il ?;Port 139;Port 389;Port 443;Port 445;5;SMB écoute sur le port 445 (TCP). C'est le port utilisé pour le partage de fichiers et d'imprimantes dans les environnements Windows. Le port 139 (NetBIOS Session) est l'ancien port SMB sur NetBIOS.
Quel port utilise RDP (Remote Desktop Protocol) pour l'administration distante des serveurs Windows ?;Port 22;Port 3389;Port 443;Port 8080;3;RDP (Remote Desktop Protocol) utilise le port 3389 (TCP) pour l'administration distante des serveurs Windows. SSH utilise le port 22, HTTPS le port 443.
Qu'ajoute HTTPS par rapport à HTTP et quels services Windows l'utilisent ?;HTTPS ajoute la compression des données, utilisé par le partage SMB;HTTPS ajoute le chiffrement TLS et la sécurité des échanges, utilisé par IIS, les applications web et les consoles d'administration;HTTPS ajoute l'authentification Kerberos, utilisé par Active Directory;HTTPS ajoute la redirection automatique, utilisé par RDP;3;HTTPS ajoute le chiffrement TLS (Transport Layer Security) et la sécurité des échanges par rapport à HTTP. Il est utilisé par IIS (Internet Information Services), les applications web et les consoles d'administration Windows Server.
Quelle est l'API réseau principale de Windows et quelles fonctions offre-t-elle ?;NetAPI : administration réseau et gestion des partages;WMI : supervision et automatisation réseau;Winsock : création de sockets, connexions TCP/UDP et envoi/réception de données;WFP : filtrage du trafic réseau;4;Winsock (Windows Sockets) est l'API réseau principale de Windows. Elle permet la création de sockets, les connexions TCP/UDP et l'envoi/réception de données. La quasi-totalité des applications réseau Windows l'utilisent.
Quel est le rôle de l'API NetAPI dans Windows Server ?;L'analyse et la capture du trafic réseau;La création de sockets et la gestion des connexions TCP/UDP;L'administration réseau, la gestion des partages et des sessions réseau;Le filtrage des paquets réseau au niveau du pare-feu;4;NetAPI permet l'administration réseau, la gestion des partages (création, modification, suppression de partages réseau) et la gestion des sessions réseau. Elle complète Winsock pour les opérations d'administration.
À quoi sert WMI (Windows Management Instrumentation) dans le contexte réseau ?;À créer des connexions TCP/UDP dans les applications;À filtrer le trafic réseau entrant et sortant;À gérer les partages SMB et les sessions réseau;À la supervision, l'automatisation et l'administration distante (récupération d'infos IP, surveillance des cartes réseau);5;WMI permet la supervision, l'automatisation et l'administration distante des systèmes Windows. Dans le contexte réseau, il sert notamment à récupérer des informations IP et à surveiller les cartes réseau.
Qu'est-ce que WFP (Windows Filtering Platform) et quels composants l'utilisent ?;Une API de création de sockets réseau, utilisée par les applications serveur;Une interface de partage de fichiers, utilisée par SMB;Une infrastructure de filtrage réseau utilisée par le pare-feu Windows, les logiciels de sécurité et les systèmes IPSEC;Un protocole de synchronisation d'horloge pour les serveurs Windows;4;WFP (Windows Filtering Platform) fournit une infrastructure de filtrage réseau. Elle est utilisée par le pare-feu Windows, les logiciels de sécurité tiers et les systèmes IPSEC pour filtrer et inspecter le trafic réseau.
Quel standard Windows utilise-t-il pour les pilotes réseau (NDIS) ?;Network Device and Interface Standard;NetBIOS Driver Interface System;Network Driver Interface Specification;Network Data Interface Schema;4;Windows utilise NDIS (Network Driver Interface Specification) pour les pilotes réseau. Les pilotes NDIS communiquent avec le matériel, gèrent les cartes réseau et transmettent les trames entre le matériel et la pile TCP/IP.
Que sépare le SDN (Software Defined Networking) et quels avantages cela apporte-t-il ?;Il sépare les protocoles TCP et UDP pour optimiser le routage;Il sépare le plan de contrôle et le plan de transport des données, permettant une gestion dynamique, une virtualisation avancée et une automatisation du réseau;Il sépare IPv4 et IPv6 dans des segments réseau distincts;Il sépare les services applicatifs des couches réseau inférieures;3;Le SDN sépare le plan de contrôle (logique de décision) du plan de transport des données (acheminement). Cela permet une gestion dynamique, une virtualisation avancée et une automatisation du réseau, pilotés par logiciel.
Quelles technologies Windows Server utilise-t-il pour mettre en œuvre le SDN ?;NDIS, Winsock, WMI et NetAPI;Hyper-V, les commutateurs virtuels, les réseaux virtuels et les politiques réseau centralisées;NIC Teaming, Failover Clustering, Load Balancing;SMB, IPSEC, TLS et le pare-feu Windows;3;Windows Server implémente le SDN avec Hyper-V (virtualisation des serveurs), les commutateurs virtuels (virtual switches), les réseaux virtuels et les politiques réseau centralisées qui permettent un pilotage logiciel du réseau.
Quelles capacités réseau Hyper-V offre-t-il aux machines virtuelles ?;Le partage de fichiers SMB entre VMs et l'hôte physique;Les commutateurs virtuels, les VLAN, les réseaux privés, le NAT virtuel, les cartes réseau virtuelles et l'isolation des VMs;La synchronisation NTP entre les VMs et le domaine Active Directory;La supervision WMI et l'administration distante des VMs;3;Hyper-V offre des commutateurs virtuels, des VLAN, des réseaux privés (isolés), un NAT virtuel, des cartes réseau virtuelles et l'isolation des machines virtuelles, permettant une virtualisation réseau complète.
Quelle commande Windows teste la connectivité réseau en utilisant ICMP (équivalent de ping sous Linux) ?;tracert;pathping;ipconfig /all;ping;5;La commande ping teste la connectivité réseau via ICMP (Internet Control Message Protocol). Exemple : ping 8.8.8.8. Elle est disponible sur Windows et Linux avec une syntaxe identique.
Quelle commande Windows affiche le chemin réseau (les sauts) vers une destination ?;ping;ipconfig;nslookup;tracert;5;La commande tracert (trace route) affiche le chemin réseau vers une destination en identifiant chaque saut intermédiaire. Exemple : tracert google.com. L'équivalent sous Linux est traceroute.
Quelle commande Windows affiche la configuration IP complète d'une machine ?;netstat -an;Get-NetIPAddress;ping 127.0.0.1;ipconfig /all;5;La commande ipconfig /all affiche la configuration IP complète : adresses IP, masque, passerelle, DNS, adresse MAC, état DHCP. C'est l'outil de diagnostic réseau de base sous Windows.
Quelle commande Windows combine ping, tracert et l'analyse des pertes de paquets pour un diagnostic avancé ?;netstat -an;Wireshark;nslookup;pathping;5;La commande pathping combine ping, tracert et l'analyse des pertes de paquets. Elle est utile pour diagnostiquer des problèmes de qualité de liaison sur les différents sauts vers une destination.
Quelle commande PowerShell teste une connexion réseau vers un hôte distant sous Windows Server ?;Get-NetIPAddress;Resolve-DnsName;Get-NetAdapter;Test-NetConnection;5;La commande PowerShell Test-NetConnection google.com teste une connexion réseau vers un hôte distant. Get-NetIPAddress affiche les adresses IP, Resolve-DnsName résout un nom DNS et Get-NetAdapter liste les cartes réseau.
Qu'est-ce que NetBIOS et quelle est la limite principale de sa méthode de résolution par Broadcast ?;Un protocole de routage inter-domaines limité à 253 caractères;Un ancien système Windows d'identification des machines (noms de 15 caractères max) dont la résolution par broadcast est peu efficace sur les grands réseaux;Un service DNS alternatif utilisé par Active Directory;Un protocole de chiffrement des partages réseau;3;NetBIOS est un ancien système de communication réseau Windows pour l'identification des machines (noms de 15 caractères max). La résolution par Broadcast envoie la requête à tout le réseau local, ce qui est peu efficace sur les grands réseaux.
Quel service Windows centralise les noms NetBIOS et leurs adresses IP pour éviter le broadcast ?;DNS;LMHOSTS;WINS;Active Directory;4;WINS (Windows Internet Name Service) est un serveur centralisant les noms NetBIOS et leurs adresses IP. Il évite le recours au broadcast sur les grands réseaux. Les réseaux modernes privilégient DNS plutôt que NetBIOS/WINS.
