Analyse des Atténuations de Sécurité (Mitigations);Vous devez vérifier quelles mesures de sécurité modernes (DEP, ASLR, CFG) sont actives sur un processus critique comme 'lsass.exe' pour valider la conformité aux exigences de sécurité du document (Section 2.1).;Ouvrez PowerShell en administrateur et exécutez : `Get-ProcessMitigation -Name lsass.exe`. Analysez la sortie pour confirmer que 'CFG' (Control Flow Guard) et 'DEP' (Data Execution Prevention) sont bien sur 'On'.
Gestion des Job Objects et Limitation de Ressources;Un service d'arrière-plan consomme trop de CPU. Selon le document (Section 2.4), les Job Objects permettent le 'CPU rate control'. Simulez l'isolation d'un processus en le lançant avec une affinité processeur restreinte (une forme simple de limitation de ressources disponible nativement pour l'admin).;Lancez le processus via PowerShell avec une contrainte d'affinité (par exemple, uniquement le cœur 0) : `Start-Process -FilePath "notepad.exe" -PassThru | ForEach-Object { $_.ProcessorAffinity = 1 }`. Pour une vraie implémentation Job Object, il faudrait utiliser l'API Win32 ou des outils comme 'hstart' ou des conteneurs Windows.
Diagnostic du Pool de Threads;Votre application IIS semble lente. Le document (Section 3.2) mentionne que le Thread Pool moderne gère automatiquement le nombre optimal de threads. Vérifiez le nombre de threads actuels consommés par le processus 'w3wp' (IIS Worker Process) pour détecter une saturation.;Exécutez : `Get-Process -Name w3wp -ErrorAction SilentlyContinue | Select-Object Id, ProcessName, @{Name='ThreadCount';Expression={$_.Threads.Count}}`. Si le nombre est anormalement élevé, cela indique une mauvaise gestion des tâches asynchrones ou un blocage.
Identification de l'Architecture NUMA;Vous configurez un serveur SQL sur un matériel moderne. Selon la section 5, vous devez vérifier la topologie NUMA pour optimiser l'allocation mémoire. Listez les nœuds NUMA reconnus par le système d'exploitation.;Utilisez la commande PowerShell : `Get-CimInstance -ClassName Win32_PerfFormattedData_PerfOS_NUMANodeMemory | Select-Object Name, TotalMBytes`. Cela affichera les différents nœuds mémoire disponibles, confirmant l'architecture NUMA.
Audit des Protocoles IPC Obsolètes;Pour sécuriser votre infrastructure (Section 4.3), vous devez identifier et désactiver les protocoles IPC obsolètes comme NetBIOS sur vos cartes réseau.;Vérifiez l'état de NetBIOS sur les interfaces via : `Get-WmiObject -Class Win32_NetworkAdapterConfiguration | Where-Object { $_.IPEnabled -eq $true } | Select-Object Description, TcpipNetbiosOptions`. (Une valeur de 0 indique l'utilisation du paramètre DHCP, 1 activé, 2 désactivé). La cible est de le passer à 2.
Manipulation des Priorités de Processus;Un processus critique temps réel subit des latences. En vous basant sur l'échelle de priorités 0-31 (Section 8.1), basculez un processus de test (notepad) en priorité 'Temps Réel' (classe 24+) pour observer l'impact, tout en sachant que c'est risqué.;Lancer Notepad, puis exécuter : `$p = Get-Process notepad; $p.PriorityClass = [System.Diagnostics.ProcessPriorityClass]::RealTime`. Vérifiez ensuite avec `$p.PriorityClass`. Attention : cela peut figer le système si le processus consomme 100% CPU.
Listing des Named Pipes (IPC Classique);Vous devez déboguer une application qui utilise des Named Pipes pour communiquer (Section 4.1). Listez tous les 'tuyaux nommés' actifs sur le serveur pour valider que votre application a bien créé son canal.;Utilisez la commande PowerShell pour lister les fichiers spéciaux dans le système de fichiers pipe : `[System.IO.Directory]::GetFiles("\\.\\pipe\\")`.
Détection de l'Enlightened Scheduling;Vous administrez une VM Windows Server sous Hyper-V. Vérifiez si les services d'intégration permettant le 'Enlightened Scheduling' (Section 9.2) et la communication VMBus sont actifs.;Vérifiez l'état des services d'intégration Hyper-V : `Get-Service -Name "vmictimesync", "vmicshutdown", "vmicguestinterface"`. Ces services utilisent le VMBus pour communiquer avec l'hôte.
Configuration du Soft NUMA;Votre serveur possède 64 cœurs et héberge SQL Server. Selon la section 5.2, le Soft NUMA permet de subdiviser les ressources. Vérifiez si le Soft NUMA est activé ou visible dans la configuration des nœuds.;Inspectez les logs SQL Server ou utilisez Coreinfo (Sysinternals) : `.\coreinfo.exe -n`. En PowerShell natif, vérifiez la distribution logique : `Get-CimInstance Win32_ComputerSystem | Select-Object NumberOfLogicalProcessors, NumberOfProcessors`. Si le ratio suggère de grands nœuds, le partitionnement Soft NUMA peut être requis au niveau BIOS ou SQL.
Exercice de synthèse 1 : Architecture Serveur Haute Performance;Vous déployez un serveur de base de données critique sur un système à 128 cœurs. Contraintes : 1. L'application doit gérer son propre ordonnancement (UMS). 2. Le stockage utilise des I/O massifs. 3. L'isolation est prioritaire. Définissez la configuration OS requise et les commandes de vérification.;Solution : 1. Activation UMS : Vérifier que l'application (ex: SQL Server) est configurée pour utiliser l'UMS (Section 3.3). 2. Gestion I/O : S'assurer que les disques utilisent les IOCP via le Thread Pool (Section 3.2). 3. NUMA : Vérifier l'affinité avec `Get-Process | Select ProcessorAffinity`. 4. Sécurité : Activer CFG et DEP avec `Set-ProcessMitigation -Name sqlservr.exe -Enable CFG,DEP`. 5. IPC : Privilégier la mémoire partagée (Section 4.1) pour les échanges locaux rapides.
