Analyse globale de la mémoire centrale;Vérifiez la quantité de mémoire vive effectivement consommée et la mémoire réellement disponible sur votre serveur Linux, en tenant compte du cache réallouable. Affichez également les statistiques globales rafraîchies chaque seconde.;Utilisez la commande free -m pour observer les champs used et available. Pour des statistiques continues sur l'activité du système, lancez vmstat -w 1. Vous pouvez aussi obtenir une vue détaillée via cat /proc/meminfo.
Vérification des tailles de pages;Déterminez la taille de la page mémoire standard configurée sur votre système puis vérifiez la présence et l'allocation de pages géantes (HugePages) utiles pour les bases de données.;Lancez getconf PAGESIZE pour afficher la taille de la page standard (qui est de 4 KiB par défaut sur x86_64). Pour analyser les HugePages de 2 MiB ou 1 GiB, exécutez cat /proc/meminfo | grep -i huge.
Inspection de la mémoire virtuelle (VMA);Identifiez l'agencement mémoire exact d'un processus en cours d'exécution. Vous devez retrouver les adresses de début et de fin des zones (VMA) ainsi que les permissions associées.;Trouvez d'abord le PID de votre processus avec htop. Ensuite, exécutez cat /proc/<PID>/maps ou cat /proc/<PID>/smaps pour lire les informations détaillées de ses Virtual Memory Areas.
Analyse des défauts de page (Page Faults);Différenciez conceptuellement un défaut de page mineur d'un défaut majeur et expliquez brièvement l'action immédiate du noyau lors de cet événement.;Lors d'un page fault, le noyau interrompt le processus. S'il s'agit d'un défaut mineur, la page est déjà en RAM et le système met à jour le mapping. S'il est majeur, la page doit être lue sur le disque de stockage ce qui est très coûteux en performances.
Gestion directe du Swap et Swappiness;Affichez l'état actuel des partitions d'échange sur votre système. Modifiez ensuite le comportement du noyau pour réduire sa tendance à utiliser le swap en fixant la valeur à 30, puis réinitialisez complètement le swap.;Affichez le swap actif avec swapon --show. Modifiez la tendance avec sudo sysctl vm.swappiness=30. Pour vider et relancer l'espace d'échange, exécutez sudo swapoff -av puis sudo swapon -av.
Mécanisme de sauvegarde OOM Killer;Expliquez le fonctionnement du tueur OOM (Out Of Memory) en identifiant les trois critères utilisés par le noyau pour sélectionner sa cible lorsque la mémoire manque cruellement.;Si kswapd n'arrive plus à libérer de la RAM, le noyau déclenche l'OOM Killer. Ce dernier calcule un score de dangerosité pour chaque processus selon la consommation mémoire globale, l'importance du système et le comportement applicatif, afin de tuer le processus jugé le plus sacrifiable.
Traduction d'adresses et vidage du TLB;Décrivez le cheminement de traduction d'une adresse virtuelle en adresse physique sur une architecture 64 bits et expliquez ce que provoque une modification du mapping.;L'unité MMU traduit l'adresse en parcourant de 4 à 5 niveaux de tables (PGD vers P4D vers PUD vers PMD vers PTE) avant d'appliquer un décalage final (offset). Toute modification de ce mapping entraîne un vidage (flush) du cache matériel TLB, une opération extrêmement coûteuse.
Surveillance des allocateurs du noyau;Le noyau utilise ses propres allocateurs (comme SLUB par défaut) pour gérer ses structures internes au sein de la ZONE_NORMAL de la mémoire physique. Identifiez la commande permettant d'en visualiser les statistiques détaillées.;Vous pouvez afficher l'état interne des allocateurs du noyau en exécutant la commande cat /proc/slabinfo.
Inspection avancée des frames physiques;Une fois qu'une page virtuelle est chargée en mémoire physique, elle devient un frame. Indiquez quel fichier spécifique permet de mapper les pages d'un processus vers les trames physiques réelles.;Pour analyser la correspondance technique très précise entre la mémoire virtuelle et les trames de la mémoire vive, consultez le fichier dédié en exécutant cat /proc/<PID>/pagemap.
Architecture du modèle de mémoire plat;Dans l'architecture x86-64 actuelle de Linux, la segmentation a été largement abandonnée. Précisez les valeurs de base et de limite de ce modèle plat.;Dans ce modèle appelé Flat Memory Model, la base vaut 0x0 et la limite correspond à la taille maximale d'adressage de l'architecture. La segmentation ne sert plus qu'à distinguer le mode utilisateur du mode noyau lors de l'amorçage.
Exercice de synthèse 1;Votre serveur est très ralenti et vous suspectez un usage intensif du disque dû au swap. Diagnostiquez l'état de la mémoire, vérifiez l'agressivité du swap actuel, baissez-la à 10, puis analysez en détail la mémoire (VMA) du processus le plus consommateur.;1. Lancez free -m et vmstat -w 1 pour confirmer la saturation. 2. Lisez la tendance actuelle avec cat /proc/sys/vm/swappiness. 3. Ajustez avec sudo sysctl vm.swappiness=10. 4. Repérez le PID du processus avec htop. 5. Inspectez la mémoire du processus via cat /proc/<PID>/smaps.
Exercice de synthèse 2;Vous optimisez un serveur de base de données en voulant limiter les TLB misses grâce aux HugePages. Obtenez la taille d'une page classique, vérifiez l'état des HugePages système, et consultez le fichier des allocateurs internes du noyau pour vérifier l'état des structures système.;1. Affichez la taille standard avec getconf PAGESIZE. 2. Affichez les grandes pages allouées avec cat /proc/meminfo | grep -i huge. 3. Vérifiez les structures d'allocations du noyau via cat /proc/slabinfo. L'usage de HugePages (2 MiB ou 1 GiB) limitera considérablement la charge de traduction de la MMU.
