Sous Linux, quel UID (User ID) est attribué à l'utilisateur root et quelle plage d'UID est réservée aux comptes systèmes ?;root=1, comptes systèmes=2 à 99;root=0, comptes systèmes=1 à 999, utilisateurs standards ≥ 1000;root=0, comptes systèmes=1000 à 9999;root=1, utilisateurs standards=0 à 999;3;Sous Linux, root possède l'UID 0. Les UID de 1 à 999 sont réservés aux comptes systèmes. Les utilisateurs standards ont un UID supérieur ou égal à 1000. L'UID est l'identifiant numérique unique (User ID) de chaque utilisateur.
Dans quel fichier Linux sont stockées les informations non sensibles des utilisateurs (une ligne par utilisateur) ?;/etc/shadow;/etc/users;/etc/group;/etc/passwd;5;Le fichier /etc/passwd stocke les informations non sensibles des utilisateurs : login, indicateur de mot de passe (x), UID, GID, description, répertoire home et shell de connexion. Format : login:x:uid:gid:description:home:shell.
Pourquoi les mots de passe Linux sont-ils stockés dans /etc/shadow et non dans /etc/passwd ?;Pour des raisons de performances, /etc/shadow est indexé;Pour garantir la segmentation des identités et des secrets : /etc/shadow est accessible uniquement par root;Pour permettre l'utilisation de différents algorithmes de chiffrement par utilisateur;Pour faciliter la réplication entre serveurs dans un environnement multi-serveurs;3;Les mots de passe chiffrés sont stockés dans /etc/shadow pour garantir la segmentation des identités et des secrets. Ce fichier est accessible uniquement à root en lecture/écriture. Le sigle $6$ dans /etc/shadow indique un chiffrement SHA-512.
Quelle commande Linux permet de créer un compte système sans possibilité de connexion interactive ?;useradd -m service1;useradd -s /bin/bash service1;useradd -r -s /sbin/nologin service1;usermod -L service1;4;La commande useradd -r -s /sbin/nologin service1 crée un compte système (-r) avec /usr/sbin/nologin comme shell de connexion, empêchant toute connexion interactive. Les comptes associés à des services qui ne doivent pas permettre de connexion sont configurés ainsi.
Quelle option de usermod permet de changer le login d'un utilisateur Linux ?;usermod -u nouveau_login;usermod -n nouveau_login ancien_login;usermod -l nouveau_login ancien_login;usermod -L nouveau_login ancien_login;4;La commande usermod -l nouveau_login ancien_login change le login d'un utilisateur. L'option -d change le répertoire home, -m le déplace, -s change le shell. Attention : -L verrouille un compte (majuscule).
Quelle commande supprime un utilisateur Linux ET son répertoire home en même temps ?;userdel mon_utilisateur;usermod -d /dev/null mon_utilisateur;userdel -r mon_utilisateur;passwd -d mon_utilisateur;4;La commande userdel -r mon_utilisateur supprime le compte et son répertoire home. Sans l'option -r, seul le compte est supprimé mais le home reste sur le disque. L'option -r (remove) permet la suppression à la volée du home directory.
Quelle commande affiche les paramètres d'expiration du mot de passe d'un utilisateur Linux ?;passwd -S mon_utilisateur;usermod -l mon_utilisateur;id mon_utilisateur;chage -l mon_utilisateur;5;La commande chage -l mon_utilisateur affiche les paramètres associés au mot de passe : date du dernier changement, date d'expiration, durée minimale, maximale et période d'avertissement. chage (CHange AGE) gère la politique d'expiration des mots de passe.
Quelle commande définit une durée maximale de 90 jours pour le mot de passe d'un utilisateur Linux ?;passwd -M 90 user1;usermod -M 90 user1;chage -E 90 user1;chage -M 90 user1;5;La commande chage -M 90 user1 définit la durée maximale de validité du mot de passe à 90 jours. L'option -M (Maximum) fixe le nombre de jours maximum. L'option -E fixe une date d'expiration du compte (et non du mot de passe).
Quelle commande force un utilisateur à changer son mot de passe dès le prochain login ?;passwd -e user1;usermod -L user1;passwd -l user1;chage -d 0 user1;5;La commande chage -d 0 user1 force l'utilisateur à changer son mot de passe au prochain login en mettant la date du dernier changement à 0 (le 1er janvier 1970). Cela oblige le système à considérer le mot de passe comme expiré immédiatement.
Que se passe-t-il après la date définie par la commande chage -E 2025-12-31 user1 ?;Le mot de passe de l'utilisateur expire mais le compte reste accessible;L'utilisateur doit changer son mot de passe à la prochaine connexion;Le compte est verrouillé définitivement;Le shell de l'utilisateur est remplacé par nologin;4;L'option -E de chage définit la date d'expiration du compte. Après le 2025-12-31, le compte est verrouillé définitivement. C'est différent de -M qui définit la durée maximale du mot de passe et force seulement un renouvellement.
Quelle commande verrouille un compte utilisateur Linux (empêche la connexion sans supprimer le compte) ?;usermod -U mon_utilisateur;chage -d 0 mon_utilisateur;passwd mon_utilisateur;usermod -L mon_utilisateur;5;La commande usermod -L mon_utilisateur verrouille le compte utilisateur en préfixant le mot de passe chiffré d'un ! dans /etc/shadow. La déverrouillage se fait avec usermod -U mon_utilisateur. Ces deux commandes permettent de bloquer/débloquer temporairement un compte.
Quelle commande affiche l'historique des connexions réussies sur un système Linux ?;who;lastb;id;last;5;La commande last affiche l'historique des connexions réussies. La commande who affiche les utilisateurs actuellement connectés. La commande lastb affiche les échecs de connexions (tentatives infructueuses).
Sous Linux, quel fichier stocke les informations des groupes et quelle information contient-il par groupe ?;/etc/groups : GID, liste des utilisateurs membres;/etc/group : nom du groupe, GID et liste des utilisateurs associés;/etc/passwd : GID et nom des groupes;/etc/shadow : GID et mots de passe des groupes;3;Le fichier /etc/group stocke les informations des groupes. Chaque ligne contient : le nom du groupe, le GID (Group ID - identifiant numérique unique de groupe) et la liste des utilisateurs membres.
