Quelle architecture définit le noyau Linux ?;Micro-noyau;Monolithique modulaire;Hybride;Exo-noyau;3;Le noyau Linux repose sur une architecture monolithique modulaire qui combine performance et flexibilité en permettant le chargement dynamique de fonctionnalités.
Dans quel répertoire se trouvent les modules du noyau ?;/etc/modules/;/usr/bin/modules/;/lib/modules/<version>/;/var/lib/modules/;4;Les modules du noyau sont situés dans /lib/modules/<noyau> et peuvent être chargés dynamiquement.
Quelle commande permet de décharger un module du noyau ?;insmod;modprobe;lsmod;rmmod;5;La commande rmmod est utilisée pour décharger un module, tandis que modprobe ou insmod servent à le charger.
Que signifie le statut "S<" pour un processus affiché par la commande ps ?;Processus en sommeil (Sleep);Processus zombie;Processus à priorité élevée;Processus multi-thread;4;Le statut S signifie "sleep" et le caractère "<" indique une priorité élevée (-20).
Quel outil est présenté comme le principal outil de supervision des processus en temps réel ?;vmstat;top;free;lsof;3;La commande "top" est le principal outil de supervision qui affiche les informations CPU, mémoire et swap en temps réel.
Si le paramètre swappiness est réglé sur 30 sur un serveur ayant 100 Go de RAM, quand le swap commence-t-il à être utilisé ?;À 30% d'occupation de la RAM;À 50% d'occupation de la RAM;À 70% d'occupation de la RAM;À 100% d'occupation de la RAM;4;Avec une valeur de 30, le noyau commence à écrire dans le swap lorsque l'occupation de la RAM atteint 100 - 30 = 70%.
Quel caractère identifie un fichier de type "interface block" (block device) sous Linux ?;c;l;b;s;4;Le type "b" désigne une interface block (block device), par opposition au type "c" pour character ou "d" pour directory.
Selon le standard FHS, à quoi est destiné le répertoire /opt ?;Aux fichiers de configuration système;Aux fichiers temporaires;Aux répertoires personnels des utilisateurs;Aux logiciels additionnels ou tiers;5;Le répertoire /opt est destiné aux logiciels additionnels souvent installés en dehors du gestionnaire de paquets principal pour les isoler.
Quel répertoire contient le noyau (vmlinuz) et le chargeur de démarrage (grub) ?;/root;/sys;/boot;/proc;4;Le répertoire /boot contient tout le nécessaire au démarrage du système, dont le noyau et le bootloader.
Quelle structure du système de fichiers contient l'identité réelle d'un fichier et ses métadonnées ?;Le superbloc;L'inode;Le bloc de données;La table de partition;3;L'inode représente l'identité réelle d'un fichier indépendamment de son nom et contient les métadonnées et pointeurs.
Quelle est la conséquence d'une corruption du superbloc ?;Perte du nom du fichier uniquement;Le système de fichiers devient inutilisable;Ralentissement des lectures;Perte des permissions du fichier;3;Le superbloc contient les informations globales et sa corruption rend le système de fichiers totalement inutilisable.
Quelle commande permet de diagnostiquer une saturation en nombre de fichiers (inodes) ?;df -h;du -sh;ls -l;df -i;5;La commande "df -i" permet de surveiller l'occupation des inodes, utile pour diagnostiquer des problèmes liés à une multitude de petits fichiers.
Quelle commande permet de surveiller la liste des fichiers ouverts par un processus ?;lsof;lsblk;fdisk;stat;2;La commande lsof (List Open Files) permet de lister les fichiers ouverts par un processus donné.
Quels sont les trois composants fondamentaux du LVM ?;Disque, Partition, Fichier;PV, VG, LV;SATA, SAS, SSD;RAID0, RAID1, RAID5;3;Le LVM (Logical Volume Manager) repose sur les volumes physiques (PV), les groupes de volumes (VG) et les volumes logiques (LV).
Quelle commande permet de visualiser les groupes de volumes LVM ?;pvs;lvs;vgs;fdisk;4;La commande "vgs" (ou vgdisplay) permet de superviser les groupes de volumes (Volume Groups).
Quelle commande est utilisée pour migrer des données d'un volume physique à un autre à chaud ?;vgextend;pvmove;rsync;mv;3;La commande pvmove permet de déplacer dynamiquement des extents physiques d'un PV vers un autre sans interruption de service.
Quel code hexadécimal doit être utilisé dans fdisk pour définir une partition de type Linux LVM ?;83;82;8e;fd;4;Le code 8e est utilisé dans fdisk pour indiquer que la partition est de type Linux LVM.
Quelle est la première étape pour ajouter un nouveau disque à un groupe de volumes existant ?;Utiliser vgextend;Utiliser lvextend;Utiliser pvcreate;Utiliser mkfs;4;Il faut d'abord initialiser le disque comme Volume Physique avec "pvcreate" avant de pouvoir l'ajouter à un VG.
Dans quel répertoire conventionnel place-t-on souvent les binaires applicatifs selon la politique de nommage citée ?;rootvg;datavg;archlogvg;appvg;5;Selon la politique de nommage suggérée, "appvg" contient les disques des binaires applicatifs.
Quelle commande de synchronisation est adaptée pour migrer des données de FS à FS en conservant les attributs ?;cp;dd;rsync;scp;4;La commande rsync est couramment utilisée pour migrer des données entre systèmes de fichiers en conservant les attributs et en permettant des reprises.
Lors d'une migration rsync de base de données, pourquoi exécuter une seconde passe avec l'option --delete ?;Pour formater le disque cible;Pour copier les derniers blocs modifiés après l'arrêt de la base;Pour supprimer les fichiers sources;Pour accélérer le transfert;3;La seconde passe, base arrêtée, copie les tout derniers blocs modifiés et supprime les fichiers obsolètes sur la cible pour garantir l'intégrité exacte.
Que contient le répertoire /usr ?;Les fichiers de l'utilisateur root;Les programmes et données utilisateur système non essentiels au boot;Les fichiers temporaires;Les configurations système modifiables;3;Le répertoire /usr (User System Resources) contient la majorité des programmes et données nécessaires au fonctionnement normal mais pas au démarrage minimal.
Quel est l'objectif principal de l'Épreuve 2 pour la qualification PSE-TRAD ?;Rédiger un script bash complexe;Configurer un pare-feu;Se confronter à une situation réelle d'incident;Installer une distribution Linux from scratch;4;L'épreuve 2 place le candidat face à une situation réelle et urgente (incident, diagnostic, résolution, évolution).
