Analyse de l'architecture Mainframe;Vous auditez une banque historique dont le cœur de système date des années 1970. Le système gère des millions de transactions batch chaque nuit. Identifiez le type d'architecture, le rôle des terminaux utilisateurs à cette époque et citez un avantage critique qui justifie son maintien actuel.;Architecture : Mainframe (Centralisée). Rôle des terminaux : Terminaux passifs (périphériques d'entrée/sortie sans capacité de calcul). Avantage critique : Robustesse inégalée pour les processus batch et le traitement de masses de données, sécurité centralisée (Source).
Transition Client-Serveur (2-tiers);Une entreprise dispose d'une application client/serveur développée dans les années 90 installée sur 5000 postes. L'équipe IT passe ses week-ends à déployer manuellement une mise à jour critique sur chaque PC. Identifiez le défaut architectural majeur de ce modèle et expliquez comment le passage au Web (Client léger) a résolu ce problème spécifique.;Défaut majeur : Complexité du déploiement et de la maintenance (fat client) sur un parc hétérogène (Source). Solution Web : Le navigateur devient l'interface universelle (client léger), l'application est mise à jour uniquement sur le serveur, éliminant l'installation locale (Source).
Architecture 3-tiers et Middleware;Vous concevez une architecture séparant strictement les données, le métier et la présentation. Quel composant logiciel devez-vous placer entre le client et la base de données pour exécuter la logique métier ? Citez deux technologies historiques de Middleware mentionnées dans le texte.;Composant : Serveur d'applications (pour la couche métier). Middlewares historiques : CORBA, DCOM ou RMI (Source).
Programmation Asynchrone (Code);Votre application Node.js se bloque lors d'une requête réseau lente, figeant l'interface. Le document suggère de remplacer les modèles bloquants par des "promesses". Écrivez un exemple de code JavaScript moderne utilisant `async/await` pour attendre le résultat d'une fonction `fetchData()` sans bloquer.;Code attendu : `async function getData() { try { const result = await fetchData(), console.log(result), } catch (error) { console.error(error), } }` (Source).
Choix du protocole : SOAP vs REST;Vous développez une application mobile qui doit fonctionner avec des réseaux parfois instables et limiter la consommation de données. Vous hésitez entre SOAP et REST. Lequel choisissez-vous et pourquoi (basez votre argumentaire sur le format de données et la gestion de l'état) ?;Choix : REST. Arguments : 1. Utilise JSON qui est plus léger et moins verbeux que le XML de SOAP. 2. Architecture "Stateless" (sans état), chaque requête est indépendante, ce qui est idéal pour la scalabilité et la robustesse mobile (Source).
Conception API REST (Verbes HTTP);Vous devez créer une API REST pour gérer des articles de blog. Associez les actions suivantes aux verbes HTTP appropriés selon les standards : 1. Récupérer la liste des articles. 2. Créer un nouvel article. 3. Mettre à jour un article existant. 4. Supprimer un article.;Solutions : 1. GET (Récupérer) 2. POST (Créer) 3. PUT (Mettre à jour) 4. DELETE (Supprimer) (Source).
Optimisation SEO (SPA vs SSR);Votre équipe a développé une boutique en ligne en React (SPA). Le service marketing se plaint que les produits n'apparaissent pas sur Google. Expliquez techniquement le problème et proposez la solution architecturale citée dans le texte (avec un exemple de framework).;Problème : Les SPA génèrent le contenu via JavaScript dans le navigateur, ce que les robots d'indexation lisent mal (contenu vide au chargement initial). Solution : Server-Side Rendering (SSR). Framework : Next.js (pour React) ou Nuxt.js (pour Vue.js) pour générer le HTML côté serveur (Source).
Optimisation des requêtes avec GraphQL;Une application mobile affiche le profil utilisateur. Avec l'API REST actuelle, vous devez faire 3 appels : `/user`, `/user/orders`, `/user/orders/products`. Cela ralentit l'application. Quelle technologie permettrait de récupérer toutes ces données hiérarchiques en une seule requête ? Écrivez un exemple théorique de la requête.;Technologie : GraphQL. Exemple de requête : `query { user { name, orders { id, products { name } } } }`. Cela évite la sous-récupération et la sur-récupération de données (Source).
Découpage en Microservices;Vous transformez un monolithe e-commerce en microservices. Décrivez le principe fondamental de découpage et expliquez comment ces services communiqueront entre eux. Quel est l'avantage immédiat si le service "Paiement" plante ?;Principe : Découpage par fonction métier (Service Commande, Service Stock, etc.), chaque service est autonome. Communication : Via APIs légères (REST ou messages asynchrones). Avantage résilience : Si "Paiement" plante, le reste du site (Catalogue, Panier) continue de fonctionner (Source).
Conteneurisation (Docker);Un développeur vous dit "Ça marche sur ma machine" mais l'application plante en production. Quelle technologie utilisez-vous pour encapsuler l'application et ses dépendances ? Donnez la commande pour lancer un conteneur nginx en tâche de fond sur le port 80.;Technologie : Conteneurisation (Docker). Commande : `docker run -d -p 80:80 nginx` (Le texte mentionne Docker comme standard pour l'isolation et la portabilité) (Source).
Orchestration (Kubernetes);Vous gérez 50 conteneurs Docker en production. Le trafic double soudainement. Quel outil utilisez-vous pour l'orchestration ? Citez la fonctionnalité qui permet d'augmenter automatiquement le nombre d'instances.;Outil : Kubernetes. Fonctionnalité : Auto-scaling (ou mise à l'échelle automatique). Kubernetes gère aussi le redémarrage automatique (auto-healing) et le load balancing (Source).
Exercice de Synthèse 1 : Modernisation Legacy;Contexte : Une assurance utilise un Mainframe pour ses données critiques. Elle souhaite offrir une application mobile à ses clients pour consulter leurs contrats. Contraintes : Ne pas remplacer le Mainframe, assurer une haute disponibilité mobile, permettre des mises à jour fréquentes de l'app. Proposez une architecture complète combinant les notions du texte.;Architecture proposée : 1. Garder le Mainframe comme système d'enregistrement (Backend lourd). 2. Créer une couche intermédiaire (Middleware/API Gateway) pour exposer les données. 3. Développer des Microservices (Node.js/Spring) pour la logique métier mobile, communiquant en REST/JSON. 4. Conteneuriser ces services (Docker) et les orchestrer (Kubernetes) pour la scalabilité. 5. L'app mobile consomme ces APIs REST (Source).
Exercice de Synthèse 2 : Architecture Web Haute Performance;Contexte : Lancement d'un média en ligne mondial. Exigences : SEO parfait, chargement instantané, données interconnectées (Articles + Auteurs + Commentaires), équipe de développement répartie par fonctionnalités. Définissez la stack technique complète (Frontend, API, Backend, Déploiement).;Stack Technique : 1. Frontend : Utilisation du SSR avec Next.js ou Nuxt.js pour garantir le SEO et la performance (Source). 2. Échange de données : GraphQL pour récupérer efficacement les articles liés aux auteurs et commentaires en une requête (Source). 3. Backend : Architecture Microservices pour que les équipes travaillent indépendamment (Source). 4. Déploiement : Conteneurs Docker orchestrés par Kubernetes pour gérer les pics de trafic mondiaux (Source).
