Qu'est-ce qu'IIS (Internet Information Services) et quel est son rôle principal sous Windows Server ?;Un service DNS intégré à Windows Server pour la résolution de noms;Le serveur Web de Microsoft intégré à Windows Server permettant l'hébergement de sites Web, l'exécution d'applications ASP.NET, l'hébergement d'API et les services FTP;Un service de partage de fichiers et d'imprimantes via le protocole SMB;Un outil de supervision et de monitoring des performances réseau sous Windows;3;IIS (Internet Information Services) est le serveur Web de Microsoft intégré à Windows Server. Il permet l'hébergement de sites Web, l'exécution d'applications ASP.NET, l'hébergement d'API, les services FTP, la gestion des certificats HTTPS et l'administration centralisée des services Web.
Quel est le rôle du composant HTTP.sys dans l'architecture d'IIS ?;Un module ASP.NET pour l'exécution des applications web dynamiques;Un pilote noyau Windows chargé d'écouter les requêtes HTTP, de gérer les connexions réseau et d'améliorer les performances;Un service de journalisation des accès web stocké dans C:\inetpub\logs;Un composant de filtrage des requêtes pour bloquer les attaques web;3;HTTP.sys est un pilote noyau Windows chargé d'écouter les requêtes HTTP, de gérer les connexions réseau et d'améliorer les performances. Il constitue le premier composant à traiter les requêtes avant leur transmission au pool d'applications IIS.
Quelles sont les étapes de traitement d'une requête HTTP par IIS ?;Client → DNS → DHCP → IIS → réponse;Réception, analyse par HTTP.sys, transmission au pool d'applications, exécution par le moteur IIS, renvoi de la réponse;Client → pare-feu → NTLM → pool → réponse;Réception, authentification, autorisation NTFS, compression, renvoi;3;Le traitement d'une requête IIS suit ces étapes : (1) Réception de la requête, (2) Analyse par HTTP.sys, (3) Transmission au pool d'applications, (4) Exécution par le moteur IIS, (5) Renvoi de la réponse au client.
Qu'est-ce qu'un binding IIS et quels éléments associe-t-il ?;Une liaison entre une zone DNS et un enregistrement A;Une association entre une adresse IP, un port, un nom d'hôte et un protocole pour identifier un site Web;Une configuration reliant un pool d'applications à un site Web spécifique;Une liaison entre les permissions NTFS et les comptes de service IIS;3;Un binding (liaison réseau) IIS associe une adresse IP, un port, un nom d'hôte et un protocole pour identifier un site Web. Exemple : HTTPS – 192.168.1.10 – Port 443 – intranet.local. Cela permet d'héberger plusieurs sites sur le même serveur.
Pourquoi les pools d'applications IIS isolent-ils les applications Web et que contient chaque pool ?;Pour partager les ressources mémoire entre toutes les applications et améliorer les performances;Pour améliorer la stabilité, renforcer la sécurité et éviter qu'un site bloque les autres ; chaque pool possède son propre processus, identité de sécurité et paramètres mémoire;Pour répartir la charge entre plusieurs serveurs IIS;Pour gérer les certificats TLS/SSL de chaque application;3;Les pools d'applications isolent les applications Web pour améliorer la stabilité, renforcer la sécurité et éviter qu'un site défaillant n'affecte les autres. Chaque pool possède son propre processus, son identité de sécurité et ses paramètres mémoire.
Quelle commande PowerShell installe IIS (serveur Web) avec les outils de gestion sous Windows Server ?;Add-WindowsFeature IIS -ManagementTools;Enable-WindowsOptionalFeature -Feature IIS;New-WindowsFeature -Name WebServer;Install-WindowsFeature -Name Web-Server -IncludeManagementTools;5;La commande Install-WindowsFeature -Name Web-Server -IncludeManagementTools installe IIS avec les outils de gestion. La vérification s'effectue via un accès à http://localhost qui doit afficher la page de bienvenue IIS.
Quel est le répertoire principal d'IIS et que contient-il ?;C:\Windows\System32\iis\ contenant les binaires et les logs;C:\inetpub\ contenant wwwroot (racine Web), logs, fichiers temporaires et configuration;C:\ProgramData\Microsoft\IIS\ contenant les sites et les pools;C:\Windows\Web\ contenant les sites hébergés;3;Le répertoire principal d'IIS est C:\inetpub\. Il contient : wwwroot (racine physique du site Web par défaut), logs (journaux), fichiers temporaires et la configuration. C'est là que sont stockés les fichiers des sites Web.
Quels éléments sont nécessaires pour créer un site Web dans IIS ?;Uniquement le nom du site et le port d'écoute;Nom du site, dossier physique (répertoire des fichiers), port et nom DNS éventuel;Nom du site, certificat TLS, pool d'applications et identité de service;Adresse IP statique, nom FQDN, pool dédié et document par défaut;3;Pour créer un site Web IIS, il faut : un nom du site, un dossier physique (où se trouvent les fichiers HTML/ASP), un port d'écoute et un nom DNS éventuel. Ces éléments constituent la configuration de base d'un site IIS.
Que sont les répertoires virtuels dans IIS ?;Des copies cachées des fichiers Web pour améliorer les performances;Des dossiers Windows partagés accessibles via SMB depuis IIS;Des éléments associant un chemin Web à un dossier physique différent sur le serveur;Des partitions dédiées aux applications ASP.NET Core;4;Les répertoires virtuels IIS associent un chemin Web (URL) à un dossier physique différent sur le serveur. Exemple : /documents dans l'URL peut pointer vers D:\Archivage sur le serveur, sans que ce dossier soit dans C:\inetpub\wwwroot.
Qu'est-ce qu'ASP.NET Core et quels composants utilise-t-il pour s'exécuter sous IIS ?;Un framework de base de données Microsoft utilisant SQL Server;Un framework Microsoft pour applications Web dynamiques utilisant le module ASP.NET Core, Kestrel et le reverse proxy IIS;Un outil de déploiement automatisé des applications Web sous Windows Server;Un composant de compression HTTP pour optimiser les transferts de données;3;ASP.NET Core est le framework Microsoft pour les applications Web dynamiques. Son hébergement sous IIS utilise : le module ASP.NET Core (interface entre IIS et l'application), Kestrel (le serveur web interne d'ASP.NET Core) et le reverse proxy IIS.
