Isolation des processus et Sécurité;Analysez pourquoi les systèmes d'exploitation modernes isolent les espaces mémoire des processus. Donnez trois risques majeurs que cette isolation prévient.;L'isolation est nécessaire pour éviter : 1. La divulgation ou la corruption de données confidentielles. 2. L'exécution de code malveillant par un autre processus. 3. Le blocage complet du système dû à un processus défaillant.
Identification de la Section Critique;Dans un programme gérant des réservations de billets, identifiez la "section critique". Pourquoi doit-elle être protégée ?;La section critique est la partie du code où le compteur de billets disponibles est modifié (lecture de la valeur, décrémentation, écriture). Elle doit être protégée par exclusion mutuelle pour empêcher que deux processus ne réservent le même dernier billet simultanément.
Analyse de l'Attente Active (TAS);Un développeur utilise une boucle `while(verrou == 1);` pour attendre une ressource. Qualifiez ce type d'attente et décrivez son impact sur le processeur (CPU).;C'est de l'attente active (Test and Set). Elle est très inefficace car le processus consomme 100% du CPU alloué uniquement pour tester la variable, sans faire de travail utile.
Mécanisme des Sémaphores (Dijkstra);Vous disposez d'un sémaphore `mutex` initialisé à 1. Décrivez la séquence d'opérations primitives (P et V) pour qu'un processus entre puis sorte d'une section critique en toute sécurité.;Le processus doit exécuter : 1. `P(mutex)` pour demander l'entrée (si mutex <= 0, il s'endort). 2. Exécuter le code critique. 3. `V(mutex)` pour libérer la ressource et réveiller les processus en attente.
Configuration de la Mémoire Partagée;Vous devez concevoir une architecture haute performance pour le traitement vidéo entre deux processus utilisant la mémoire partagée. Quels mécanismes de contrôle devez-vous OBLIGATOIREMENT implémenter pour éviter la corruption ?;Bien que la mémoire partagée soit rapide, vous devez impérativement implémenter deux types de sémaphores : 1. Un sémaphore d'exclusion mutuelle pour empêcher les écritures simultanées. 2. Un sémaphore de synchronisation pour coordonner le producteur et le consommateur.
Dimensionnement des Files de Messages;Combien de sémaphores distincts sont nécessaires pour gérer correctement une file de messages (Message Queue) de type producteur/consommateur ? Listez-les.;Il faut exactement 3 sémaphores : 1. Un Mutex (exclusion mutuelle sur le tampon). 2. Un sémaphore comptant le nombre de messages présents. 3. Un sémaphore comptant le nombre de places libres disponibles.
Protocole de Rendez-vous;Deux processus doivent échanger une donnée selon le principe du "Rendez-vous". Décrivez le déroulement exact de l'interaction du point de vue du producteur.;Le producteur arrive au point de rendez-vous, envoie son message, et se bloque immédiatement. Il reste bloqué tant qu'il n'a pas reçu l'accusé de réception envoyé par le consommateur.
Diagnostic d'Interblocage (Deadlock);Deux processus A et B sont bloqués indéfiniment. A détient l'imprimante et attend le scanner. B détient le scanner et attend l'imprimante. Nommez ce phénomène et citez l'exemple classique donné dans le cours.;C'est un interblocage (ou étreinte fatale / deadlock). L'exemple classique pour illustrer ce phénomène est le problème du "dîner des philosophes".
Manipulation de Tubes Ordinaires (Pipes);Sous Linux, écrivez la ligne de commande permettant de compter le nombre de fichiers dans le dossier courant en utilisant un tube ordinaire (pipe) pour relier la commande de listage et la commande de comptage.;La commande est : `ls | wc -l`. Le caractère `|` crée un tube ordinaire anonyme connectant la sortie standard de `ls` à l'entrée standard de `wc`.
Gestion des Tubes Nommés (FIFO);Vous devez créer un canal de communication persistant nommé "mon_pipe" entre deux terminaux. Donnez la séquence de commandes pour : 1. Créer le tube. 2. Vérifier son type. 3. Le supprimer proprement.;Commandes : 1. Création : `mkfifo mon_pipe` (ou `mknod mon_pipe p`). 2. Vérification : `ls -l mon_pipe` (le type affiché doit être 'p'). 3. Suppression : `rm mon_pipe`.
Administration des Signaux UNIX;Un processus planté (PID 1234) ne répond pas à la demande d'arrêt standard. Quelle commande terminal permet de forcer son arrêt immédiat (non interceptable) ? Précisez le numéro du signal.;La commande est : `kill -9 1234` (ou `kill -SIGKILL 1234`). Le signal 9 (SIGKILL) force l'arrêt immédiat contrairement au signal 15 (SIGTERM).
Analyse des Connexions Sockets;Vous soupçonnez un processus d'écouter sur un port réseau. Quelles commandes système (donnez-en deux) permettent de lister les connexions sockets établies ?;Les commandes sont `netstat` ou `ss`. Elles permettent d'afficher les sockets de la famille PF_INET (réseau) ou PF_UNIX (local).
Exercice de Synthèse 1 : Administration Système IPC;Un administrateur doit nettoyer un serveur. Il identifie un fichier spécial bloquant la suppression d'un répertoire et un processus zombie. 1. Comment identifier si le fichier est un tube nommé ? 2. Comment le supprimer ? 3. Comment lister tous les signaux disponibles pour choisir le bon signal de terminaison pour le processus ?;Solution technique : 1. Faire `ls -l` et chercher la lettre 'p' en début de ligne (ex: `prw-r--r--`). 2. Utiliser la commande `rm nom_du_fichier` (car les FIFO persistent comme des fichiers). 3. Taper la commande `kill -l` pour afficher la liste (ex: 9 pour SIGKILL, 15 pour SIGTERM).
Exercice de Synthèse 2 : Architecture d'Application Distribuée;Concevez une application de chat : Le serveur central reçoit les messages via réseau (TCP/IP) et les archive localement pour une autre application d'analyse via un tampon rapide. 1. Quelle famille de socket utiliser pour le réseau ? 2. Quel mécanisme IPC utiliser pour l'archivage local haute performance ? 3. Comment garantir l'intégrité des données dans l'archivage ?;Solution architecturale : 1. Utiliser des sockets famille `PF_INET` (pour TCP/IP). 2. Utiliser la `mémoire partagée` (IPC Système V) pour la rapidité sans copie. 3. Protéger l'accès à la mémoire partagée impérativement avec des `sémaphores` (mutex) pour éviter l'incohérence des données.
