Quel état caractérise un processus "Zombie" (Z) sous Linux ?;Il est en attente d'une opération d'entrée/sortie sur disque (état D);Il a été suspendu volontairement par l'utilisateur via un signal SIGSTOP;Il a terminé son exécution (exit) mais son père n'a pas encore pris en compte sa fin;Il est en cours d'exécution mais consomme trop de ressources CPU;4;Selon la source, un processus est dans l'état ZOMBIE quand il a appelé exit() et libéré ses ressources, mais que son entrée subsiste dans la table des processus tant que le père n'a pas pris en compte sa fin.
Quelle est la plage de valeurs valide pour la priorité "nice" (NI) définissable par l'utilisateur ?;De 0 à 99;De -20 à +19;De 100 à 139;De 0 à 127;3;La source indique que l'utilisateur attribue un niveau de priorité 'nice' variant de -20 (le plus prioritaire) à +19 (le moins prioritaire).
Quelle affirmation décrit correctement une différence majeure entre un thread et un processus classique ?;Les threads ne possèdent pas de pile d'exécution propre;La création d'un thread est plus coûteuse en ressources que celle d'un processus;Les threads partagent les mêmes zones mémoires (code, données, tas) au sein d'un même processus;Les threads ne peuvent pas être exécutés en parallèle sur des multiprocesseurs;4;D'après la source et, les threads partagent les zones mémoires (données, code, tas) du processus parent mais disposent chacun de leur propre pile, ce qui rend leur création et commutation moins coûteuses.
Quelle est la différence principale entre les politiques d'ordonnancement SCHED_FIFO et SCHED_RR ?;SCHED_FIFO utilise un quantum de temps alors que SCHED_RR non;SCHED_RR attribue un quantum de temps limite (tourniquet) permettant la préemption entre processus de même priorité;SCHED_RR est réservé aux processus non temps réel (priorité > 100);SCHED_FIFO est interruptible par des processus de priorité inférieure;3;Selon les sources et, SCHED_FIFO exécute le processus jusqu'à terminaison ou blocage (sauf priorité supérieure), tandis que SCHED_RR impose un quantum de temps pour partager le CPU entre processus de même priorité.
Que signifie l'état "D" (TASK_UNINTERRUPTIBLE) visible via la commande ps ?;Le processus est un démon système s'exécutant en arrière-plan;Le processus est définitivement arrêté (Dead) et va être supprimé;Le processus est bloqué en attente d'un événement matériel précis (ex: E/S disque) et ne peut être interrompu par un signal;Le processus est en mode débuggage;4;La source explique que l'état 'D' correspond à un sommeil ininterruptible, où le processus attend un événement spécifique comme la fin d'une E/S disque.
Quelle commande permet de modifier la priorité (nice) d'un processus pendant son exécution ?;nice;renice;ps -nice;top -p;3;La source précise que si 'nice' est utilisé au lancement, c'est la commande 'renice' qui autorise la modification de la priorité pendant la vie du processus.
Lors de l'appel système fork(), comment est gérée la mémoire pour le nouveau processus fils ?;Le fils partage la totalité de la mémoire du père (y compris la pile) sans duplication;Le système duplique les tables de descripteurs et alloue de nouvelles zones pour les données et la pile;Le fils écrase le code du père immédiatement avec un nouveau programme;Le fils s'exécute directement dans l'espace mémoire du noyau;3;D'après la source, fork() crée un processus par duplication : il alloue de nouvelles zones mémoires de données et de pile (dupliquées du père), bien que le code soit initialement partagé.
À quelle plage de priorité interne correspondent les processus "Temps Réel" (SCHED_FIFO, SCHED_RR) ?;0 à 99;100 à 139;-20 à +19;100 à 120;2;Les sources et indiquent que les processus temps réel ont une priorité fixe entre 0 et 99, ce qui est supérieur (en termes de valeur interne) aux processus traditionnels situés entre 100 et 139.
Quel événement déclenche systématiquement un changement de contexte (commutation) ?;L'appel d'une fonction mathématique dans le code utilisateur;Le passage d'un processus de l'état "prêt" à l'état "en cours d'exécution" (élection);La simple lecture d'une variable en mémoire cache;L'exécution d'une instruction de saut (jump) dans le programme;3;La source définit le changement de contexte comme le moment où un processus perd ou gagne l'allocation du processeur, impliquant la sauvegarde et la restauration des registres et du compteur ordinal.
Quelle commande permet d'afficher les threads d'un processus de manière hiérarchique (arborescence) ?;ps -ef;top;vmstat;pstree;5;La source montre que la commande 'pstree' permet d'afficher la hiérarchie des processus et de visualiser les threads (affichés entre accolades) au sein de cette arborescence.
