Sauvegarde MBR;Vous devez sécuriser le secteur d'amorçage d'un disque critique /dev/sda. Effectuez une copie brute des 512 premiers octets vers le fichier /root/mbr_backup.img.;dd if=/dev/sda of=/root/mbr_backup.img bs=512 count=1 (La commande dd copie bit à bit le premier secteur contenant le code d'amorçage et la table de partitions)
Outil Partitionnement GPT;Vous administrez un serveur moderne utilisant l'UEFI et une table de partition GPT. Quel outil interactif en ligne de commande devez-vous utiliser ?;gdisk (gdisk est l'outil conçu spécifiquement pour manipuler les disques GPT, contrairement à fdisk historiquement lié au MBR)
Visualisation Stockage;Vous arrivez sur un nouveau serveur. Affichez la hiérarchie complète des disques, partitions et volumes logiques pour comprendre la topologie.;lsblk (Cette commande présente l'arborescence des périphériques de type bloc,)
Initialisation LVM (PV);Vous ajoutez le disque /dev/sdb1 au serveur. Préparez-le pour qu'il soit utilisé par le gestionnaire de volumes logiques (LVM).;pvcreate /dev/sdb1 (L'initialisation en Physical Volume est la première étape pour intégrer un disque à l'architecture LVM)
Création Groupe (VG);Vous disposez de deux volumes physiques /dev/sdb1 et /dev/sdb2. Créez un groupe de volumes nommé 'vgdata' les rassemblant.;vgcreate vgdata /dev/sdb1 /dev/sdb2 (Le Volume Group regroupe le stockage physique en une réserve unique)
Création Volume Logique (LV);Dans le groupe 'vgdata', créez un volume logique nommé 'lv_data' d'une taille de 20 Go.;lvcreate -L 20G -n lv_data vgdata (Le Logical Volume est l'équivalent flexible d'une partition, découpé dans le VG)
Extension LVM (Taille);Le volume /dev/vgroot/lv_home est saturé. Ajoutez 10 Go d'espace au volume logique (étape 1/2).;lvextend -L +10G /dev/vgroot/lv_home (Cette commande agrandit le conteneur logique à chaud)
Extension LVM (Système de fichiers);Vous venez d'agrandir le volume logique lv_home (ext4). Faites en sorte que le système de fichiers occupe le nouvel espace disponible (étape 2/2).;resize2fs /dev/vgroot/lv_home (Nécesaire pour que le système de fichiers ext4 prenne en compte l'extension du volume sous-jacent)
Migration de données (LVM);Le disque /dev/sdc1 montre des signes de faiblesse. Déplacez ses données vers /dev/sdc2 (qui est dans le même VG) sans éteindre le serveur.;pvmove /dev/sdc1 /dev/sdc2 (pvmove déplace les Physical Extents d'un disque à l'autre sans interruption de service)
Snapshot LVM;Avant une mise à jour risquée, créez un instantané de 5 Go nommé 'lv_snap' pour le volume /dev/vg_main/lv_home.;lvcreate -s -n lv_snap -L 5G /dev/vg_main/lv_home (Les snapshots capturent l'état du volume à un instant T pour des sauvegardes cohérentes)
Formatage ext4;Formatez la partition /dev/sda2 avec le système de fichiers standard ext4 en lui donnant l'étiquette 'data'.;mkfs.ext4 -L data /dev/sda2 (mkfs initialise la structure du système de fichiers; ext4 est le standard combinant stabilité et performance)
Formatage XFS;Vous préparez un stockage pour une grosse base de données. Formatez la partition /dev/sdb1 en XFS.;mkfs.xfs /dev/sdb1 (XFS est optimisé pour les gros fichiers et le parallélisme, idéal pour les BDD)
Réparation Système de Fichiers;Suite à un crash, la partition /dev/sda2 semble corrompue. Lancez la réparation (partition démontée).;fsck /dev/sda2 (fsck vérifie et répare les incohérences du système de fichiers)
Montage Manuel;Rendez accessible le contenu de la partition /dev/sda2 dans le dossier /mnt/data.;mount /dev/sda2 /mnt/data (Le montage intègre le système de fichiers à l'arborescence globale via le VFS)
Montage Persistant (fstab);Écrivez la ligne à ajouter dans /etc/fstab pour monter automatiquement /dev/vg_data/lv_home dans /home en ext4.;/dev/vg_data/lv_home /home ext4 defaults 0 2 (Assure que le montage est restauré après chaque redémarrage)
Espace Disque (Octets);Vérifiez l'espace disque disponible sur tous les montages, en format lisible (Go/Mo).;df -h (Affiche le taux d'occupation des systèmes de fichiers montés)
Espace Disque (Inodes);Le disque n'est pas plein mais l'écriture échoue. Vérifiez si la table des fichiers (inodes) est saturée.;df -i (Essentiel pour diagnostiquer une saturation due à une multitude de petits fichiers, ex: /var/log ou mails)
Taille de Répertoire;Calculez la taille totale occupée par le dossier /var/log.;du -sh /var/log (du estime l'espace utilisé par l'arborescence de fichiers spécifiée)
Processus Bloquant;Impossible de démonter /mnt/data (device busy). Identifiez les processus qui utilisent ce point de montage.;lsof /mnt/data (Liste les fichiers ouverts et les processus associés, alternative: fuser -m)
Identification UUID;Récupérez l'identifiant unique (UUID) de vos partitions pour configurer le fstab de manière fiable.;blkid (Affiche les attributs des périphériques blocs comme l'UUID et le type de FS)
Info CPU (/proc);Affichez les détails du processeur (modèle, cœurs) directement depuis l'interface noyau.;cat /proc/cpuinfo (Le fichier virtuel expose les informations matérielles vues par le noyau)
Info Mémoire (/proc);Consultez l'état de la mémoire RAM et du Swap en temps réel.;cat /proc/meminfo (Interface noyau pour les statistiques d'utilisation mémoire)
Modification Paramètre Noyau;Activez la redirection IP (IP forwarding) immédiatement sans redémarrer, via le système de fichiers virtuel.;echo 1 > /proc/sys/net/ipv4/ip_forward (Modification dynamique et volatile d'un paramètre noyau via /proc/sys)
Info Réseau (/sys);Vérifiez la vitesse négociée par l'interface eth0 en interrogeant sysfs.;cat /sys/class/net/eth0/speed (sysfs expose les attributs des périphériques de manière hiérarchique)
Désactivation Périphérique (/sys);Forcez la désactivation de la carte réseau eth0 en écrivant dans son fichier de contrôle sysfs.;echo 1 > /sys/class/net/eth0/device/remove (Permet de modifier l'état d'un matériel ou de déclencher une action pilote)
