Les notions de gestion de la mémoire décrites dans le document s'appliquent à quels systèmes d'exploitation ?;Uniquement Windows et Linux;Tous les systèmes d'exploitation modernes (Linux, Windows, macOS...);Uniquement les systèmes basés sur Unix;Seulement les architectures matérielles x86;3;Ces notions sont universelles et valables pour tous les systèmes car elles décrivent des mécanismes fondamentaux du noyau.
Quel composant spécifique du noyau est chargé de récupérer le binaire exécutable et de le placer en mémoire centrale ?;Le chargeur (loader);La MMU (Memory Management Unit);Le TLB (Translation Lookaside Buffer);Le gestionnaire de swap;2;Le chargeur récupère le binaire, le charge en mémoire et prépare les différentes zones du processus comme la pile et les segments.
Par quel mécanisme est préférentiellement réalisée la translation d'adresses virtuelles en adresses physiques dans les OS actuels ?;Le processeur principal (CPU) uniquement;Le disque dur via le swap;Le chargeur via une traduction logicielle;La MMU (Memory Management Unit) directement;5;La MMU réalise cette traduction de façon matérielle et automatique, ce qui est beaucoup plus rapide et efficace qu'une traduction logicielle.
Parmi les propositions suivantes, laquelle n'est pas une mission du gestionnaire de mémoire ?;Allouer et libérer la mémoire pour les processus;Connaître les zones libres et occupées de la RAM;Exécuter directement les instructions binaires du programme;Gérer l'échange de données entre la RAM et le disque (swap);4;L'exécution des instructions est le rôle exclusif du processeur (CPU), le gestionnaire de mémoire s'occupe de l'organisation et de l'allocation spatiale.
Comment un programme utilisateur classique accède-t-il aux ressources matérielles de la machine ?;Il y accède directement via des adresses physiques absolues;Il modifie lui-même la table des pages du système;Il utilise exclusivement la zone d'échange sur le disque;Il passe par des appels système provoquant une interruption logicielle;5;Les programmes n'accèdent jamais directement au matériel, ils doivent utiliser des appels système pour passer temporairement en mode noyau.
Quel privilège spécifique est accordé au mode noyau par rapport au mode utilisateur ?;Uniquement la gestion de l'affichage à l'écran;L'accès complet au code du système et aux périphériques d'entrée/sortie;La garantie d'une exécution sans aucune erreur de code;L'augmentation automatique de la vitesse d'horloge du processeur;3;Le mode noyau permet un accès sans restriction aux données du système, aux tables de segments et aux périphériques pour gérer la machine.
Quel problème majeur et inévitable est associé au système archaïque de partitions fixes en mémoire ?;La compaction permanente;La fragmentation interne;La saturation immédiate du processeur;L'utilisation excessive du fichier d'échange;3;La fragmentation interne survient lorsqu'une partition partiellement utilisée gaspille de l'espace car elle ne peut pas être partagée avec d'autres processus.
Dans une gestion par partitions variables, quelle opération coûteuse permet de rassembler l'espace libre et d'optimiser la mémoire ?;La pagination;Le swap RAM vers disque;La compaction;La segmentation logique;4;La compaction consiste à déplacer physiquement des blocs mémoire en cours d'exécution afin de créer de plus grands espaces libres contigus.
Quel est le principe fondamental et l'objectif principal de la mémoire virtuelle ?;Donner l'illusion aux processus d'un espace continu et plus grand que la RAM physique;Supprimer totalement l'apparition des défauts de page;Remplacer définitivement la mémoire vive par des disques SSD;Permettre l'exécution de programmes sans utiliser aucune mémoire RAM;2;La mémoire virtuelle combine habilement la RAM et le disque pour offrir à chaque processus un vaste espace d'adressage isolé et sécurisé.
Quelle est la taille la plus fréquente d'une page dans la technique de la pagination de la mémoire ?;4 Mo;512 octets;1 Go;4 Ko;5;La mémoire réelle et l'espace virtuel sont généralement découpés en petites pages de taille fixe valant très souvent 4 Ko.
