Architecture du noyau;Quel est le type d'architecture du noyau Linux, qui combine performance et flexibilité ?;Monolithique modulaire. Explication : Il intègre les fonctions essentielles dans un bloc unique pour la performance, mais permet le chargement dynamique de pilotes via des modules.
Ordonnancement CPU;Vous souhaitez lancer un processus gourmand avec une priorité plus faible pour ne pas gêner les autres. Quelle commande utiliser ?;nice. Explication : La commande nice permet de définir la "politesse" d'un processus ; le scheduler CFS utilisera cette information pour l'équité.
Gestion de la mémoire;Quelle commande permet de visualiser l'état de la mémoire RAM et du Swap (mémoire déchargée sur disque) ?;free (ou cat /proc/meminfo). Explication : Le swap est utilisé quand la RAM est saturée, et free permet de surveiller ces ressources critiques.
Gestion des modules (Listing);Vous devez vérifier quels pilotes (drivers) sont actuellement chargés dans le noyau. Quelle commande utiliser ?;lsmod. Explication : Cette commande liste tous les modules dynamiques actifs ; pour plus de détails sur un module précis, on utilise modinfo.
Gestion des modules (Chargement);Vous venez d'insérer une carte réseau dont le pilote est 'e1000e'. Comment charger ce module en gérant les dépendances ?;modprobe e1000e. Explication : Contrairement à insmod, modprobe gère automatiquement le chargement des dépendances nécessaires au module.
Systèmes de fichiers (VFS);Quel mécanisme permet à une application d'utiliser les commandes open() ou read() indifféremment sur du ext4, du NTFS ou du NFS ?;Le VFS (Virtual File System). Explication : C'est une couche d'abstraction qui offre une interface unique aux applications quel que soit le format réel du disque.
Compilation (Configuration);Lors de la préparation d'un noyau personnalisé, quelle commande lance l'interface de configuration textuelle (ncurses) ?;make menuconfig. Explication : C'est l'outil standard pour sélectionner les options, pilotes et protocoles à inclure dans le fichier .config avant compilation.
Compilation (Performance);Quelle option ajouter à la commande 'make' pour accélérer la compilation en utilisant tous les cœurs du CPU ?;make -j$(nproc). Explication : L'option -j définit le nombre de tâches parallèles, et $(nproc) détecte automatiquement le nombre de cœurs disponibles.
Paramétrage dynamique (Sysctl);Comment activer le routage IP (ip_forward) immédiatement sans redémarrer le serveur ?;sysctl -w net.ipv4.ip_forward=1. Explication : La commande sysctl modifie les valeurs dans /proc/sys pour ajuster le noyau à chaud.
Diagnostic (Logs);Votre serveur a un comportement étrange lié au matériel. Quelle commande affiche le tampon circulaire des messages du noyau ?;dmesg. Explication : dmesg est crucial pour voir les alertes matérielles détectées par le noyau (aussi visible via journalctl -k).
Mise à jour (Version);Avant d'appliquer un correctif, quelle commande permet de connaître la version exacte du noyau actif ?;uname -r. Explication : Cette commande retourne la release du noyau chargé, utile pour vérifier la compatibilité des modules ou des patchs.
Performance Disque (I/O);Pour optimiser une base de données, vous voulez changer l'ordonnanceur du disque sda en mode 'deadline'. Quelle est la méthode ?;echo deadline > /sys/block/sda/queue/scheduler. Explication : Les ordonnanceurs d'E/S (IO schedulers) se configurent dynamiquement via le système de fichiers virtuel sysfs.
Sécurité (Live Patching);Vous devez corriger une faille critique du noyau sur un serveur de production sans interruption de service. Quelle technologie utiliser ?;Le Live Patching (kpatch, ksplice, Canonical Livepatch). Explication : Cela permet d'appliquer des correctifs de sécurité au code du noyau en mémoire sans redémarrage.
Diagnostic avancé (eBPF);Quel outil moderne permet de charger des programmes légers dans le noyau pour analyser son comportement en temps réel ?;eBPF. Explication : eBPF permet une supervision fine et sécurisée, transformant le noyau en une boîte noire transparente pour l'analyse.
Appels systèmes (Sécurité);Quel outil permet de surveiller les appels systèmes (comme l'ouverture de fichiers) effectués par un processus suspect ?;strace. Explication : Les appels systèmes sont la seule porte d'entrée vers le noyau, strace permet donc d'auditer ce qu'un programme demande au système.
