Quelle est la philosophie d'Unix concernant la manipulation des données ?;Utiliser un seul gros outil complexe;Utiliser des éditeurs interactifs exclusivement;Enchaîner des petits outils spécialisés;Tout charger en mémoire vive;4;La philosophie Unix consiste à enchaîner des petits outils spécialisés qui lisent une entrée, transforment les données et produisent une sortie.
Quel est le rôle principal de l'outil sed ?;Extraire et calculer des données en colonnes;Appliquer des règles de transformation en ligne comme un éditeur de flux;Trier des fichiers alphabétiquement;Archiver des répertoires entiers;3;sed (Stream EDitor) est un éditeur de flux non interactif idéal pour appliquer des règles de transformation sur chaque ligne lue.
Comment se nomme la zone de travail où sed lit et charge le texte ligne par ligne ?;Le pattern space;Le hold space;Le buffer overflow;L'espace de swap;2;sed lit le texte ligne par ligne et charge chaque ligne dans une zone de travail appelée pattern space pour y appliquer les commandes.
Quelle est l'utilité du hold space dans sed ?;Mettre en pause l'exécution du script;Stocker temporairement des données pouvant survivre entre les cycles;Effacer définitivement une ligne;Rediriger la sortie vers un fichier;3;sed possède un second espace mémoire appelé hold space servant de stockage temporaire pouvant survivre entre les cycles.
Quelle commande sed permet d'arrêter le traitement de manière anticipée sur de gros fichiers ?;d;p;w;q;5;La commande q permet de quitter sed et d'arrêter le traitement, ce qui accélère énormément l'opération sur de gros fichiers.
Contrairement à sed, pour quel type de données l'outil awk est-il particulièrement conçu ?;Les images et vidéos;Les données organisées en colonnes;Uniquement les fichiers binaires;Les flux de texte non structurés;3;L'outil awk est conçu pour manipuler des données organisées en colonnes en découpant chaque ligne en champs.
Dans un programme awk, que représente la variable intégrée NF ?;Le nombre total de lignes;Le nombre de champs dans l'enregistrement courant;Le nouveau fichier de sortie;Le numéro de la ligne courante;3;Dans awk, la variable intégrée NF signifie le nombre de champs (Number of Fields) de l'enregistrement en cours d'analyse.
Quelle section d'un programme awk est exécutée avant la lecture du fichier ?;INITIAL;START;BEGIN;FOREWORD;4;Un programme awk comprend une section BEGIN qui s'exécute avant la lecture du fichier, souvent pour afficher un en-tête.
Que fait principalement la commande tr ?;Elle traduit ou supprime des caractères un par un;Elle trie les lignes d'un fichier par ordre alphabétique;Elle trouve des motifs avec des expressions régulières;Elle tronque les lignes trop longues;2;La commande tr travaille caractère par caractère pour supprimer, convertir ou compresser des répétitions.
Quel outil de la famille grep se limite exclusivement à la recherche de chaînes littérales ?;egrep;rgrep;zgrep;fgrep;5;La commande fgrep se limite à rechercher des chaînes littérales, contrairement à egrep qui accepte des expressions régulières riches.
Quelle est la condition préalable indispensable pour que la commande uniq supprime tous les doublons d'un fichier ?;Le fichier doit être converti en majuscules;Le fichier doit être préalablement trié avec la commande sort;Le fichier doit avoir moins de 100 lignes;Le fichier doit être au format CSV;3;La commande uniq ne supprime que les doublons consécutifs, c'est pourquoi la commande sort est souvent le prérequis indispensable.
Quelle est la fonction de la commande fold ?;Déplier des archives compressées;Fusionner deux fichiers ensemble;Limiter la longueur des lignes affichées pour les tronquer;Créer de nouveaux dossiers;4;La commande fold limite la longueur des lignes (par défaut 80 caractères) pour rendre un fichier lisible ou imposer une largeur spécifique.
Quelle commande permet un suivi en direct d'un fichier journal en cours d'écriture ?;head -f;tail -f;grep -live;awk -watch;3;L'option -f de la commande tail permet un suivi en direct d'un fichier en cours d'écriture, très utile pour surveiller des logs.
Dans sed, à quoi sert l'utilisation du symbole d'exclamation (!) après une adresse de ciblage ?;À effacer le fichier source;À exécuter la commande en mode administrateur;À appliquer la commande à toutes les lignes sauf celles ciblées;À forcer la sauvegarde immédiate du fichier;4;La négation permet d'inverser la sélection afin d'appliquer une commande à toutes les lignes, sauf celles initialement visées.
Quelle syntaxe sed est utilisée pour remplacer toutes les occurrences d'un motif sur une même ligne ?;sed s/ancien/nouveau/;sed s/ancien/nouveau/g;sed r/ancien/nouveau/;sed c/ancien/nouveau/all;3;La commande de substitution avec l'option g permet de remplacer toutes les occurrences du motif sur la ligne concernée.
Dans le fonctionnement de awk, que contient la variable intégrée $0 ?;Le nom du fichier analysé;Le code de retour de la dernière commande;L'enregistrement courant ou la ligne complète;Le premier champ de la ligne;4;Dans un script awk, la variable $0 représente la ligne complète en cours de traitement par l'outil.
Quelle option de la commande sort permet de trier numériquement des données ?;sort -a;sort -num;sort -n;sort -r;4;L'option -n de la commande sort permet d'effectuer un tri numérique des lignes, plutôt qu'un simple tri alphabétique.
Quel symbole permet d'enchaîner plusieurs commandes Linux en redirigeant la sortie de l'une vers l'entrée de l'autre ?;L'esperluette (&);Le chevron (>);Le point d'interrogation (?);Le tube ou pipe (|);5;Les outils Unix sont conçus pour être assemblés en de grandes commandes utilisant des pipes (|) pour créer des chaînes de traitement.
Quel est l'outil le plus simple et rapide pour extraire des colonnes ou des positions fixes d'un fichier ?;grep;fold;cut;sed;4;La commande cut sert spécifiquement à extraire des positions fixes (colonnes) ou des champs séparés par un délimiteur.
Dans awk, à quoi sert la variable intégrée FS ?;À définir le séparateur de champs en entrée;À forcer la sauvegarde du fichier;À compter le nombre total d'enregistrements;À définir le séparateur de sortie;2;La variable FS (Field Separator) sert à définir le caractère utilisé pour découper les champs en entrée.
