Le mur de la variance et l'abstraction;Rédigez une commande Ansible ad-hoc permettant d'installer le paquet nginx sur un parc hétérogène (Debian et RedHat) sans utiliser de scripts Bash conditionnels complexes.;ansible all -m package -a "name=nginx state=present" -b
Conception d'une action idempotente;Créez un répertoire /etc/myapp de manière idempotente en Bash (ne doit pas retourner d'erreur si le dossier existe déjà), puis donnez son équivalent déclaratif avec Ansible.;En Bash : mkdir -p /etc/myapp , En Ansible : ansible localhost -m file -a "path=/etc/myapp state=directory"
Gestion GitOps et Rollback;Un déploiement défectueux a été poussé en production suite au dernier commit. Utilisez l'historique Git pour revenir à la version précédente de manière propre sans modifier l'historique public.;git log --oneline && git revert HEAD && git push origin main
Sécurisation des secrets;Vous devez intégrer un mot de passe de base de données dans votre dépôt Git sans l'exposer en clair. Utilisez Ansible Vault pour chiffrer un nouveau fichier db_secrets.yml.;ansible-vault create db_secrets.yml (ou pour chiffrer un fichier existant : ansible-vault encrypt db_secrets.yml)
Magasin Clé-Valeur et Configuration centralisée;Simulez l'utilisation de Consul comme source de vérité d'état désiré en injectant la version cible de Nginx (1.24) dans le magasin clé-valeur via l'interface en ligne de commande.;consul kv put config/web/nginx_version "1.24" (pour vérifier la valeur : consul kv get config/web/nginx_version)
Déploiement Push maîtrisé;Lancez un playbook Ansible deploy.yml sur un grand parc en limitant l'exécution parallèle à 10 serveurs maximum et en imposant un délai d'attente maximum de 300 secondes pour éviter de saturer le réseau.;ansible-playbook deploy.yml --forks 10 --timeout 300
Validation de syntaxe et d'industrialisation (CI);Avant de pousser votre code d'infrastructure sur le dépôt centralisé, effectuez une vérification de la syntaxe de votre playbook site.yml et testez la présence des dépendances externes.;ansible-playbook --syntax-check site.yml && ansible-galaxy role list
Cloisonnement et Bastion d'administration;Connectez-vous en SSH au serveur cible (web-01) en passant obligatoirement par le serveur rebond (bastion-01) pour respecter l'architecture cloisonnée et la traçabilité.;ssh -o ProxyCommand="ssh -W %h:%p user@bastion-01" user@web-01
Remédiation automatique de base (concept d'agent Pull);Simulez le comportement d'un agent de type Pull qui détecte que le service nginx est arrêté sur la cible et le redémarre de manière autonome via l'outil de gestion de services système de Linux.;systemctl is-active --quiet nginx || systemctl restart nginx
Observabilité des composants locaux;En tant qu'administrateur, affichez en temps réel les journaux d'événements (logs) de l'agent Consul tournant sur une machine cible pour diagnostiquer une potentielle dérive d'état constatée par Prometheus.;journalctl -u consul.service -f
Exercice de synthèse 1 - Urgence et remédiation Push sécurisée;Suite à une faille critique, vous devez forcer la mise à jour d'un paquet sur 50 serveurs. En combinant les concepts de GitOps, secrets et réseau restreint, validez le code localement, chiffrez le fichier de variables critiques puis lancez le playbook en passant par le bastion avec un parallélisme limité à 5.;ansible-vault encrypt vars.yml && git commit -am "Patch urgent" && ansible-playbook update.yml --forks 5 -e @vars.yml --ask-vault-pass --ssh-common-args="-o ProxyCommand='ssh -W %h:%p admin@bastion'"
Exercice de synthèse 2 - Workflow complet Pull et Auto-guérison;Le parc web doit passer à Nginx 1.24. Mettez à jour l'état désiré dans le système central (Consul KV). Simulez ensuite le script du cycle de l'agent local (sur la machine cible) qui récupère cette version, l'installe via apt, s'assure que le service est activé et loggue l'opération localement.;consul kv put apps/nginx/version "1.24" && VERSION=$(consul kv get apps/nginx/version) && apt-get update && apt-get install -y nginx=$VERSION && systemctl enable --now nginx && echo "Mise a jour Nginx $VERSION effectuee" >> /var/log/agent-pull.log
