Quel est le but principal de la configuration d'un VLAN (standard 802.1Q) ?;Augmenter la bande passante physique;Isoler les domaines de diffusion et améliorer la sécurité;Traduire les adresses IP privées;Chiffrer les paquets sur Internet;3;Le VLAN insère une balise pour segmenter logiquement le réseau physique, limitant ainsi la propagation des trames de diffusion inutiles.
Que permet d'éviter l'algorithme Spanning Tree (STP) au niveau 2 ?;Les boucles de routage inter-domaines;La pénurie d'adresses IPv4;Le déséquilibre de charge BGP;Les tempêtes de diffusion (Broadcast Storms);5;STP bloque logiquement les ports redondants en échangeant des BPDU pour former un arbre sans boucle et sauver le réseau des tempêtes de diffusion.
Quel protocole négocie dynamiquement le regroupement de plusieurs liens physiques en une interface logique ?;LACP;LLDP;OSPF;FHRP;2;Le Link Aggregation Control Protocol (LACP) utilise des LACPDU pour agréger le trafic par hachage et augmenter la bande passante sans déclencher le blocage STP.
A quoi servent principalement les protocoles LLDP et CDP ?;Agréger des liens physiques;Découvrir les équipements voisins directement connectés;Résoudre les noms DNS;Gérer la file d'attente vocale;3;Ils cartographient l'infrastructure en envoyant périodiquement des trames multicast non routées contenant les informations de l'équipement.
Comment la technologie VXLAN s'affranchit-elle des limites de l'arbre Spanning Tree dans un Datacenter ?;En encapsulant les trames Ethernet niveau 2 dans des paquets IP routés niveau 3;En désactivant simplement STP sur tous les ports;En utilisant des adresses IPv6 compressées;En créant des tunnels IPsec chiffrés;2;En utilisant un réseau Overlay routé, VXLAN permet d'utiliser tous les chemins physiques (ECMP) sans jamais bloquer de ports.
Quel protocole fait le pont entre l'adressage logique IP et l'adressage physique MAC en IPv4 ?;NDP;DHCP;DNS;ARP;5;L'Address Resolution Protocol (ARP) envoie une requête de diffusion pour demander l'adresse MAC correspondant à une adresse IP spécifique.
Quel est le rôle d'un protocole de redondance du premier saut (FHRP) comme HSRP ou VRRP ?;Filtrer les spams entrants;Traduire les adresses IP privées;Offrir une passerelle de sortie redondante aux hôtes d'un réseau;Superviser les liens optiques;4;Plusieurs routeurs partagent une IP et une MAC virtuelles afin de basculer instantanément en cas de panne du routeur actif.
Sur quel critère l'algorithme SPF (Dijkstra) d'OSPF se base-t-il pour calculer le chemin le plus court ?;Le nombre de sauts;Le coût de la bande passante;L'attribut AS-Path;Le temps de réponse ping;3;OSPF est un protocole à état de liens qui construit une carte complète (LSDB) et privilégie les chemins ayant la meilleure bande passante.
Quel protocole externe (EGP) interconnecte de grands réseaux en appliquant des politiques strictes de manipulation de trafic ?;BGP;RIP;OSPF;STP;2;Le Border Gateway Protocol (BGP) échange des attributs via des sessions TCP port 179 pour déterminer le meilleur chemin selon la volonté de l'administrateur.
Pourquoi BGP est-il utilisé comme protocole interne unique dans les architectures Datacenter modernes (Spine-Leaf) ?;Pour chiffrer le trafic interne;Pour accélérer la résolution DNS;Pour réduire la consommation électrique du processeur;Pour limiter les domaines de pannes et garantir la stabilité à grande échelle;5;Attribuer un numéro d'AS privé à chaque commutateur Top-of-Rack standardise la configuration et rend le routage extrêmement robuste face aux pannes.
