Rôle du Système d'Exploitation;Un développeur souhaite créer une application compatible avec toutes les marques d'imprimantes. Sur quel concept s'appuie-t-il pour ne pas écrire un code par modèle ?;Couche d'abstraction (HAL);Le système d'exploitation masque la complexité matérielle via une interface unifiée (HAL) évitant de gérer les spécificités physiques de chaque périphérique.
Interruption Matérielle (IRQ);Un utilisateur appuie sur une touche du clavier. Décrivez le mécanisme immédiat qui permet au processeur de prendre en compte cette action.;Interruption (IRQ) -> Handler;Le périphérique envoie un signal (IRQ). Le CPU suspend sa tâche, sauvegarde son contexte (registres) et exécute une routine de traitement (handler) définie dans l'IDT.
Bus Système vs E/S;Vous devez connecter la mémoire vive (RAM) au processeur pour obtenir les performances maximales. Quel bus est utilisé ?;Bus Système (FSB);Le bus système relie le CPU à la mémoire et aux contrôleurs principaux avec un débit élevé, contrairement aux bus d'E/S (PCIe, USB) destinés aux périphériques externes.
Périphérique de Flux vs Bloc;Vous concevez un pilote pour une souris et un autre pour un disque dur. Lequel doit gérer des adresses de données fixes ?;Le pilote de Disque Dur (Mode Bloc);Les périphériques blocs (disques) sont adressables par blocs fixes. La souris est un périphérique de flux traitant les données séquentiellement sans adresse.
Contrôleur de Périphérique;Pourquoi le système d'exploitation ne commande-t-il pas directement les têtes de lecture d'un disque dur ?;Utilisation du Contrôleur;Le contrôleur est un intermédiaire intelligent qui traduit les commandes génériques de l'OS en signaux électriques physiques spécifiques au matériel.
Direct Memory Access (DMA);Le processeur est saturé à 100% lors de la copie d'un gros fichier vidéo. Quelle technologie matérielle n'est probablement pas activée ?;Le DMA (Direct Memory Access);Le DMA permet au contrôleur de disque d'échanger des données directement avec la RAM sans passer par le processeur pour chaque octet, libérant ainsi le CPU.
Rôle du Pilote (Driver);Lors de l'installation d'un nouveau matériel, le pilote doit "réserver" des ressources pour fonctionner. Lesquelles ?;Plages mémoires et IRQ;Le pilote déclare au système les adresses mémoires nécessaires pour la communication et les numéros d'interruptions (IRQ) pour signaler les événements.
Architecture HDD (Mécanique);Vous devez accéder physiquement à une donnée précise sur un vieux disque dur. Quel est le triplet d'adressage historique utilisé ?;Cylindre / Tête / Secteur;C'est l'adresse physique basée sur la géométrie des plateaux magnétiques rotatifs et des bras mobiles.
Architecture SSD;Quelle est la plus petite unité sur laquelle un SSD peut effectuer une opération d'écriture ?;La Page (souvent 4 Ko);Contrairement aux disques durs (secteurs), les SSD lisent/écrivent par pages et effacent par blocs (groupe de pages).
Partitionnement GPT vs MBR;Vous installez un serveur avec un disque de 10 To. Pourquoi ne pouvez-vous pas utiliser le schéma de partitionnement MBR ?;Limite de 2,2 To du MBR;Le MBR est limité à 2,2 To et 4 partitions primaires. Il faut utiliser le GPT (GUID Partition Table) supporté par l'UEFI pour les grandes capacités.
Système de Fichiers (Inode);Sous Linux/Unix, où sont stockées les métadonnées d'un fichier (permissions, propriétaire, taille) ?;Dans l'Inode;L'inode est une structure de données qui contient toutes les informations sur le fichier et les pointeurs vers les blocs de données, sauf le nom du fichier.
Méthodes d'accès;Votre application doit lire le 10 000ème enregistrement d'une base de données instantanément. Quel mode d'accès est requis ?;Accès Direct (Aléatoire);Contrairement à l'accès séquentiel (bande magnétique), l'accès direct permet d'atteindre n'importe quel bloc immédiatement via son adresse.
Journalisation (Journaling);Une coupure de courant survient pendant l'écriture d'un fichier. Quel mécanisme du système de fichiers permet de réparer les erreurs au redémarrage ?;Le Journal des transactions;Le système (ex: NTFS, ext4) écrit les modifications dans un journal avant de les appliquer. Au redémarrage, il rejoue le journal pour garantir l'intégrité.
Cache Disque (Write-Back);Vous configurez un serveur pour la performance maximale en écriture (Write-back). Quel est le risque majeur ?;Perte de données en cas de panne;Les données sont stockées en RAM (cache) avant d'être écrites sur le disque. Une coupure de courant avant l'écriture physique entraîne leur perte définitive.
UEFI vs BIOS;Vous souhaitez protéger le démarrage de l'ordinateur contre les rootkits/bootkits. Quelle technologie remplaçant le BIOS le permet ?;Secure Boot (UEFI);L'UEFI offre le Secure Boot qui vérifie la signature numérique des chargeurs de démarrage pour empêcher l'exécution de code malveillant avant l'OS.
