Quelle commande permet d'afficher le chemin absolu du répertoire courant ?;ls -a;cd /;pwd;mkdir;4;La commande pwd (print working directory) affiche le chemin absolu de l'endroit où l'on se trouve dans l'arborescence.
Quelle est la fonction de la commande cd - ?;Elle remonte au répertoire parent;Elle revient au répertoire précédent;Elle va au répertoire racine;Elle va au répertoire personnel;3;La commande cd - permet de revenir directement au répertoire précédent visité.
Quelle commande permet de créer toute une arborescence de répertoires d'un coup (ex: /srv/backup/2025) ?;mkdir -r;mkdir -p;touch -r;mkpath;3;L'option -p de la commande mkdir permet de créer les répertoires parents s'ils n'existent pas encore.
Quelle est la différence principale entre rmdir et rm -r pour supprimer un dossier ?;rmdir supprime tout le contenu alors que rm -r ne supprime que les fichiers vides;rmdir ne fonctionne que sur des répertoires vides alors que rm -r supprime récursivement le contenu;Il n'y a aucune différence;rmdir est une commande obsolète;3;La commande rmdir ne supprime que les répertoires vides, tandis que rm -r supprime un répertoire et tout son contenu de manière récursive.
Quelle option de la commande ls permet d'afficher les fichiers cachés (commençant par un point) ?;ls -l;ls -h;ls -a;ls -R;4;L'option -a (all) de la commande ls inclut les fichiers cachés dans l'affichage.
Qu'est-ce qu'un inode dans un système de fichiers Linux ?;Le nom du fichier;Un lien symbolique vers le fichier;Une structure contenant toutes les métadonnées sauf le nom;L'extension du fichier;4;Un inode contient les métadonnées (permissions, taille, propriétaire, etc.) mais pas le nom du fichier.
Quelle commande permet de mettre à jour l'horodatage d'un fichier existant ou d'en créer un vide s'il n'existe pas ?;mkfile;touch;edit;nano;3;La commande touch sert à créer un fichier vide ou à mettre à jour son horodatage s'il existe déjà.
Quelle est l'action de la commande : echo "Texte" >> fichier.txt ?;Elle écrase le contenu du fichier avec "Texte";Elle supprime le fichier;Elle ajoute "Texte" à la fin du fichier sans effacer l'existant;Elle affiche "Texte" à l'écran uniquement;4;L'opérateur >> permet d'ajouter du texte en fin de fichier (append) sans écraser le contenu existant.
Quelle commande est idéale pour surveiller en temps réel l'évolution d'un fichier de log ?;head;cat;less;tail -f;5;La commande tail -f permet de suivre en direct les nouvelles lignes ajoutées à un fichier.
Que fait la commande cp -u fichier1 fichier2 ?;Elle copie fichier1 seulement s'il est plus récent que fichier2;Elle copie fichier1 et supprime l'original;Elle copie fichier1 en mode interactif;Elle déplace fichier1 vers fichier2;2;L'option -u (update) de cp ne copie le fichier que si la source est plus récente que la destination.
Quelle commande permet de compresser un fichier avec un meilleur taux que gzip ?;tar;bzip2;zip;unzip;3;La commande bzip2 offre généralement un meilleur taux de compression que gzip, bien qu'elle puisse être plus lente.
Que signifient les droits rw-r--r-- (ou 644) sur un fichier ?;Lecture seule pour tout le monde;Lecture/écriture pour le propriétaire et lecture seule pour les autres;Lecture/écriture pour tout le monde;Exécution uniquement pour le propriétaire;3;Le propriétaire a les droits de lecture et écriture (rw-), le groupe et les autres ont uniquement la lecture (r--).
Quelle commande permet de changer le propriétaire d'un fichier ?;chmod;chgrp;chown;passwd;4;La commande chown (change owner) permet de modifier le propriétaire d'un fichier ou d'un répertoire.
Quel est l'effet du droit spécial SUID sur un fichier exécutable ?;Il empêche la suppression du fichier;Il exécute le fichier avec les privilèges de son propriétaire et non de l'utilisateur courant;Il permet à tout le monde d'écrire dans le fichier;Il force l'héritage du groupe parent;3;Le SUID (Set User ID) permet d'exécuter un programme avec les droits du propriétaire du fichier (souvent root).
À quoi sert le Sticky bit appliqué sur un répertoire comme /tmp ?;Il accélère l'accès aux fichiers;Il empêche un utilisateur de supprimer un fichier qui ne lui appartient pas;Il rend les fichiers invisibles;Il force la compression des fichiers;3;Le Sticky bit empêche la suppression d'un fichier par un autre utilisateur que son propriétaire, même si le dossier est en écriture pour tous.
