Quel organisme a été créé par le décret du 30 octobre 2012 pour piloter la transformation numérique et administrative de l'État ?,Le Secrétariat général pour la modernisation de l’action publique (SGMAP).
"En quelle année le SGMAP a-t-il été scindé en deux entités distinctes, la DITP et la DINSIC ?","En 2017, par les décrets du 20 novembre."
Quelle direction a remplacé la DINSIC suite au décret du 25 octobre 2019 ?,La Direction interministérielle du numérique (DINUM).
Sous l'autorité de qui la DINUM est-elle placée ?,Sous l'autorité du Premier ministre.
Citez l'une des quatre priorités de la feuille de route 2019-2023 de la DINUM concernant les organisations publiques.,Engager une mutation profonde des organisations publiques pour conduire les projets numériques.
Quel est l'objectif de la DINUM en matière de compétences numériques au sein de l'État ?,Renforcer significativement les compétences numériques pour doter les agents des savoir-faire nécessaires.
Dans quel but la DINUM cherche-t-elle à développer l'exploitation effective des données ?,Pour rendre l'État plus efficace dans son action et plus simple pour les usagers.
Comment la DINUM vise-t-elle à préserver la souveraineté numérique de l'État ?,En investissant dans des outils numériques mutualisés et sécurisés.
Citez deux exemples de services ou ressources partagés développés et opérés par la DINUM.,"Le réseau interministériel de l’État (RIE), FranceConnect, data.gouv.fr ou api.gouv.fr."
Quelle direction de programme au sein de la DINUM pilote le programme interministériel TECH.GOUV ?,La direction de programme TECH.GOUV.
Quel département de la DINUM conçoit et gère des infrastructures mutualisées comme le RIE ?,Le département « Infrastructures et services opérés » (ISO).
Quel département de la DINUM coordonne la stratégie de la donnée et promeut l'open data ?,Le département « Etalab ».
Quelle est la mission principale du département « Performance des services numériques » (PSN) de la DINUM ?,"Élaborer des plans d’action pour la mutualisation, la dématérialisation et l’amélioration de la qualité des services."
Qu'est-ce que l'interopérabilité en informatique ?,"La capacité des systèmes informatiques à communiquer, échanger des informations et travailler ensemble malgré leurs différences."
Quel est l'acronyme du référentiel qui vise à garantir l'interopérabilité des systèmes de l'administration française ?,RGI (Référentiel Général d'Intéroperabilité).
Le RGI a pour objectif de concevoir des systèmes interopérables à _____.,moindre coût
Quel est l'objectif principal du Référentiel général de sécurité (RGS) ?,Renforcer la confiance des usagers dans les services électroniques mis à disposition par les autorités administratives.
