Interdire la connexion SSH directe en root;Le serveur srv-app01 autorise encore la connexion SSH directe en tant que root. Vérifiez le réglage actuel, corrigez-le, puis validez que le service refuse bien cet accès.;Vérifier avec grep PermitRootLogin /etc/ssh/sshd_config (résultat attendu : PermitRootLogin yes). Éditer le fichier avec sudo vi /etc/ssh/sshd_config et remplacer par PermitRootLogin no. Valider la syntaxe avec sudo sshd -t puis recharger avec sudo systemctl restart sshd. Contrôler avec ssh root@srv-app01, qui doit renvoyer Permission denied.
Mettre en place l'authentification SSH par clés;L'administrateur se connecte encore par mot de passe sur srv-app01. Mettez en place une authentification par clé et désactivez les mots de passe.;Générer une paire de clés sur le poste d'administration avec ssh-keygen -t ed25519. Déployer la clé publique avec ssh-copy-id admin@srv-app01. Éditer /etc/ssh/sshd_config pour poser PasswordAuthentication no et PubkeyAuthentication yes. Recharger avec sudo systemctl restart sshd. Contrôler avec ssh admin@srv-app01, la connexion devant réussir sans mot de passe demandé.
Restreindre l'accès SSH au réseau d'administration;Le service SSH de srv-app01 est accessible depuis tout le réseau. Limitez-le au seul réseau d'administration 192.168.10.0/24.;Vérifier les connexions actives avec ss -lntp | grep ssh. Configurer le pare-feu avec sudo firewall-cmd --permanent --add-source=192.168.10.0/24 puis sudo firewall-cmd --reload. Contrôler avec sudo firewall-cmd --list-all, qui doit afficher services: ssh et sources: 192.168.10.0/24.
Déployer une protection contre les attaques par force brute;Aucune protection anti-bruteforce n'existe sur srv-app01. Installez et activez Fail2Ban pour le service SSH, puis vérifiez son fonctionnement.;Installer avec sudo dnf install fail2ban (ou sudo apt install fail2ban sur Debian/Ubuntu). Activer avec sudo systemctl enable --now fail2ban. Vérifier avec sudo fail2ban-client status sshd, qui affiche le nombre d'IP actuellement bannies et le total de bannissements. Analyser les journaux avec sudo tail -f /var/log/secure ou sudo journalctl -u fail2ban.
Vérifier l'ensemble du durcissement SSH d'un serveur;Après les corrections précédentes, réalisez la vérification finale complète du durcissement SSH de srv-app01.;Exécuter successivement sudo sshd -t (validité de la configuration), sudo firewall-cmd --list-all (restriction réseau), sudo fail2ban-client status (protection bruteforce) et lastb (historique des tentatives échouées). Confirmer que l'accès root est interdit, que l'authentification se fait par clé, que l'accès est limité au réseau d'administration et que le bruteforce est bloqué.
Nettoyer les comptes locaux orphelins;Un audit révèle un compte de service serviceX qui n'est plus utilisé mais reste actif avec un mot de passe valide sur un serveur Linux. Sécurisez ce compte sans le supprimer, pour ne pas casser d'éventuelles références système.;Lister les comptes avec getent passwd pour repérer serviceX. Verrouiller le mot de passe avec sudo passwd -l serviceX. Désactiver l'accès interactif avec sudo usermod -s /usr/sbin/nologin serviceX. Vérifier avec sudo grep serviceX /etc/passwd que le shell est bien passé à nologin.
Durcir les permissions d'un répertoire sensible et auditer les binaires SUID;Un répertoire /opt/app contient des données sensibles accessibles à tous les utilisateurs du serveur, et vous devez vérifier qu'aucun binaire SUID inattendu ne traîne sur le système.;Restreindre les droits avec sudo chmod 700 /opt/app et sudo chown root:root /opt/app. Fixer un umask sûr par défaut avec umask 027 dans le profil concerné. Recenser les binaires SUID/SGID du système avec sudo find / -perm -4000 -type f 2>/dev/null et comparer la liste à une référence connue pour repérer un ajout suspect.
Chiffrer un volume de sauvegarde avec LUKS;Un nouveau disque /dev/sdb1 doit accueillir des sauvegardes et le dossier de sécurité impose que tout support de sauvegarde soit chiffré au repos.;Chiffrer le volume avec sudo cryptsetup luksFormat /dev/sdb1 (confirmer la destruction des données existantes). Ouvrir le volume avec sudo cryptsetup open /dev/sdb1 sauvegarde_chiffree. Monter le volume déchiffré et vérifier son accessibilité, puis documenter la procédure d'ouverture dans le dossier de sauvegarde pour qu'elle soit reproductible en cas de restauration.
Basculer SELinux du mode permissif au mode enforcing;Un serveur RHEL configuré en mode permissif pour la mise au point doit désormais appliquer réellement sa politique SELinux avant sa mise en production.;Vérifier le mode actuel avec getenforce (résultat attendu : Permissive). Consulter les journaux d'avertissement SELinux pour s'assurer qu'aucun blocage légitime ne serait déclenché. Basculer en enforcing avec sudo setenforce 1 pour un test immédiat, puis rendre le changement persistant en éditant /etc/selinux/config avec SELINUX=enforcing. Revérifier avec getenforce après redémarrage.
Vérifier le statut AppArmor sur un serveur Debian;Un serveur Ubuntu doit être audité pour confirmer qu'AppArmor protège bien le service nginx installé dessus.;Vérifier le statut global avec sudo aa-status et repérer si un profil nginx apparaît en mode enforce. Si le profil est absent ou en mode complain, l'activer en enforce avec la commande appropriée du paquet apparmor-utils. Documenter dans le dossier de sécurité les chemins autorisés en lecture (/var/www/**) et en écriture (/var/log/nginx/*) définis par le profil.
