Quelle est la première étape critique de l'organisation d'un disque sous Linux ?,"Le partitionnement, qui consiste à diviser un support de stockage en zones indépendantes appelées partitions."
Quel objectif du partitionnement permet de cloisonner les données en isolant des répertoires majeurs sur des partitions distinctes ?,L'organisation.
Comment le partitionnement peut-il améliorer la sécurité d'un système Linux ?,"En limitant les dégâts potentiels d'un incident ; par exemple, si `/var/log` se remplit, la partition racine `/` reste fonctionnelle."
Quel ancien schéma de partitionnement est limité à 4 partitions primaires et à une taille maximale de 2 To par partition ?,Le MBR (Master Boot Record).
Quelle commande est utilisée pour sauvegarder le MBR (Master Boot Record) d'un disque `/dev/sda` ?,`dd if=/dev/sda of=/root/mbr_backup.img bs=512 count=1`
"Quel schéma de partitionnement moderne, utilisé avec UEFI, supporte jusqu'à 128 partitions et des tailles de plusieurs exaoctets ?",La GPT (GUID Partition Table).
Quelle caractéristique de la GPT assure une meilleure protection contre la corruption de la table des partitions ?,"La redondance, avec une copie de la table GPT en début et en fin de disque."
Quel outil de partitionnement en ligne de commande est traditionnellement utilisé pour les disques au format MBR ?,`fdisk`
Quel outil de partitionnement est spécifiquement conçu pour les disques utilisant le schéma GPT ?,`gdisk`
Quelle commande permet de visualiser la topologie des partitions et des disques sous forme hiérarchique ?,`lsblk`
"Dans une stratégie de partitionnement avancée pour un serveur critique, pourquoi la partition `/boot` est-elle souvent gardée hors du LVM ?",Pour assurer la compatibilité avec les chargeurs d'amorçage qui pourraient ne pas savoir lire les volumes LVM.
Quel est le principal avantage du LVM (Logical Volume Manager) par rapport au partitionnement traditionnel ?,Il introduit une abstraction qui permet de manipuler des volumes logiques plus souples et redimensionnables.
"Dans l'architecture LVM, que représente un Volume Physique (PV) ?",Une partition ou un disque entier initialisé pour être utilisé par LVM.
"Dans l'architecture LVM, que représente un Groupe de Volumes (VG) ?","Un regroupement logique de plusieurs Volumes Physiques (PV), formant une ""réserve"" de stockage."
"Dans l'architecture LVM, que représente un Volume Logique (LV) ?","Une partition logique créée à l'intérieur d'un Groupe de Volumes (VG), sur laquelle on peut créer un système de fichiers."
Quelle partition doit impérativement rester en dehors du LVM pour garantir le démarrage du système ?,La partition `/boot`.
Quel est le type de partition à utiliser lors du partitionnement d'un disque pour qu'il soit reconnu par LVM ?,Le type `8e` (Linux LVM).
