Quel mécanisme a permis aux premiers systèmes informatiques de ne plus bloquer le CPU pendant les opérations d'entrée/sortie ?;La multiplication des cœurs du processeur;Les interruptions matérielles : le périphérique signale la fin de l'opération, évitant ainsi l'attente active du CPU;L'introduction des disques SSD remplaçant les disques durs mécaniques;L'utilisation d'un second processeur dédié aux entrées/sorties;3;Dans les premiers systèmes, les E/S mobilisaient entièrement le CPU (attente active). Les interruptions ont permis aux périphériques de signaler la fin d'une opération, libérant le CPU pour d'autres tâches. Ensuite, le DMA (Direct Memory Access) a encore amélioré les performances en permettant des transferts directs entre mémoire et périphériques.
Que permet le DMA (Direct Memory Access) dans la gestion des entrées/sorties sous Linux ?;Augmenter la fréquence du processeur lors des opérations d'E/S intensives;Effectuer des transferts directs entre la mémoire et les périphériques sans mobiliser le CPU;Chiffrer automatiquement les données lors des transferts disque;Mettre en cache les données fréquemment accédées dans la mémoire vive;3;Le DMA (Direct Memory Access - accès direct à la mémoire) permet des transferts directs entre la mémoire et les périphériques sans mobiliser le CPU pour chaque octet. Cela améliore considérablement les performances des E/S en déchargeant le processeur.
Comment Linux représente-t-il les périphériques matériels et dans quel répertoire sont-ils situés ?;Par des fichiers de configuration XML dans /etc/devices/;Par des entrées dans la base de registre système Linux;Par des fichiers spéciaux situés dans le répertoire /dev;Par des modules noyau chargés dynamiquement dans /lib/modules;4;Sous Linux, les périphériques sont représentés par des fichiers spéciaux situés dans le répertoire /dev. Cette représentation permet d'utiliser les opérations classiques (read, write) pour accéder au matériel, en traitant les périphériques comme des fichiers.
Quelle est la différence entre un fichier spécial de type caractère et un fichier spécial de type bloc sous Linux ?;Un fichier caractère est lisible, un fichier bloc est uniquement en écriture;Un fichier de type caractère est associé aux périphériques en flux (ex: /dev/tty) ; un fichier de type bloc est associé aux périphériques de stockage (ex: /dev/sda);Un fichier caractère concerne les médias audio, un fichier bloc les médias vidéo;Un fichier caractère est créé par l'utilisateur, un fichier bloc par le noyau;3;Les fichiers spéciaux de type caractère (c dans ls -l) sont associés aux périphériques en flux comme les terminaux (/dev/tty). Les fichiers de type bloc (b dans ls -l) sont associés aux périphériques de stockage comme les disques durs (/dev/sda).
Que représente le numéro majeur (major number) d'un fichier spécial Linux et quel est son rôle ?;Le numéro de partition sur le disque auquel appartient le fichier spécial;L'identifiant qui permet au noyau de savoir quel pilote (device driver) appeler pour traiter une requête d'E/S;L'UID du propriétaire du fichier spécial dans /dev;La priorité de traitement des requêtes d'E/S par le noyau;3;Le numéro majeur (major number) identifie le pilote de périphérique (device driver) utilisé par le noyau. Il correspond à une entrée dans la table des périphériques du noyau, permettant de savoir quel driver appeler pour traiter la requête d'E/S.
À quoi sert le numéro mineur (minor number) d'un fichier spécial Linux ?;À définir la priorité d'accès au périphérique;À distinguer les différents périphériques gérés par un même pilote (exemple : plusieurs disques ou partitions);À indiquer la taille maximale des données transférables;À identifier la version du pilote de périphérique installé;3;Le numéro mineur (minor number) distingue les différents périphériques gérés par un même pilote. Par exemple, /dev/sda et /dev/sdb partagent le même pilote (même major number) mais ont des minor numbers différents. Ce mécanisme permet au noyau d'orienter les requêtes vers le bon périphérique.
Quel est le rôle d'un contrôleur de périphérique dans l'architecture E/S Linux ?;Gérer les permissions d'accès aux fichiers spéciaux de /dev;Servir d'interface entre le périphérique et le système : recevoir les commandes du noyau via le pilote et les traduire en instructions compréhensibles par le matériel;Stocker en mémoire les données des fichiers fréquemment accédés;Gérer la table de routage des requêtes d'E/S dans le noyau;3;Le contrôleur de périphérique est un composant matériel qui assure l'interface entre le périphérique et le système. Il reçoit les commandes émises par le noyau via le pilote et les traduit en instructions compréhensibles par le matériel. Il gère aussi les échanges de données, les erreurs matérielles et génère des interruptions.
Quelles sont les trois fonctions principales d'un contrôleur de périphérique ?;Lecture, écriture et formatage du périphérique;Chiffrement, compression et déduplication des données;Gestion des échanges de données, gestion des erreurs matérielles et génération des interruptions;Allocation de la mémoire, gestion du swap et optimisation du cache;4;Un contrôleur de périphérique prend en charge : la gestion des échanges de données (transferts entre le périphérique et la mémoire), la gestion des erreurs matérielles (détection et signalement) et la génération des interruptions (pour signaler la fin des opérations au CPU).
Quel est le rôle du page cache sous Linux et comment améliore-t-il les performances des entrées/sorties ?;Il stocke dans la RAM les données issues des fichiers récemment lus, évitant de nouveaux accès disque pour les lectures suivantes;Il compresse les données avant de les écrire sur le disque pour économiser l'espace;Il met en cache les requêtes réseau pour éviter des connexions répétées;Il précharge les pages des programmes en mémoire pour accélérer leur démarrage;2;Le page cache stocke en mémoire (RAM) les données issues des fichiers. Lorsqu'un fichier est lu, ses données sont conservées en mémoire pour éviter un nouvel accès disque lors des lectures suivantes. Cela réduit les accès disque et améliore les performances.
Comment fonctionne le mécanisme d'écriture (write-back) du buffer cache sous Linux ?;Les données sont écrites simultanément en mémoire et sur le disque;Les données sont d'abord écrites en mémoire, puis synchronisées avec le disque ultérieurement;Les données sont écrites sur le disque puis copiées en mémoire pour validation;Les données sont chiffrées en mémoire avant d'être écrites sur le disque;3;En mode write-back, lors d'une écriture, les données sont d'abord écrites en mémoire, puis synchronisées avec le disque ultérieurement. Ce fonctionnement améliore les performances mais nécessite une synchronisation explicite (commande sync) pour s'assurer que les données sont bien persistées sur le disque.
