Quelle définition décrit le mieux un processus selon le document ?;Un simple programme stocké sur le disque dur;Une entité dynamique gérant code et ressources d'exécution;Un composant matériel du processeur;Une interruption système;3;Un processus est une entité dynamique gérée par le système d'exploitation qui englobe le code exécutable et les ressources nécessaires comme la mémoire et la pile.
Quelle est la différence fondamentale entre un processus lourd et un thread (processus léger) ?;Les threads partagent le même espace d'adressage que leur parent;Les processus lourds sont plus rapides à créer;Les threads ne peuvent pas s'exécuter en parallèle;Il n'y a aucune différence technique;2;Contrairement aux processus lourds isolés, les threads partagent l'espace mémoire du processus parent, ce qui les rend plus légers mais nécessite une synchronisation rigoureuse.
Que contient le contexte d'exécution d'un processus nécessaire à sa reprise ?;Uniquement le code source du programme;L'état des registres du processeur et les descripteurs de fichiers;La liste des utilisateurs connectés;L'heure de démarrage du système;3;Le contexte inclut l'état des registres (données temporaires), le compteur ordinal et les ressources allouées pour permettre une reprise transparente après interruption.
Quel est le rôle principal du PCB (Process Control Block) ?;Stocker l'interface graphique de l'application;Servir de carte d'identité stockant l'état et les métadonnées du processus;Gérer l'alimentation électrique du processeur;Compter le nombre de clics utilisateur;3;Le PCB est une structure de données essentielle qui stocke l'état du processus (élu, prêt, bloqué), les registres et les droits d'accès pour permettre le multi-tâche.
En ordonnancement, qu'est-ce que la multiprogrammation préemptive ?;Un processus garde le CPU jusqu'à ce qu'il se termine;Le système peut interrompre un processus forcé via un quantum de temps;Les processus cèdent volontairement la main;L'exécution se fait uniquement par lots (batch);3;La préemption permet au système d'exploitation d'interrompre un processus à tout moment pour garantir un partage équitable du temps processeur.
Quelle est la fonction de l'ordonnanceur de bas niveau (Short Term Scheduling) ?;Décider quels programmes charger en mémoire au démarrage;Gérer la commutation de contexte fréquente entre processus;Archiver les logs système sur le disque;Attribuer les adresses IP aux processus;3;L'ordonnanceur de bas niveau gère les changements rapides d'état et la commutation de contexte, intervenant fréquemment lors des interruptions ou fins de quantum.
Quel problème spécifique l'algorithme FIFO (First In First Out) pose-t-il ?;Il est trop complexe à implémenter;Il provoque des interblocages immédiats;Un processus long en tête peut retarder toutes les tâches courtes suivantes;Il favorise trop les processus courts;4;Le FIFO manque d'optimisation du temps d'attente moyen car un processus long arrivé en premier bloque l'exécution des tâches courtes et critiques.
Sur quel principe repose l'algorithme Round-Robin ?;L'exécution complète de la tâche la plus courte d'abord;L'attribution d'un quantum de temps fixe à chaque processus tour à tour;La priorité donnée aux tâches système uniquement;Le tirage aléatoire du prochain processus;3;Le Round-Robin alloue des tranches de temps (quanta) fixes de manière cyclique, garantissant une équité et une bonne réactivité pour les systèmes interactifs.
Quel est le risque principal des algorithmes basés sur la priorité (HPF) sans mécanisme de vieillissement ?;La famine des processus de faible priorité;La surcharge de la mémoire vive;L'arrêt du processeur;L'exécution trop rapide des tâches de fond;2;Sans mécanisme de vieillissement (aging), les processus de faible priorité risquent de ne jamais s'exécuter si des tâches prioritaires arrivent continuellement.
Comment l'algorithme CFS (Completely Fair Scheduler) de Linux gère-t-il le temps CPU ?;Par des quanta de temps fixes et identiques;En utilisant un modèle de parts proportionnelles basé sur le poids du processus;En exécutant toujours le plus vieux processus;En désactivant le multi-tâche;3;Le CFS n'utilise pas de quanta fixes mais alloue une fraction dynamique du temps CPU proportionnelle au poids (priorité) du processus pour maximiser l'équité.
Quelles sont les quatre conditions de Coffman nécessaires pour un interblocage (deadlock) ?;Vitesse CPU, Taille RAM, Latence disque, Bande passante;Exclusion mutuelle, Attente circulaire, Non-préemption, Attente active;Priorité haute, Thread unique, Mode noyau, Interruption;Lecture seule, Écriture seule, Exécution, Suppression;3;L'interblocage survient quand ces quatre conditions sont réunies simultanément, bloquant indéfiniment plusieurs processus qui s'attendent mutuellement.
À quoi sert un mutex (verrou) dans la synchronisation des processus ?;À augmenter la vitesse du processeur;À garantir l'exclusion mutuelle dans une section critique;À partager la mémoire entre deux ordinateurs;À supprimer les processus inactifs;3;Un mutex agit comme un cadenas qu'un seul thread peut détenir à la fois, protégeant ainsi les ressources partagées contre les accès concurrents simultanés.
Dans le problème des philosophes, quelle solution hiérarchique permet d'éviter l'interblocage ?;Interdire aux philosophes de manger;Obliger à prendre la fourchette de numéro inférieur en premier;Ajouter une sixième fourchette;Remplacer les fourchettes par des cuillères;3;Numéroter les ressources et imposer un ordre de prise (ex: la plus petite d'abord) brise la symétrie et empêche la condition d'attente circulaire.
Quelle est la différence entre le mode noyau et le mode utilisateur ?;Le mode utilisateur a un accès illimité au matériel;Le mode noyau a un accès illimité à la mémoire et au matériel;Il n'y a pas de différence de privilèges;Le mode noyau est plus lent que le mode utilisateur;3;Le mode noyau permet au système d'exploitation un contrôle total, tandis que le mode utilisateur restreint l'accès des applications pour protéger la stabilité et la sécurité du système.
Quel est le rôle de la MMU (Memory Management Unit) ?;Refroidir le processeur;Traduire les adresses virtuelles en adresses physiques;Gérer les connexions réseau;Compiler le code source;3;La MMU est un composant matériel qui traduit à la volée les adresses logiques utilisées par les programmes en adresses physiques réelles en RAM.
Qu'est-ce que la pagination en gestion de la mémoire ?;La division de la mémoire en blocs de taille fixe appelés pages;La segmentation du code en fonctions logiques;L'écriture des données sur un disque optique;Le tri alphabétique des fichiers;2;La pagination découpe la mémoire vive et l'espace d'adressage en blocs de taille fixe, facilitant l'allocation et la mémoire virtuelle.
Que se passe-t-il lors d'un défaut de page (page fault) ?;Le système plante immédiatement;L'ordinateur redémarre;Le système charge la page manquante depuis le disque vers la RAM;Le programme est supprimé;4;Un défaut de page signale que la donnée demandée n'est pas en RAM, obligeant le système à la récupérer depuis l'espace de stockage secondaire (swap).
Quel est l'objectif de l'algorithme de remplacement de pages LRU (Least Recently Used) ?;Supprimer la page la plus ancienne chargée;Supprimer la page la moins récemment utilisée;Supprimer une page au hasard;Supprimer la plus grande page;3;LRU optimise la mémoire en déchargeant les pages qui n'ont pas été utilisées depuis longtemps, supposant qu'elles ne seront pas nécessaires dans l'immédiat.
Quelle caractéristique distingue la segmentation de la pagination ?;La segmentation utilise des blocs de taille fixe;La segmentation divise la mémoire selon la logique du programme (code, pile, tas);La segmentation ne permet pas la protection mémoire;La segmentation est obsolète;3;Contrairement à la pagination à taille fixe, la segmentation reflète la structure logique du programme avec des segments de tailles variables et des droits spécifiques.
Quel défi spécifique posent les architectures multi-cœurs pour l'ordonnancement ?;La gestion de l'affinité CPU et des caches locaux;L'impossibilité d'utiliser le FIFO;La réduction de la vitesse d'horloge;L'absence de mémoire partagée;2;L'ordonnanceur doit tenir compte de l'affinité CPU pour maintenir un processus sur un cœur où ses données sont déjà en cache, optimisant ainsi les performances.
