Analyse de la valeur du Portail Applicatif;Vous êtes consultant pour une grande entreprise qui dispose de multiples outils disparates (Intranet, ERP, CRM, Messagerie). Les utilisateurs se plaignent de la complexité. Rédigez un argumentaire technique basé sur la définition et les enjeux stratégiques d'un portail applicatif pour convaincre la DSI.;Le portail applicatif offrira un point d'entrée unique (Single Point of Entry) unifiant l'accès aux ressources internes et externes. Il répondra aux enjeux de centralisation en regroupant les outils, améliorera l'expérience utilisateur (UX) grâce à une interface personnalisable selon les rôles (RBAC), et facilitera la mobilité avec un accès "anywhere, anytime" responsive, essentiel alors que 91% des employés possèdent un smartphone.
Choix d'architecture SSO (Single Sign-On);Une entreprise souhaite mettre en place un SSO. Elle possède un parc très hétérogène avec de vieux postes et souhaite absolument éviter d'installer des logiciels sur chaque ordinateur. De plus, elle exige que les mots de passe ne transitent jamais vers le poste client. Quel type de solution SSO préconisez-vous et pourquoi ?;Il faut préconiser le SSO Serveur (et non le SSO Client). Le SSO Serveur repose sur une base centrale (type annuaire LDAP ou Active Directory) et ne nécessite pas d'installation sur le poste utilisateur (évitant les problèmes de compatibilité navigateurs du SSO Client). Il offre une sécurité renforcée car l'authentification se fait au niveau du serveur sans transmission des mots de passe au client.
Sélection du protocole d'authentification;Vous développez une nouvelle application mobile pour des commerciaux nomades qui doit se connecter au système d'information de l'entreprise via le Cloud. Le DSI hésite entre SAML 2.0 et OAuth 2.0. Lequel choisissez-vous et quelle est la justification technique ?;Le choix doit se porter sur OAuth 2.0 / OpenID Connect. Bien que SAML 2.0 soit le standard pour les applications d'entreprise internes (« legacy »), le document précise que pour les applications Cloud et mobiles, le standard privilégié et dominant est OAuth 2.0 / OpenID Connect, plus adapté aux architectures modernes et légères.
Gestion de contenu (CMS) et Intégration;Votre portail doit agréger des articles de fond, une gestion documentaire et des outils collaboratifs. Citez deux solutions Open Source adaptées citées dans le document et expliquez comment intégrer une application externe de gestion de congés dans ce portail.;Les solutions Open Source adaptées sont Liferay, Drupal, WordPress ou Typo3. Pour l'application de gestion des congés, l'intégration se fera techniquement via des API (Application Programming Interface) pour afficher les données (solde, demande) directement dans un widget ou une portlet du tableau de bord utilisateur, ou via un mécanisme de SSO pour un lien direct sans ré-authentification.
Audit de conformité DSP2;Un site e-commerce constate un fort taux d'abandon de panier. Le directeur marketing propose de désactiver le 3D-Secure pour toutes les transactions afin de fluidifier le parcours. En tant qu'expert sécurité, analysez cette demande au regard de la directive DSP2.;Cette demande est illégale pour la majorité des transactions. La DSP2 impose l'Authentification Forte (SCA) obligatoire. Désactiver le 3D-Secure expose le marchand à des sanctions et transfère la responsabilité financière de la fraude sur lui. La solution est de demander des exemptions techniques uniquement pour les transactions à faible risque ou de petit montant, mais pas de le désactiver globalement.
Gestion de la fraude et responsabilité client;Un client de votre banque conteste un paiement par carte de 400 € qu'il affirme ne pas avoir réalisé (fraude avérée). La banque lui demande de payer une franchise de 150 €. Réfutez cette demande en vous appuyant sur la réglementation en vigueur.;Selon la directive DSP2 citée dans le document, la franchise (reste à charge) du client en cas de fraude avérée sur un paiement en ligne a été réduite. La banque ne peut pas demander 150 € : le montant maximal de la franchise est fixé à 50 €.
Intégration technique SIPS;Vous devez intégrer la solution de paiement SIPS (Worldline) sur un site e-commerce développé sous PrestaShop. Listez les étapes clés et les normes de sécurité à respecter.;1. Souscrire au contrat VAD (Vente à Distance). 2. Installer le module SIPS compatible PrestaShop (module "prêt à l'emploi"). 3. Configurer les clés de chiffrement (RSA 768 bits / DES 56 bits). 4. S'assurer que le serveur n'enregistre aucune donnée bancaire en clair pour respecter la norme PCI/DSS (Payment Card Industry Data Security Standard).
Choix de développement mobile (Natif vs Hybride);Une start-up logistique veut créer une application pour ses chauffeurs. L'appli nécessite un usage intensif du GPS, des capteurs du téléphone et une performance maximale. Le budget est élevé. Quelle approche de développement choisissez-vous ?;Le développement Natif (Swift pour iOS, Kotlin pour Android). Bien que plus coûteux et nécessitant deux codes distincts, c'est la seule approche garantissant des performances optimales et un accès complet et natif aux fonctionnalités matérielles (GPS, capteurs) requis par le métier, contrairement aux solutions hybrides ou PWA.
Déploiement d'une PWA (Progressive Web App);Votre client souhaite une application simple de consultation de planning pour des intérimaires, accessible immédiatement sans passer par l'App Store et fonctionnant sur tous les OS. Quelle technologie proposez-vous ?;La PWA (Progressive Web App). Basée sur HTML5/CSS3/JS, elle est accessible via un simple navigateur web, ne nécessite pas de téléchargement sur les stores (App Store/Google Play), permet des mises à jour instantanées et fonctionne sur tous les OS, ce qui correspond parfaitement au besoin de simplicité et de rapidité.
Configuration ActiveSync;Un utilisateur se plaint que ses emails et son agenda professionnel ne se mettent pas à jour en temps réel sur son smartphone Android. Quel protocole devez-vous vérifier et configurer sur son terminal ?;Il faut vérifier la configuration du protocole ActiveSync (technologie Microsoft). C'est ce protocole qui assure la synchronisation en temps réel (Push) des emails, contacts et calendriers entre le serveur de messagerie (Exchange/M365) et le terminal mobile.
Sécurisation d'un poste nomade (Chiffrement);Vous configurez un ordinateur portable pour un commercial nomade (Windows). Quelle mesure technique citée dans le document devez-vous activer impérativement pour protéger les données en cas de vol, et quel est l'outil natif associé ?;Il faut activer le chiffrement intégral du disque. Sous Windows, l'outil natif cité est BitLocker. (Commande technique PowerShell pour l'activer : `Enable-BitLocker -MountPoint "C:" -EncryptionMethod XtsAes256 -UsedSpaceOnly`).
Stratégie de flotte mobile (COPE vs BYOD);Une entreprise souhaite que ses employés utilisent des smartphones fournis par l'entreprise, mais qu'ils puissent aussi installer leurs applications personnelles (jeux, réseaux sociaux). Quel mode de gestion décrivez-vous et quel outil est nécessaire pour le gérer ?;Il s'agit du mode COPE (Corporate Owned, Personally Enabled). Pour gérer cela de manière sécurisée, il est indispensable d'utiliser un MDM (Mobile Device Management) ou un EMM, permettant de séparer les données (conteneurisation) et d'appliquer des politiques de sécurité tout en laissant une liberté d'usage personnel.
Administration MDM - Action de sécurité;Un collaborateur signale le vol de son smartphone professionnel contenant des données sensibles. En tant qu'administrateur MDM, quelle est la procédure d'urgence à exécuter sur la console de gestion ?;1. Se connecter à la console MDM (ex: Intune/Jamf). 2. Localiser le terminal (si activé). 3. Lancer immédiatement la commande d'Effacement à distance ("Remote Wipe") pour supprimer toutes les données d'entreprise et personnelles. 4. Vérifier a posteriori dans les logs que la commande a été reçue.
Sécurité Mobile - Jailbreak/Rooting;Votre système de monitoring MDM remonte une alerte "Élévation de privilèges" sur le terminal Android d'un utilisateur. De quoi s'agit-il et quel est le risque majeur ?;Il s'agit d'un "Rooting" (ou Jailbreak sur iOS). L'utilisateur a déverrouillé les sécurités de l'OS. Le risque majeur est l'exposition aux malwares, la possibilité pour une application malveillante d'accéder aux données protégées des autres applications (contournement du sandboxing) et l'incompatibilité avec les solutions de sécurité (MAM/MDM) qui peuvent ne plus fonctionner correctement.
Mise en place du Zero Trust;Le DSI souhaite abandonner la sécurité périmétrique classique pour un modèle "Zero Trust" sur les mobiles. Expliquez le principe fondamental à appliquer lors de chaque connexion.;Le principe fondamental est "Ne jamais faire confiance, toujours vérifier". À chaque tentative de connexion, le système doit vérifier non seulement l'identité de l'utilisateur (MFA) mais aussi la conformité du terminal (est-il à jour ? chiffré ? non rooté ?) avant d'accorder l'accès, plutôt que de faire confiance par défaut à un appareil connu.
Exercice de synthèse 1 : Architecture E-commerce Sécurisée;Vous devez concevoir l'architecture d'un nouveau site e-commerce international. Le cahier des charges impose : 1. Une authentification unique pour les clients qui accèdent aussi au portail de fidélité. 2. Des paiements conformes à la réglementation européenne stricte. 3. Une application mobile pour les clients sans développement lourd spécifique par OS. Détaillez vos choix technologiques pour chaque point.;1. Pour l'authentification unique (SSO) orientée client (Cloud/Web), choisir le protocole **OAuth 2.0 / OpenID Connect** (plus adapté que SAML). 2. Pour les paiements, intégrer une solution certifiée **PCI/DSS** (comme SIPS) et activer impérativement le **3D-Secure** pour respecter la directive **DSP2** (Authentification forte SCA). 3. Pour l'application mobile, opter pour une **PWA (Progressive Web App)** ou un développement **Hybride** (React Native/Flutter) pour avoir un code unique multi-OS et réduire les coûts par rapport au natif, tout en restant accessible.
Exercice de synthèse 2 : Sécurisation d'une flotte BYOD;Une entreprise autorise le BYOD (Bring Your Own Device). Les employés accèdent aux emails et à l'Intranet depuis leurs mobiles personnels. Vous devez sécuriser cet environnement sans "fliquer" les données personnelles des employés. Proposez une solution technique complète combinant gestion, authentification et protocole.;1. Gestion : Ne pas utiliser un MDM complet (trop intrusif), mais une solution **MAM (Mobile Application Management)**. Cela permet de créer un conteneur sécurisé (sandbox) uniquement pour les applis pro (Outlook, Intranet) sans toucher aux photos/applis perso. 2. Authentification : Imposer une **MFA (Authentification Multi-Facteurs)** pour l'ouverture du conteneur pro. 3. Protocole de synchronisation : Utiliser **ActiveSync** configuré pour n'autoriser la synchro que vers l'application de messagerie sécurisée du MAM. 4. Réseau : Forcer l'usage d'un **VPN** applicatif (Micro-VPN) qui ne s'active que lorsque l'utilisateur lance une application professionnelle.
