Que sont les supports de transmission dans un réseau ?;Des protocoles logiciels gérant les échanges;Des canaux physiques par lesquels transitent les données;Des équipements actifs comme les routeurs;Des logiciels de compression de données;3;Les supports de transmission sont les canaux physiques constituant l'infrastructure matérielle indispensable pour assurer la communication entre les nœuds d'un réseau.
Quelles sont les trois familles de supports de transmission ?;Filaires, hertziens et satellites;Métalliques, coaxiaux et optiques;Supports métalliques, supports non métalliques (optiques) et supports immatériels;Cuivre, aluminium et fibre;4;Les supports se répartissent en trois familles : supports métalliques (courants électriques), supports non métalliques comme la fibre optique (lumière) et supports immatériels (ondes électromagnétiques).
Quel critère correspond à la résistance aux interférences électromagnétiques dans le choix d'un support ?;Débit;Distance;Flexibilité;Environnement;5;Le critère Environnement concerne la résistance aux interférences électromagnétiques. Par exemple les câbles blindés sont recommandés pour les milieux industriels.
Quelle décennie a vu le déploiement massif de la fibre optique pour les liaisons longue distance ?;Années 1970-1980;Années 1990;Années 2000-2010;Années 2010-2020;3;Les années 1990 ont vu le déploiement massif de la fibre optique pour les liaisons longue distance, après la dominance des supports métalliques dans les années 1970-1980.
Qu'est-ce qu'une paire torsadée ?;Un câble composé d'un conducteur central entouré d'un blindage;Deux conducteurs en cuivre isolés et enroulés en hélice autour d'un axe central;Un fil de verre très fin guidant la lumière;Un câble coaxial blindé pour les réseaux locaux;3;Une paire torsadée est composée de deux conducteurs en cuivre isolés et enroulés en hélice. Le torsadage réduit les interférences électromagnétiques causées par l'environnement ou les autres paires.
Quelle est la différence entre câble UTP et câble STP ?;L'UTP est blindé, le STP ne l'est pas;L'UTP est non blindé, le STP est blindé avec un écran métallique;L'UTP est en fibre optique, le STP est en cuivre;L'UTP est pour les WAN, le STP pour les LAN;3;L'UTP (Unshielded Twisted Pair) est non blindé et utilisé pour les réseaux locaux et la téléphonie. Le STP (Shielded Twisted Pair) est blindé avec un écran métallique pour réduire les interférences dans les environnements bruyants.
Quel débit permet un câble de catégorie 6 sur 100 mètres ?;100 Mbit/s;10 Gbit/s;1 Gbit/s;10 Mbit/s;4;Un câble Catégorie 6 permet un débit de 1 Gbit/s sur 100 m. Il fonctionne à 250 MHz et est conçu pour le Gigabit Ethernet.
Quelle est la portée maximale d'un câble coaxial avec répéteurs ?;1 km;100 km;10 km;500 m;4;Le câble coaxial peut atteindre jusqu'à 10 km avec des répéteurs. Au-delà, la fibre optique est préférée pour les liaisons longue distance.
De quoi est composée une fibre optique ?;D'un fil de cuivre, d'un isolant et d'un blindage;D'un cœur, d'une gaine optique et d'une gaine de protection;D'un conducteur central, d'un diélectrique et d'une gaine externe;D'un fil d'aluminium entouré de plastique;3;Une fibre optique est composée d'un cœur (où se propage la lumière), d'une gaine optique (confinant la lumière par réflexion totale interne) et d'une gaine de protection en plastique.
Quel phénomène physique permet de confiner la lumière dans le cœur d'une fibre optique ?;La diffraction;La réfraction simple;La réflexion totale interne;La polarisation;4;La gaine optique a un indice de réfraction inférieur à celui du cœur, ce qui provoque la réflexion totale interne et confine ainsi la lumière dans le cœur de la fibre.
Quelle est la distance maximale d'une fibre monomode (SMF) sans répéteur ?;550 m;10 km;100 km;1 000 km;4;La fibre monomode (SMF) avec un seul chemin pour la lumière et un diamètre de cœur de 8-10 µm peut atteindre jusqu'à 100 km. Elle est utilisée pour les liaisons longue distance (WAN).
Quel est le débit maximal théorique de la fibre optique ?;1 Gbit/s;10 Gbit/s;100 Gbit/s et plus;1 Tbit/s;4;La fibre optique offre un débit très élevé jusqu'à 100 Gbit/s et plus avec les technologies récentes, ainsi qu'une immunité aux interférences et une faible atténuation sur de longues distances.
Quel est le principal avantage sécuritaire de la fibre optique ?;Elle chiffre automatiquement les données;Elle est difficile à intercepter car elle ne rayonne pas électromagnétiquement;Elle intègre une authentification des utilisateurs;Elle bloque les attaques par déni de service;3;La fibre optique est difficile à intercepter car elle ne génère pas de rayonnement électromagnétique, contrairement aux câbles cuivre qui peuvent être écoutés par induction.
Que signifie ACR dans la norme ISO 11801 ?;Automatic Cable Routing;Atténuation to Crosstalk Ratio;Advanced Cable Resistance;Asymmetric Channel Rate;3;ACR (Atténuation to Crosstalk Ratio) est le rapport entre l'atténuation et la diaphonie. C'est l'un des trois critères de la norme ISO 11801 avec l'atténuation et la diaphonie.
Quel câble de catégorie supporte le 10 Gigabit Ethernet jusqu'à 55 mètres ?;Catégorie 6;Catégorie 6a;Catégorie 7;Catégorie 8;3;La catégorie 6a fonctionne à 500 MHz et supporte le 10 Gigabit Ethernet jusqu'à 55 m. C'est une amélioration de la catégorie 6 pour le 10G.
Quel débit maximal atteint la catégorie 8 de câble ?;10 Gbit/s;25-40 Gbit/s;100 Gbit/s;1 Gbit/s;3;La catégorie 8 atteint 25-40 Gbit/s à 2 000 MHz pour le 25G/40G Ethernet jusqu'à 30 m. C'est le successeur de la catégorie 7 compatible rétro.
Quelle plage de fréquences utilisent les faisceaux hertziens ?;De 100 MHz à 1 GHz;De 2 GHz à 40 GHz;De 10 MHz à 100 MHz;De 1 GHz à 2 GHz;3;Les faisceaux hertziens utilisent des fréquences très élevées de 2 GHz à 40 GHz et des antennes directionnelles pour transmettre les données.
Quelle contrainte physique limite la propagation des faisceaux hertziens ?;Ils sont limités par les perturbations magnétiques terrestres;Ils nécessitent une ligne de vue dégagée, limitée à l'horizon optique;Ils ne peuvent pas traverser les nuages;Ils sont limités à 100 km de portée sans amplification;3;La propagation des faisceaux hertziens est limitée à l'horizon optique, nécessitant une ligne de vue dégagée. Les stations doivent être placées en hauteur pour éviter les obstacles.
À quelle altitude orbite un satellite géostationnaire ?;1 000 km;10 000 km;20 200 km;36 000 km;5;Les satellites géostationnaires orbitent à 36 000 km d'altitude. Cette distance explique la latence élevée de 500-700 ms due au trajet aller-retour Terre-satellite.
Quelle est la latence caractéristique d'une connexion Internet par satellite géostationnaire ?;10-50 ms;100-200 ms;500-700 ms;1 000-2 000 ms;4;La latence d'une connexion par satellite géostationnaire est de 500-700 ms, due à la distance aller-retour Terre-satellite à 36 000 km d'altitude.
Quelle est la différence entre le mode Infrastructure et le mode Ad Hoc en Wi-Fi ?;Le mode Infrastructure est sans fil, le mode Ad Hoc est filaire;En mode Infrastructure toutes les stations passent par un point d'accès, en mode Ad Hoc les machines communiquent directement entre elles;Le mode Ad Hoc est plus sécurisé que le mode Infrastructure;Le mode Infrastructure est réservé aux réseaux domestiques;3;En mode Infrastructure toutes les stations sont connectées via un point d'accès (AP) formant un BSS. En mode Ad Hoc (IBSS) les machines communiquent directement entre elles sans point d'accès.
Quelle technologie clé introduit la norme Wi-Fi 802.11ax (Wi-Fi 6) pour partager un canal entre plusieurs utilisateurs ?;MIMO;DSSS;OFDMA;MU-MIMO;4;Le Wi-Fi 6 (802.11ax) introduit l'OFDMA qui permet de partager un canal entre plusieurs utilisateurs, ainsi que le 1024-QAM et le WPA3 pour améliorer débit et sécurité.
Quelle technologie permet au Wi-Fi 7 (802.11be) d'utiliser simultanément plusieurs bandes de fréquences ?;OFDMA;MU-MIMO;MLO (Multi-Link Operation);DSSS;4;Le Wi-Fi 7 (802.11be) introduit le MLO (Multi-Link Operation) permettant l'utilisation simultanée de plusieurs bandes de fréquences, pour un débit théorique jusqu'à 46 Gbit/s.
Sur quelle bande de fréquence fonctionne le Bluetooth ?;900 MHz;5 GHz;2,4 GHz;60 GHz;4;Le Bluetooth fonctionne sur la bande 2,4 GHz (même bande que le Wi-Fi mais avec des canaux différents). C'est un réseau WPAN à faible portée et faible consommation énergétique.
Quel apport majeur introduit Bluetooth 4.0 (BLE) ?;Un débit de 24 Mbit/s;Une portée de 100 m en classe I;La technologie BLE (Bluetooth Low Energy) idéale pour l'IoT;Le chiffrement des données publicitaires;4;Bluetooth 4.0 introduit le BLE (Bluetooth Low Energy) à faible consommation, idéal pour les objets connectés (IoT) et les capteurs, avec un débit de 1 Mbit/s et une portée de 10-100 m.
