Mise en situation : Démarche Bercy Vert;Vous travaillez au sein d'une DSI ministérielle. Dans le cadre du programme « Bercy vert » et de la circulaire Services Publics écoresponsables, votre directeur vous demande de fixer un objectif chiffré de réduction des émissions de gaz à effet de serre (GES) liées au numérique pour l'horizon 2027. Quel est cet objectif et citez deux leviers pour l'atteindre ?;L'objectif est une réduction de 22 % des émissions de GES d'ici 2027. Les deux leviers principaux sont : 1) La rationalisation des infrastructures (consolidation des serveurs, fermeture des environnements inutiles) et 2) L'allongement de la durée de vie du matériel (maintenance, réemploi, achat de matériel réparable).
Analyse de conformité : Les 5 référentiels;Vous devez auditer une nouvelle application web destinée aux usagers. Classez les actions suivantes selon le référentiel correspondant (RGESN, RGI, RGAA, RGS, RGPD) : A) Minimiser la collecte de données personnelles. B) Assurer le contraste des couleurs pour les malvoyants. C) Utiliser des protocoles d'échange standards (API). D) Sécuriser les flux et tracer les accès. E) Allonger la durée de vie des terminaux supportés.;Solution : A = RGPD (Minimisation des données). B = RGAA (Accessibilité). C = RGI (Interopérabilité/Urbanisation). D = RGS (Sécurité). E = RGESN (Écoconception et durabilité).
Technique Système : Nettoyage des données obsolètes (RGPD/Sobriété);En tant que PSE, vous devez libérer de l'espace disque pour répondre à l'exigence de minimisation des données (RGPD) et réduire la consommation de stockage. Écrivez la ligne de commande Linux pour trouver et supprimer tous les fichiers de logs (extension .log) situés dans `/var/log/app/` qui n'ont pas été modifiés depuis plus de 365 jours.;Commande : `find /var/log/app/ -name "*.log" -mtime +365 -exec rm {} \;` (Explication : La commande `find` cherche les fichiers par nom et date de modification, et `-exec rm` exécute la suppression pour chaque fichier trouvé, réduisant ainsi la volumétrie inutile).
Architecture : Calcul du PUE;Vous analysez l'efficacité énergétique d'un centre de données ministériel. La consommation totale d'énergie du bâtiment est de 500 kWh, dont 250 kWh sont consommés spécifiquement par les équipements informatiques (serveurs, stockage, réseau). Calculez le PUE (Power Usage Effectiveness) et interprétez le résultat.;Formule : PUE = Énergie Totale / Énergie Informatique. Calcul : 500 / 250 = 2. Interprétation : Un PUE de 2 signifie que pour 1 kWh utilisé par l'informatique, 1 kWh est consommé par les infrastructures annexes (climatisation, onduleurs). L'objectif est de se rapprocher de 1 (datacenters labellisés/sobres).
Exploitation : Right Sizing et Analyse de Charge;Vous suspectez qu'un serveur virtuel est surdimensionné, ce qui va à l'encontre de la sobriété. Vous connectez au serveur en SSH. Quelle commande utilisez-vous pour analyser la charge CPU et Mémoire en temps réel et déterminer si les ressources allouées sont excessivement supérieures aux besoins ?;Utilisez la commande `top` ou `htop`. Analysez la colonne `%CPU` et `%MEM`. Si la moyenne de charge (Load Average) est très basse (ex: 0.1 sur un 4 cœurs) et la RAM utilisée est minime (ex: 2Go sur 16Go) sur une longue période, le serveur est surdimensionné. Action recommandée : Réduire le nombre de vCPU et la RAM allouée (Right Sizing).
Développement : Optimisation de script (Boucles et CPU);Le correcteur a souligné l'importance d'optimiser les scripts pour limiter la consommation CPU. Vous identifiez un script bash qui vérifie la présence d'un fichier en boucle continue sans pause, consommant 100% d'un cœur CPU. `while [ ! -f /tmp/flag ]; do echo "Attente..."; done`. Corrigez ce script pour le rendre sobre.;Correction : Ajouter une commande `sleep` pour introduire une pause et libérer le processeur. Nouveau script : `while [ ! -f /tmp/flag ]; do echo "Attente..."; sleep 5; done`. Cette simple modification réduit drastiquement la consommation CPU et l'empreinte énergétique du processus.
Supervision : Indicateurs GreenOps;Votre mission est de mettre en place un pilotage écoresponsable (GreenOps). Au-delà du simple "up/down" (disponibilité), quels sont les trois indicateurs techniques précis que vous devez configurer dans votre outil de supervision pour suivre la démarche SPE (Sobriété, Performance, Efficience) ?;1) La consommation CPU par processus (pour identifier le code énergivore). 2) L'évolution de la volumétrie de stockage (pour détecter l'infobésité et les logs superflus). 3) Le temps d'exécution des batchs (pour optimiser les fenêtres de traitement).
Style Rédactionnel : Reformulation Administrative;Le correcteur a noté que votre rapport utilisait un style inapproprié. Reformulez la phrase suivante pour adopter un style administratif neutre et impersonnel : "Nous avons décidé de supprimer les logs parce que nous trouvons qu'ils prennent trop de place.";Proposition de reformulation : "Il a été décidé de procéder à la purge des journaux d'événements afin de rationaliser l'espace de stockage et de se conformer aux principes de minimisation des données." (Suppression du "Nous", utilisation de la voix passive, vocabulaire technique précis).
Architecture : Urbanisation et Mutualisation;Dans le cadre du RGI, on constate que trois services du ministère ont développé chacun leur propre module d'authentification des agents. Quelle est l'approche d'architecture à préconiser pour améliorer la sobriété et quelle technologie utiliser pour les échanges ?;L'approche préconisée est la mutualisation des briques logicielles pour éviter la redondance. Il convient de déployer un service d'authentification unique et centralisé, accessible via des API (Application Programming Interfaces) standardisées, sécurisant ainsi les échanges inter-applicatifs.
Cycle de vie matériel : Gestion du parc;Un lot de 50 serveurs atteint sa fin de garantie comptable (5 ans). Le matériel est fonctionnel mais n'est plus "dernier cri". Selon les principes du RGESN et du rôle du PSE, quelle décision prenez-vous ? A) Remplacement systématique par du neuf plus performant. B) Maintien en condition opérationnelle ou réemploi interne.;Réponse B. Le levier le plus impactant pour l'empreinte carbone est l'allongement de la durée de vie du matériel. Action PSE : Qualifier ce matériel pour des environnements moins critiques (Recette, Développement) ou assurer sa maintenance préventive pour prolonger son usage en production si la performance le permet.
