Que sont les Services Bureau à distance (RDS) sous Windows Server 2016 et quel est leur usage principal ?;Un service de partage de fichiers via SMB permettant l'accès aux ressources réseau;Un service permettant aux utilisateurs d'accéder à distance à un bureau Windows, à des applications ou à des ressources hébergées sur un serveur depuis n'importe quel poste ou périphérique mobile;Un service de synchronisation d'horloge NTP pour les serveurs du domaine;Un service d'authentification centralisée remplaçant Active Directory pour les connexions distantes;3;RDS (Remote Desktop Services) permet aux utilisateurs d'accéder à distance à un bureau Windows, à des applications ou à des ressources hébergées sur un serveur depuis n'importe quel endroit. C'est l'une des principales solutions de virtualisation de sessions proposées par Microsoft.
Quel protocole les services RDS utilisent-ils et sur quel port fonctionne-t-il par défaut ?;SSH sur le port 22;VNC sur le port 5900;HTTP/HTTPS sur les ports 80 et 443;RDP (Remote Desktop Protocol) sur le port TCP 3389 (et UDP 3389 pour l'optimisation des performances);5;Les services RDS reposent sur le protocole RDP (Remote Desktop Protocol) développé par Microsoft. Par défaut, RDP utilise TCP 3389 et UDP 3389 pour l'optimisation des performances.
Quels éléments le protocole RDP transmet-il entre le client et le serveur lors d'une session distante ?;Les fichiers de l'utilisateur et la configuration réseau;L'affichage graphique, les mouvements de souris, les frappes clavier, le son et les périphériques redirigés;Les paquets IP et les segments TCP complets;Les certificats TLS et les jetons d'authentification Kerberos;3;RDP transmet : l'affichage graphique (le bureau distant), les mouvements de souris, les frappes clavier, le son et les périphériques redirigés. L'application s'exécute sur le serveur et le client ne reçoit que l'affichage et les résultats.
Comment fonctionne RDS contrairement à un accès distant classique ? Qu'est-ce que le client reçoit et où s'exécutent les applications ?;Les applications s'exécutent sur le client et le serveur renvoie uniquement les données;Les applications s'exécutent sur le serveur et le client reçoit uniquement l'affichage, les informations graphiques et les résultats des traitements;Les applications sont répliquées sur le client et le serveur simultanément;Les applications s'exécutent dans un navigateur web sans installation côté serveur;3;Contrairement à un accès classique, dans RDS les applications ne s'exécutent pas sur le poste client mais sur le serveur. Le client reçoit uniquement l'affichage, les informations graphiques et les résultats des traitements, ce qui réduit les exigences matérielles des postes clients.
Quels avantages offrent les services RDS aux entreprises en termes d'infrastructure ?;Augmentation des besoins matériels sur les postes clients et complexification de l'administration;Centralisation des applications, simplification de l'administration, réduction des coûts matériels et accès depuis n'importe quel poste;Nécessité d'installer les applications sur chaque poste client individuellement;Suppression du besoin d'une infrastructure réseau dédiée;3;Les avantages RDS sont : centralisation des applications (mises à jour en un seul endroit sur le serveur), simplification de l'administration, réduction des coûts matériels (postes clients légers) et accès depuis n'importe quel poste.
Quel est le rôle du composant RD Session Host (RDSH) dans une infrastructure RDS ?;Gérer les licences d'accès client RDS;Permettre l'accès aux ressources via un navigateur web;Sécuriser les accès distants depuis Internet via SSL/TLS;Héberger les sessions utilisateurs (exécution des applications, gestion des bureaux distants et des ressources système);5;Le RD Session Host (RDSH) est le serveur hébergeant les sessions utilisateurs. Il assure l'exécution des applications, la gestion des bureaux distants et la gestion des ressources système. C'est le composant principal qui traite toutes les demandes des utilisateurs.
Quel est le rôle du RD Connection Broker dans une infrastructure RDS ?;Héberger les sessions utilisateurs et exécuter les applications;Gérer les licences d'accès client par utilisateur ou par périphérique;Répartir les utilisateurs entre les serveurs Session Host, permettre la reconnexion aux sessions existantes et assurer l'équilibrage de charge;Permettre l'accès aux ressources RDS via un navigateur web sans client RDP;4;Le RD Connection Broker est le gestionnaire de connexions RDS. Il assure : la répartition des utilisateurs entre les serveurs Session Host, la reconnexion aux sessions existantes (déconnectées) et l'équilibrage de charge entre les serveurs.
Que permet le composant RD Web Access et quel est son avantage ?;Chiffrer les connexions RDP via SSL/TLS depuis Internet;Permettre l'accès aux ressources RDS (applications et bureaux distants) depuis un navigateur web, sans nécessiter un client RDP dédié;Héberger les sessions utilisateurs sur un serveur web IIS;Gérer les licences RDS dans les environnements de grande taille;3;RD Web Access permet l'accès aux ressources RDS (applications RemoteApp et bureaux distants) via un navigateur web. Les utilisateurs se connectent via le navigateur, qui redirige vers les applications ou bureaux distants sans nécessiter un client RDP préinstallé.
Pourquoi utilise-t-on le RD Gateway pour les connexions RDS depuis Internet et quels avantages offre-t-il ?;Pour améliorer les performances en compressant les données RDP;Pour sécuriser les accès depuis Internet avec chiffrement SSL/TLS, sans VPN obligatoire et avec contrôle des accès, évitant l'exposition directe du port 3389;Pour gérer l'équilibrage de charge entre plusieurs serveurs Session Host;Pour authentifier les utilisateurs via Active Directory avant ouverture de session;3;RD Gateway permet l'accès sécurisé depuis Internet sans exposer le port RDP directement. Il offre : chiffrement SSL/TLS, absence de VPN obligatoire et contrôle des accès. Il évite l'exposition directe du port 3389 sur Internet.
Quel composant RDS gère les licences d'accès client et quels types de licences propose-t-il ?;RD Session Host, avec des licences par serveur ou par application;RD Connection Broker, avec des licences par utilisateur ou par domaine;RD Licensing, avec des licences par utilisateur ou par périphérique;RD Gateway, avec des licences par connexion ou par session;4;RD Licensing gère les licences RDS. La configuration de RD Licensing est imperative pour que le serveur RDS continue d'accepter les connexions. Il propose deux types de licences : par utilisateur (CAL User) et par périphérique (CAL Device).
Quelle est la différence entre un déploiement rapide et un déploiement standard de RDS ?;Le déploiement rapide utilise Linux et le déploiement standard utilise Windows Server;Le déploiement rapide installe automatiquement Broker + Web Access + Session Host sur un seul serveur ; le déploiement standard gère plusieurs serveurs avec haute disponibilité et montée en charge;Le déploiement rapide ne supporte pas le protocole RDP version 10;Le déploiement standard est réservé aux environnements de test;3;Le déploiement rapide installe automatiquement Broker, Web Access et Session Host sur un seul serveur (pour les petits environnements). Le déploiement standard est utilisé en production : il gère plusieurs serveurs, offre la haute disponibilité et la montée en charge.
Qu'est-ce qu'une application RemoteApp dans RDS et quel avantage offre-t-elle à l'utilisateur ?;Une application installée sur le poste client et synchronisée avec le serveur;Une application exécutée sur le serveur mais qui apparaît localement sur le poste client, offrant une meilleure expérience utilisateur et une réduction de la bande passante;Une application web hébergée sur IIS accessible via un navigateur sans RDP;Une application mobile compatible avec RDS sur Android et iOS;3;Une application RemoteApp est exécutée sur le serveur mais apparaît localement sur le poste client (l'utilisateur ne voit pas le bureau complet, seulement l'application). Ses avantages sont : meilleure expérience utilisateur, réduction de la bande passante et centralisation des mises à jour.
Quelles conditions l'utilisateur doit-il remplir pour s'authentifier et se connecter aux services RDS ?;Disposer d'une adresse IP statique et d'un nom DNS configuré;Disposer d'un compte Active Directory et appartenir aux groupes autorisés;Utiliser uniquement un navigateur web compatible avec WebGL;Disposer d'un certificat client personnel émis par la PKI interne;3;Pour s'authentifier aux services RDS, les utilisateurs doivent : disposer d'un compte Active Directory et appartenir aux groupes autorisés pour la connexion à distance. L'administrateur peut configurer ces droits via les politiques de groupe (GPO).
Qu'est-ce que NLA (Network Level Authentication) dans RDS et quels avantages offre-t-il ?;Un protocole de chiffrement SSL/TLS pour les connexions RDP;Une méthode d'authentification réalisée avant l'ouverture de la session, limitant les attaques et réduisant la consommation de ressources serveur;Un protocole d'équilibrage de charge des sessions entre les serveurs RD Session Host;Un mécanisme de redirection des périphériques locaux dans la session distante;3;NLA (Network Level Authentication) réalise l'authentification avant l'ouverture de la session RDP. Avantages : limitation des attaques (les connexions non authentifiées n'aboutissent pas à une session) et réduction de la consommation de ressources serveur.
Quels mécanismes de chiffrement les communications RDS utilisent-elles ?;Uniquement WEP et WPA2 pour la sécurisation du transport;SSL/TLS et certificats d'entreprise pour chiffrer les communications RDP;IPSEC en mode tunnel obligatoire entre le client et le serveur;Kerberos seul sans chiffrement additionnel des communications;3;Les communications RDP sont chiffrées. On peut utiliser SSL/TLS et des certificats d'entreprise. RD Gateway assure le chiffrement SSL/TLS pour les accès depuis Internet, évitant l'exposition directe du port 3389.
Quelle commande PowerShell permet d'administrer un serveur Windows à distance via PowerShell Remoting ?;Connect-PSSession SRV-AD01;Remote-PSSession SRV-AD01;Enter-PSSession SRV-AD01;Start-PSSession SRV-AD01;4;La commande PowerShell Remoting Enter-PSSession SRV-AD01 permet de se connecter à distance à un serveur Windows pour l'administrer. PowerShell Remoting offre l'automatisation et l'administration centralisée de plusieurs serveurs.
Quelles actions un administrateur peut-il effectuer pour gérer les sessions RDS actives ?;Uniquement consulter les sessions sans pouvoir les modifier;Afficher les sessions actives, déconnecter un utilisateur, fermer une session bloquée et surveiller la consommation des ressources;Modifier les fichiers des utilisateurs directement dans leur session;Forcer la mise à jour des GPO dans les sessions actives;3;L'administrateur peut : afficher les sessions actives, déconnecter un utilisateur, fermer une session bloquée et surveiller la consommation des ressources. Les outils disponibles sont : Gestionnaire de serveur, Gestionnaire des services Bureau à distance et PowerShell.
