Analyse des enjeux de la supervision;Votre DSI vous demande de justifier l'investissement dans un outil de supervision unifié pour un réseau hétérogène (mélangeant Cloud, vieux routeurs Cisco et serveurs Linux). Citez deux arguments techniques majeurs basés sur les risques opérationnels mentionnés dans le cours.;Argument 1 : L'hétérogénéité des protocoles (TCP/IP, UDP, propriétaires) rend la gestion manuelle impossible et risquée (erreurs humaines). Argument 2 : La nécessité de détecter proactivement les anomalies pour garantir la QoS et éviter les impacts financiers liés aux arrêts de service, ce qu'un humain ne peut faire en temps réel sur un grand parc.
Configuration des seuils d'alerte (Fonctions clés);Vous configurez un outil de monitoring pour un serveur de base de données critique. Définissez une politique de seuillage pertinente pour l'usage CPU afin d'éviter les faux positifs tout en prévenant les incidents, en vous basant sur la notion d'optimisation des performances.;Solution : Configurer un seuil d'avertissement (Warning) à 80% d'utilisation pendant 5 minutes (pour absorber les pics ponctuels) et un seuil critique (Critical) à 95% immédiat ou sur 1 minute. Cela permet d'anticiper la saturation (optimisation) sans spammer l'équipe pour un pic normal de traitement.
Manipulation SNMP v2c (Ligne de commande);Vous êtes administrateur sur une machine Linux avec le paquet `net-snmp-utils` installé. Vous devez interroger manuellement le routeur 192.168.1.254 pour obtenir son temps de fonctionnement (Uptime) dont l'OID est .1.3.6.1.2.1.1.3.0. La communauté est "public". Écrivez la commande exacte.;`snmpget -v 2c -c public 192.168.1.254 .1.3.6.1.2.1.1.3.0`
Analyse des types de données SNMP;En analysant une MIB, vous tombez sur deux métriques : `ifInOctets` (Type: Counter) et `cpuLoad` (Type: Gauge). Expliquez comment ces valeurs évoluent dans le temps et comment le logiciel de supervision doit les traiter pour afficher un graphique pertinent.;Le type `Gauge` (cpuLoad) peut monter et descendre, sa valeur brute est directement utilisable (ex: 45%). Le type `Counter` (ifInOctets) ne fait qu'augmenter jusqu'à son maximum (32 bits) avant de revenir à 0. Le logiciel doit calculer la dérivée (valeur T2 - valeur T1) divisée par le temps écoulé pour obtenir un débit (bande passante).
Sécurité SNMP v3 vs v2c;Un audit de sécurité révèle que des informations de topologie réseau circulent en clair. Vous utilisez actuellement SNMP v2c. Quelle configuration devez-vous appliquer sur vos équipements et votre serveur de supervision pour remédier à cela selon les standards actuels ?;Il faut migrer vers SNMP v3. Concrètement : 1. Activer l'authentification (User/Password) pour vérifier l'identité de l'agent. 2. Activer le chiffrement (Privacy, ex: AES) pour rendre le contenu du PDU illisible en cas d'interception, contrairement à la "community string" de la v2c qui circule en clair.
Comparaison Télémétrie vs Polling;Un lien WAN critique sature par micro-bursts (pics de moins d'une seconde). Votre supervision SNMP actuelle (polling toutes les 5 minutes) ne voit rien. Expliquez pourquoi et proposez la solution technique adaptée décrite dans le document.;Le Polling SNMP interroge à intervalles fixes (ex: 300s), il est "aveugle" entre deux requêtes. Les micro-bursts passent entre les mailles du filet. Solution : Passer à la Télémétrie (Push). L'équipement enverra un flux continu (streaming) des données en temps réel, permettant de voir les pics instantanés.
Utilisation de gNMI et gRPC (Ligne de commande);Vous utilisez l'outil `gnmic` pour vous abonner (subscribe) en temps réel aux compteurs d'interface d'un switch moderne (IP: 10.0.0.1, User: admin, Pass: admin). Le chemin YANG est `/interfaces/interface/state/counters`. Écrivez la commande pour lancer cet abonnement sans vérifier le certificat SSL (lab).;`gnmic -a 10.0.0.1 -u admin -p admin --skip-verify subscribe --path /interfaces/interface/state/counters`
Compréhension des modèles YANG;Votre collègue habitué aux OID SNMP (ex: 1.3.6...) est perdu face à la configuration gNMI. Expliquez-lui ce qui remplace la MIB dans gNMI et donnez un avantage concret de ce nouveau format pour l'automatisation.;La MIB est remplacée par les modèles YANG. Avantage : YANG est structuré, hiérarchique et lisible par l'humain (ex: `interfaces/interface[name=eth0]/enabled`), contrairement aux suites de chiffres OID. Cela facilite l'écriture de scripts d'automatisation (Ansible/Terraform) car les chemins sont explicites.
Choix d'architecture de supervision;Vous êtes architecte pour un fournisseur de Cloud possédant 5 datacenters sur 3 continents. Vous devez choisir l'architecture de supervision. Laquelle choisissez-vous entre Centralisée, Hiérarchique et Distribuée ? Justifiez avec les notions de SPOF et Scalabilité.;Choix : Architecture Distribuée. Justification : Une architecture centralisée serait un SPOF (Point Unique de Défaillance) critique et souffrirait de latence inter-continents. L'architecture distribuée permet d'avoir des nœuds indépendants dans chaque DC (haute disponibilité), de répartir la charge (Scalabilité) et d'utiliser des bases distribuées comme Elasticsearch ou InfluxDB.
Requête PromQL (Prometheus);Vous utilisez Prometheus pour superviser un cluster Kubernetes. Vous voulez obtenir le taux moyen de requêtes HTTP par seconde sur les 5 dernières minutes pour le job "api-server". Écrivez la requête PromQL de base.;`rate(http_requests_total{job="api-server"}[5m])`
Exercice de synthèse 1 : Migration d'une infrastructure Legacy vers Hybride;Contexte : Une administration possède un cœur de réseau ancien (Cisco Catalyst, SNMP v2) et déploie une nouvelle ferme de serveurs conteneurisés (Kubernetes). Mission : Concevez la stratégie de supervision. 1. Quel protocole pour le cœur de réseau ? 2. Quel outil pour les conteneurs ? 3. Comment unifier la visualisation ?;1. Cœur de réseau : Maintenir SNMP (polling) car matériel ancien, mais migrer en SNMP v3 si possible pour la sécurité, ou isoler le VLAN de management. Utiliser des `SNMP Exporters`. 2. Conteneurs : Utiliser Prometheus pour la collecte de métriques (modèle Pull) adaptées aux environnements dynamiques. 3. Visualisation : Déployer Grafana. Connecter deux sources de données (Datasources) : Prometheus (pour les conteneurs) et l'outil SNMP (ou Prometheus via snmp-exporter) pour afficher tout sur un même Dashboard unifié.
Exercice de synthèse 2 : Déploiement d'une stack moderne complète;Contexte : Vous partez de zéro pour une startup "Cloud Native". Vous devez installer une stack complète pour métriques et logs. Mission : 1. Listez les logiciels à installer pour couvrir métriques, visualisation et logs légers. 2. Expliquez le flux de données pour la télémétrie réseau d'un routeur moderne supportant gNMI. 3. Quelle commande permettrait de vérifier que le port gRPC est ouvert sur le routeur ?;1. Stack : Prometheus (Métriques) + Loki (Logs légers, indexation par labels) + Grafana (Visualisation). 2. Flux : Le routeur (Agent gNMI) initie un tunnel gRPC (HTTP/2) vers le collecteur (ex: Telegraf ou un collecteur OpenTelemetry), encode les données en Protocol Buffers (Protobuf) et les pousse en streaming (Subscribe). 3. Vérification : Utiliser `telnet <IP_Routeur> <Port_gRPC>` (généralement 57400) ou mieux `nc -zv <IP> 57400` pour tester la connectivité TCP avant de tester le protocole.
