Utilisation du métacaractère point;Dans un fichier nommé data.txt, vous cherchez à identifier des références produits comme A-B, A1B ou AxB. Quelle commande grep utilisez-vous ?;La commande à exécuter est grep "A.B" data.txt qui va faire correspondre A, suivi de n'importe quel caractère, suivi de B.
Répétition libre avec l'astérisque;Vous souhaitez lister toutes les lignes contenant la racine toto suivie ou non d'autres occurrences (comme toto1 ou toto123) dans le fichier users.log. Quelle est la commande ?;Utilisez la commande grep "toto*" users.log selon les indications du document pour capturer toutes ces variantes et filtrer le journal.
Neutralisation des caractères spéciaux;Vous devez rechercher exactement le texte "10.5*" dans un fichier brut. Quelle commande utiliser pour que le point et l'astérisque ne soient pas interprétés comme des métacaractères ?;Il faut utiliser l'antislash pour échapper les caractères spéciaux avec la commande grep "10\.5\*" fichier.txt.
Filtrage en début de ligne;Dans /var/log/messages, vous ne voulez afficher que les lignes qui COMMENCENT par le mot "error". Donnez la ligne de commande.;La commande appropriée est grep "^error" /var/log/messages en utilisant l'accent circonflexe pour cibler le début de ligne.
Recherche d'extensions en fin de ligne;Vous voulez lister dans un fichier liste.txt uniquement les lignes qui se terminent par l'extension ".log". Quelle est la syntaxe exacte ?;Utilisez le symbole dollar à la fin avec la commande grep "\.log$" liste.txt pour vérifier la fin de la ligne.
Choix multiples avec le pipe;Filtrez un fichier app.log pour trouver les lignes contenant soit "ERROR", soit "WARNING". Utilisez l'opérateur d'alternative.;Avec la commande egrep ou grep -E, tapez grep -E "ERROR|WARNING" app.log pour exprimer ce choix strict.
Ensembles de caractères;Recherchez les identifiants T134 ou T234 dans le fichier codes.txt en utilisant une liste de caractères entre crochets.;La commande correcte est grep "T34" codes.txt car les crochets indiquent un ensemble de caractères possibles à cette position précise.
Définition de plages de caractères;Extrayez d'un fichier les codes formés d'une lettre minuscule suivie d'un chiffre (comme a3 ou b7).;Il faut définir des plages continues avec la commande grep "[a-z]" fichier.txt.
Exclusion de caractères;Vous voulez supprimer ou exclure la recherche de toute lettre minuscule. Quel motif utiliser dans une commande de recherche ?;Utilisez l'accent circonflexe au début de l'intervalle comme dans [^a-z] pour inverser la liste et exclure formellement ces caractères.
Utilisation des classes POSIX;Validez un numéro au format 123-8888 (3 chiffres, un tiret, 4 chiffres) en utilisant les classes standards de Linux.;Le motif à utiliser avec grep -E est [[:digit:]]{3}-[[:digit:]]{4} car cette classe prédéfinie est très robuste pour cibler les chiffres.
Répétition avec le signe plus;Vous cherchez à valider la présence d'au moins un ou plusieurs chiffres consécutifs dans un fichier. Quel opérateur utiliser ?;Il faut utiliser le symbole plus (+) avec une commande comme grep -E "+" fichier.txt pour exiger une ou plusieurs occurrences du motif précédent.
Répétition précise avec les accolades;Trouvez les lignes contenant exactement la lettre a, suivie de 6 caractères quelconques, puis la lettre b (ex: aAZERTYb).;La commande grep -E "a.{6}b" fichier.txt permet de préciser exactement le nombre d'occurrences avec les accolades.
Éléments facultatifs avec le point d'interrogation;Cherchez les correspondances pour ac ou abc (où la lettre b est facultative) dans un document texte.;Utilisez le point d'interrogation pour rendre le caractère précédent totalement facultatif avec la commande grep -E "ab?c" document.txt.
Répétition de séquences avec parenthèses;Identifiez la séquence binaire répétitive 010101 en regroupant et répétant le motif 01 trois fois consécutives.;La commande grep -E "(01){3}" fichier.txt utilise les parenthèses pour répéter la séquence complète et non un seul caractère isolé.
Nettoyage de données avec sed;Un fichier Windows importé sous Linux contient des retours à la ligne parasites. Comment les supprimer de manière automatisée avec l'outil sed ?;Utilisez la commande de substitution de sed telle que décrite dans le cours en tapant sed 's/\r$//' fichier_windows.txt.
Exercice de synthèse 1;Dans un fichier /var/log/syslog, vous devez extraire uniquement les adresses IP V4 (ex: 192.168.1.10) en utilisant grep et les expressions régulières. La commande doit capturer des blocs de 1 à 3 chiffres séparés par des points.;En combinant l'extraction (-Eo), les groupements, les classes et les répétitions, utilisez la commande grep -Eo "({1,3}\.){3}{1,3}" /var/log/syslog comme illustré dans les cas concrets du document.
Exercice de synthèse 2;Vous devez valider une liste d'adresses e-mail dans un fichier contacts.csv. Une adresse valide commence par des caractères alphanumériques et des symboles autorisés (. _ % + -), suivis d'un symbole arobase, puis du domaine et enfin d'une extension d'au moins 2 lettres. Écrivez la commande de filtrage stricte encadrant toute la ligne.;Pour une validation complète du début à la fin de la ligne, utilisez grep -E "^[A-Za-z0-9._%+-]+@[A-Za-z0-9.-]+\.[A-Za-z]{2,}$" contacts.csv en associant ancrages, listes de caractères, quantificateurs et échappement.
