Quelle commande Linux affiche le chemin absolu du répertoire courant ?,La commande `pwd` (print working directory).
Comment utiliser la commande `cd` pour remonter d'un niveau vers le répertoire parent ?,En utilisant la commande `cd ..`.
Quelle commande permet de revenir au répertoire de travail précédent ?,La commande `cd -`.
Comment revenir directement au répertoire personnel de l'utilisateur avec la commande `cd` ?,En utilisant `cd` seul ou `cd ~`.
"Pour créer une arborescence de répertoires complète, même si les répertoires parents n'existent pas, on utilise la commande `mkdir` avec l'option _____.",-p
Quelle commande est utilisée pour supprimer un répertoire vide ?,La commande `rmdir`.
"Pour supprimer un répertoire et tout son contenu de manière récursive, quelle commande et quelle option faut-il utiliser ?",La commande `rm -r`.
Quelle option peut-on ajouter à la commande `rm` pour demander une confirmation avant chaque suppression ?,L'option `-i`.
"Pour afficher une liste détaillée des fichiers incluant droits, propriétaire et taille, on utilise la commande `ls` avec l'option _____.",-l
"Comment lister tous les fichiers d'un répertoire, y compris les fichiers cachés ?",En utilisant la commande `ls -a`.
"Quelle option de la commande `ls` affiche les tailles des fichiers dans un format lisible par l'homme (Ko, Mo, Go) ?","L'option `-h` (utilisée en combinaison avec -l, soit `ls -lh`)."
"Pour lister récursivement le contenu de tous les sous-répertoires, quelle option de la commande `ls` faut-il utiliser ?",L'option `-R`.
Quelle option de `ls` permet de trier les fichiers par taille ?,L'option `-S`.
Quelle option de `ls` permet de trier les fichiers par date de modification ?,L'option `-t`.
Quelle commande et option affichent le numéro d'inode associé à chaque fichier ?,La commande `ls -i`.
Concept: Inode,"Une structure de données contenant toutes les métadonnées d'un fichier (permissions, taille, propriétaire, etc.), à l'exception de son nom."
Que signifie le fait que deux fichiers aient le même numéro d'inode ?,Cela signifie qu'ils sont des liens physiques (hard links) l'un vers l'autre.
Quelle est l'utilité principale de la commande `touch fichier.txt` ?,Elle crée un fichier vide nommé `fichier.txt` ou met à jour son horodatage s'il existe déjà.
"Pour écrire du texte dans un fichier en écrasant son contenu, on utilise la commande `echo` avec le symbole de redirection _____.",>
