Observation de l'action du chargeur système;Vous devez vérifier comment le chargeur (loader) a préparé les zones mémoire (pile, données) pour un processus en cours d'exécution. Identifiez le PID du processus de votre shell et affichez sa cartographie mémoire complète générée au moment du chargement.;Obtenez le PID du shell actuel avec la commande echo $$, puis affichez la cartographie préparée par le chargeur avec la commande cat /proc/$$/maps. Vous y verrez les différentes adresses des zones chargées en mémoire.
Consultation de la translation d'adresses et de la MMU;Le noyau communique avec la MMU (Memory Management Unit) lors du démarrage pour initialiser la translation d'adresses virtuelles en adresses physiques. Retrouvez les messages du noyau liés à l'initialisation de la mémoire et de la MMU matérielle.;Utilisez la commande dmesg | grep -i memory ou dmesg | grep -i mmu pour observer les logs du noyau indiquant comment la traduction des adresses a été mise en place au démarrage de la machine.
Analyse du gestionnaire de mémoire et du Swap;En tant qu'administrateur système, vous devez vérifier instantanément la quantité de mémoire RAM libre et occupée, ainsi que l'utilisation de l'espace d'échange (swap) sur le disque géré par le Memory Manager.;Exécutez la commande free -h pour voir la mémoire totale, utilisée et libre, ainsi que l'état du fichier d'échange (swap). Pour un suivi en temps réel de ces allocations, utilisez la commande watch -n 1 free -h.
Traçage du passage en mode noyau via les appels système;Un programme en mode utilisateur doit obligatoirement passer temporairement en mode noyau via des appels système pour accéder au matériel. Tracez les appels système générés par une commande simple comme ls pour observer ces interruptions logicielles.;Utilisez l'outil strace en tapant la commande strace ls. Vous verrez défiler à l'écran toutes les interruptions logicielles et les appels système (comme open, read, mmap) permettant l'accès privilégié temporaire au noyau.
Observation des processus et de la fragmentation mémoire;Dans le cadre d'un système à partitions variables, observez l'utilisation de la mémoire centrale par les processus actifs pour comprendre comment la RAM est découpée dynamiquement et identifier les processus gourmands nécessitant potentiellement une compaction.;Lancez la commande top -o %MEM ou ps aux --sort=-%mem. Cela permet de lister les processus en cours d'exécution triés par leur pourcentage d'occupation de la mémoire physique et d'observer les différentes tailles de partitions allouées.
Analyse de la mémoire virtuelle et des transferts automatiques;La mémoire virtuelle donne l'illusion d'un espace continu en combinant RAM et disque. Affichez les statistiques détaillées de la mémoire virtuelle du système pour surveiller les transferts automatiques de données entre la RAM et le disque.;Tapez la commande vmstat 1 5 pour obtenir cinq rapports espacés d'une seconde. Observez attentivement les colonnes si (swap in) et so (swap out) pour visualiser le travail de transfert bidirectionnel du système de mémoire virtuelle.
Identification des défauts de page (Page fault) et de la pagination;La pagination découpe la mémoire en pages (souvent de 4 Ko). Si une page manque en RAM, un défaut de page survient. Mesurez le nombre de défauts de pages matériels (nécessitant le disque) et logiciels pour une commande d'exploration de fichiers.;Exécutez la commande /usr/bin/time -v find / > /dev/null. Dans le résultat affiché, cherchez les lignes indiquant Major page faults (lecture sur le disque) et Minor page faults (récupération d'un cadre directement en RAM).
Exploration de la segmentation mémoire d'un binaire;La segmentation découpe l'espace logique en segments de code, de données globales et de pile. Affichez la taille technique de ces différents segments prévus pour un binaire exécutable standard comme /bin/ls.;Exécutez la commande size /bin/ls. Le résultat affichera les colonnes text (segment de code exécutable), data (segment des données globales initialisées) et bss (données non initialisées), illustrant le découpage en zones indépendantes.
Exercice de synthèse 1 - Diagnostic de saturation mémoire et Swap;Un serveur Linux est extrêmement lent. Vous soupçonnez que la RAM physique est totalement saturée, provoquant une utilisation massive du fichier d'échange (swap) et générant d'innombrables défauts de page (FIFO/LRU inefficaces). Analysez la situation globale, identifiez le processus responsable, et forcez le noyau à libérer de la RAM sans redémarrer la machine.;1) Tapez vmstat 2 pour confirmer les transferts disque/RAM constants via les colonnes si et so. 2) Utilisez top -o %MEM pour identifier le programme occupant le plus de cadres en RAM. 3) Forcez le gestionnaire de mémoire à vider ses caches en mode noyau avec la commande sudo sysctl -w vm.drop_caches=3. 4) Optionnellement, réinitialisez l'espace de swap avec sudo swapoff -a && sudo swapon -a.
Exercice de synthèse 2 - Audit de la cartographie et combinaison pagination/segmentation;En tant qu'expert, vous devez analyser un processus critique combinant segmentation et pagination. Trouvez le PID du processus systemd ou sshd, analysez ses segments logiques (code, données partagées) préparés par le chargeur, et vérifiez l'allocation réelle des pages de 4 Ko en mémoire virtuelle et physique via la table des pages.;1) Trouvez le PID cible avec pidof systemd (supposons 1). 2) Explorez ses segments avec sudo cat /proc/1/maps. 3) Analysez les droits de protection accordés par la MMU (r-xp pour le code en exécution, rw-p pour la pile). 4) Pour un détail granulaire au niveau des pages et des cadres physiques réellement alloués, exécutez la commande sudo pmap -x 1 afin de révéler l'efficacité de la combinaison pagination/segmentation.
