Quel est le principe fondamental de l'authentification unique (SSO) dans un portail applicatif ?;L'utilisateur s'identifie une seule fois pour accéder à toutes les applications autorisées.;L'utilisateur doit utiliser un mot de passe différent pour chaque application afin de renforcer la sécurité.;L'utilisateur accède aux applications sans aucune authentification grâce à son adresse IP.;L'utilisateur doit valider chaque accès par une notification SMS systématique.;2;Le SSO (Single Sign-On) permet une identification unique sans resaisie des identifiants pour l'ensemble des services autorisés.
Quelle distinction majeure existe-t-il entre le SSO "serveur" et le SSO "client" ?;Le SSO serveur stocke les identifiants sur le poste de l'utilisateur.;Le SSO serveur ne nécessite aucune modification des applications cibles.;Le SSO serveur repose sur une base centrale (LDAP) et offre une sécurité renforcée.;Le SSO serveur est principalement source de problèmes de compatibilité avec les navigateurs.;4;Le SSO serveur centralise la gestion via un annuaire (LDAP/AD) pour une meilleure sécurité, contrairement au SSO client installé sur le poste,.
Quel protocole de sécurité, imposé par la directive DSP2, vise à réduire la fraude par une authentification forte ?;SSL/TLS;3D-Secure;PCI/DSS;SIPS;3;Le protocole 3D-Secure authentifie le porteur de la carte (SCA) et est rendu obligatoire par la DSP2 pour la majorité des transactions,.
Quel est l'avantage principal du développement d'applications mobiles "natives" par rapport aux solutions hybrides ?;Un coût de développement très faible.;Des performances optimales et un accès complet aux fonctionnalités du matériel.;Un code unique compatible à la fois avec iOS et Android.;L'absence de nécessité de téléchargement via un store.;3;Le développement natif (Swift, Kotlin) offre les meilleures performances et un accès total aux capteurs, bien que plus coûteux.
Quelle est la fonction principale d'une solution MDM (Mobile Device Management) ?;Encapsuler uniquement les applications métier dans un conteneur étanche.;Gérer les transactions financières des terminaux de paiement.;Développer des interfaces web adaptatives.;Superviser et gérer à distance la configuration et la sécurité de l'ensemble du terminal.;5;Le MDM permet la gestion globale du parc matériel (configuration, effacement, monitoring), par opposition au MAM qui gère les applications.
Selon la directive DSP2, à quel montant est réduite la franchise (reste à charge) du client en cas de fraude sur un paiement en ligne ?;150 €;100 €;50 €;0 €;4;La DSP2 limite la responsabilité du client à une franchise de 50 € en cas de paiement frauduleux.
Que signifie l'acronyme BYOD dans le contexte de la mobilité en entreprise ?;Bring Your Own Data : L'utilisateur gère ses propres données.;Bring Your Own Device : L'utilisation d'équipements personnels à des fins professionnelles.;Buy Your Own Device : L'obligation pour l'employé d'acheter son matériel.;Bring Your Own Dongle : L'utilisation de clés de sécurité externes.;3;Le BYOD désigne l'usage de terminaux personnels (smartphones, PC) pour accéder au système d'information de l'entreprise.
Quelle est la particularité des PWA (Progressive Web Apps) par rapport aux applications natives ?;Elles sont accessibles directement via un navigateur web sans téléchargement préalable.;Elles offrent une performance supérieure aux applications natives pour les jeux 3D.;Elles sont développées exclusivement en langage C#.;Elles ne fonctionnent que sur le système d'exploitation Android.;2;Les PWA utilisent des technologies web (HTML5/JS) et ne nécessitent pas de téléchargement, facilitant l'accès mais limitant certaines fonctions hors ligne.
Quel protocole d'authentification est spécifiquement identifié comme privilégié pour les applications cloud et mobiles ?;SAML 2.0;LDAP;ActiveSync;OAuth 2.0 / OpenID Connect;5;Si SAML est standard pour l'entreprise, OAuth 2.0 et OpenID Connect dominent pour les applications cloud et mobiles.
À quoi correspond la norme PCI/DSS dans le domaine du e-commerce ?;À une régulation européenne sur la protection des données personnelles (RGPD).;À une norme internationale de sécurité pour la protection des données de cartes bancaires.;À un protocole de transfert de fichiers sécurisé.;À une solution de gestion de contenu (CMS) pour les sites marchands.;3;PCI/DSS est la norme internationale imposant des règles strictes (chiffrement, contrôle d'accès) pour sécuriser les données de cartes.
